id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Southern-Cornbread-Dressing-1357820,Southern Cornbread Dressing,4,3600.0,,[Southern & Soul Food],"[buttermilk cornbread, sandwich bread, salt, black pepper, rubbed sage, eggs, onions, celery, butter, cream of chicken soup, chicken stock]"
Peanut-butter-fudge-297693,Peanut Butter Fudge,4,8100.0,[Desserts],[American],"[Country Crock® Spread, light corn syrup, creamy peanut butter, confectioners sugar, vanilla extract]"
Buckeyes-298471,Buckeyes,4,6600.0,[Desserts],[American],"[Skippy® Super Chunk® Peanut Butter, Country Crock® Spread, confectioners sugar, semi-sweet chocolate morsels]"
Disappearing-buffalo-chicken-dip-297712,Disappearing Buffalo Chicken Dip,4,2100.0,[Appetizers],[American],"[light mayonnaise, lemon juice, cayenne pepper sauce, blue cheese, chives, shredded cheddar cheese, cooked chicken]"
Classic-macaroni-salad-304692,Classic Macaroni Salad,4,1500.0,"[Salads, Side Dishes]",[American],"[elbow macaroni, hellmann' or best food real mayonnais, red vinegar white white, wine,, Hellmann's Dijonnaise Creamy Dijon Mustard, sugar, salt, ground black pepper, celery, green bell pepper, slice, onions]"
Classic-coleslaw-303481,Classic Coleslaw,4,600.0,"[Salads, Side Dishes]","[American, Southern & Soul Food]","[hellmann' or best food real mayonnais, lemon juice, sugar, salt, cabbage, carrots, green bell pepper]"
Bechamel-Sauce-513101,Béchamel Sauce,5,1200.0,[Condiments and Sauces],"[American, French]","[2% reduced-fat milk, unsalted butter, all purpose unbleached flour, fine sea salt, ground black pepper, grated nutmeg]"
Peanut-butter-cream-pie-298882,Peanut Butter Cream Pie,4,11700.0,[Desserts],[American],"[Skippy Creamy Peanut Butter, sugar, cream cheese, frozen whipped topping, hot fudge topping, 9 inch chocolate crumb crust]"
Southern-Pecan-Pie-1332202,Southern Pecan Pie,4,4800.0,[Desserts],"[Southern & Soul Food, American]","[pie crust, eggs, light corn syrup, butter, light brown sugar, vanilla extract, chopped pecans]"
Peanut-Butter-Fudge-482257,Peanut Butter Fudge,4,600.0,[Desserts],[American],"[unsalted butter, creamy peanut butter, salt, vanilla extract, powdered sugar]"
