id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
French-Onion-Soup-Casserole-1371218,French Onion Soup Casserole,3,4800.0,[],[French],"[onions, light butter, fat free beef broth, red wine, garlic cloves, french baguette, light swiss cheese, worcestershire sauce, balsamic vinegar, paprika, dried thyme, salt, black pepper]"
Simple-Apple-Galette-1368574,Simple Apple Galette,4,5400.0,[Desserts],[French],"[all-purpose flour, sugar, salt, unsalted butter, cold water, granny smith apples]"
Orange-and-Chocolate-Macarons-1365689,Orange and Chocolate Macarons,4,2700.0,[Desserts],[French],"[egg whites, caster sugar, powdered sugar, grated orange, orange food coloring, cream, sweetened condensed milk, unsalted butter, chocolate]"
Red-Velvet-Macarons-1364697,Red Velvet Macarons,3,3660.0,[Desserts],[French],"[almond meal, Dixie Crystals Confectioners Powdered Sugar, cocoa powder, egg whites, Dixie Crystals Extra Fine Granulated Sugar, red food coloring, cream cheese, unsalted butter, vanilla extract]"
French-Onion-Pork-Chops-1368427,French Onion Pork Chops,4,3300.0,[Main Dishes],[French],"[olive oil, sweet onion, thyme sprigs, salt, pepper, butter, beef stock, dry red wine, boneless chop pork, dijon mustard, shredded swiss cheese]"
Gateau-au-Chocolat-_French-Chocolate-Cake_-1368901,Gâteau au Chocolat (French Chocolate Cake),4,4800.0,[Desserts],[French],"[bittersweet chocolate, unsalted butter, sugar, large eggs, all-purpose flour, confectioners sugar]"
French-Onion-Soup-1370810,French Onion Soup,4,3600.0,[Soups],[French],"[yellow onion, unsalted butter, olive oil, table salt, granulated sugar, all-purpose flour, beef, dry white wine, fresh thyme, freshly ground black pepper, grated Gruyère cheese, butter, french bread]"
French-Onion-Soup-1361773,French Onion Soup,4,3600.0,[Soups],[French],"[olive oil, yellow onion, garlic, beef stock, dry white wine, fresh thyme, french bread, gruyere cheese]"
FRENCH-ONION-SOUP-_3-WW-POINTS_-1363541,FRENCH ONION SOUP (3 WW POINTS),3,5400.0,[Soups],[French],"[onions, butter, black pepper, paprika, bay leaf, beef broth, dry white wine, all-purpose flour, Kitchen Bouquet, caramel coloring, salt, croutons, swiss cheese, gruyere cheese]"
Macaron-Tips-and-Tricks-and-a-1370211,Macaron Tips and Tricks and a,4,4200.0,[Desserts],[French],"[large egg whites, cream of tartar, sugar, salt, powdered sugar, almond flour]"
French-Brioche-1370792,French Brioche,4,3600.0,[Breads],[French],"[milk, fresh yeast, extra large eggs, sea salt, bread flour, unsalted butter, large eggs]"
