id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Easy-German-Pork-Schnitzel-1358621,Easy German Pork Schnitzel,4,900.0,[Main Dishes],[German],"[pork loin, flour, bread crumbs, eggs, salt, pepper, canola oil, lemon slices]"
Hot-German-Potato-Salad-1369682,Hot German Potato Salad,3,3900.0,[],[German],"[potatoes, bacon, onions, Gold Medal All Purpose Flour, sugar, salt, celery seed, pepper, water, cider vinegar]"
German-Schnitzel_-Slow-Cooker-Style-1360027,"German Schnitzel, Slow Cooker Style",4,2700.0,[Main Dishes],[German],"[pork chops, egg whites, low-fat buttermilk, crumbs, black pepper, sea salt, garlic powder, hungarian paprika]"
German-Rouladen-1331949,German Rouladen,4,6600.0,[],[German],"[top round steak, thick-cut bacon, onions, bread and butter pickle slices, vegetable oil, beef broth, flour, water, salt, pepper]"
Homemade-German-Sauerkraut-1314407,Homemade German Sauerkraut,4,1800.0,,[German],"[cabbage, kosher salt, caraway seeds]"
Spaetzle-With-Kielbasa-and-Caramelized-Onions-1376281,Spaetzle With Kielbasa and Caramelized Onions,3,6300.0,[Main Dishes],[German],"[smoked kielbasa, unsalted butter, purple onion, thyme sprig, kosher salt, all-purpose flour, grated nutmeg, large eggs, whole milk, Emmenthal, black pepper]"
Bierocks-_German-Stuffed-Rolls_-1329196,Bierocks (German Stuffed Rolls),4,10200.0,[],[German],"[milk, butter, white sugar, active dry yeast, flour, eggs, salt, lean ground beef, onions, shredded cabbage, black pepper]"
Pfeffernusse-_Spice-Cookies_-1365587,Pfeffernusse (Spice Cookies),4,9660.0,[Desserts],[German],"[molasses, honey, coconut oil, eggs, anise extract, all-purpose flour, granulated sugar, brown sugar, baking soda, ground cinnamon, ground nutmeg, ground cloves, ground ginger, ground white pepper, salt, confectioners sugar]"
Bratkartoffeln-_German-Fried-Potatoes_-1309836,Bratkartoffeln (German Fried Potatoes),4,3900.0,[Side Dishes],[German],"[potatoes, salt, bacon, minced onion, bacon drippings, pepper]"
Rotkohl-_German-Red-Cabbage_-1316826,Rotkohl (German Red Cabbage),4,2700.0,[Side Dishes],[German],"[red cabbage, apples, apple cider vinegar, water, sugar, black pepper, clove, fresh lemon juice, butter]"
Linsen-Suppe-Mit-Wurst-_German-Lentil-Soup-With-Sausage_-1369232,Linsen Suppe Mit Wurst (German Lentil Soup With Sausage),4,5100.0,[Soups],[German],"[dried lentils, ham hock, butter, potatoes, chicken stock, bay leaf, worcestershire sauce, garlic, ground nutmeg, celery salt, ground black pepper, finely chopped onion, vegetable oil, flour, smoked sausage]"
Sauerbraten-1340986,Sauerbraten,3,10800.0,[Main Dishes],[German],"[apple cider vinegar, water, salt, whole cloves, bay leaves, onions, peppercorns, bottom round roast, oil, all-purpose flour]"
German-Potato-Salad-441570,German Potato Salad,5,3000.0,"[Side Dishes, Salads]",[German],"[waxy potatoes, salt, bacon, yellow onion, white wine vinegar, ground black pepper, fresh parsley leaves]"
Traditional-German-Schnitzel-1314408,Traditional German Schnitzel,4,1800.0,[Main Dishes],[German],"[pork chops, salt, pepper, flour, eggs, unseasoned breadcrumbs, butter, peanut oil, fresh parsley, lemon slices]"
