id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Greek-Quesadillas-with-Lemony-Tzatziki-1374144,Greek Quesadillas with Lemony Tzatziki,4,600.0,"[Lunch and Snacks, Appetizers]",[Greek],"[large flour tortillas, black beans, sun-dried tomatoes in oil, dried oregano, feta cheese, tzatziki sauce, plain greek yogurt, english cucumber, fresh dill, garlic cloves, lemon juice, salt]"
Greek-Tortellini-Salad-1369260,Greek Tortellini Salad,4,1800.0,[Salads],[Greek],"[cheese tortellini, grape tomatoes, cucumber, kalamata, purple onion, feta cheese crumbles, extra-virgin olive oil, red wine vinegar, garlic, dried oregano, salt, pepper]"
Vegan-Greek-Pita-1363728,Vegan Greek Pita,4,900.0,[Lunch and Snacks],[Greek],"[olive oil, onions, red bell pepper, oregano, garlic, whole wheat pita, hummus, Fresh Express® Hearts of Romaine, tomatoes, kalamata]"
Greek-Cooking-And-Greek-1375850,Greek Cooking And Greek,4,2700.0,,"[Mediterranean, Greek]","[fresh spinach, feta cheese, 1% low-fat cottage cheese, grated parmesan cheese, olive oil, green onions, dried dill, fresh lemon juice, salt, black pepper, large egg whites, phyllo dough]"
Tzatziki-_greek-yogurt-and-cucumber-sauce_-309867,Tzatziki (Greek Yogurt and Cucumber Sauce),5,1800.0,[Condiments and Sauces],[Greek],"[greek yogurt, lemon, garlic cloves, cucumber, kosher salt, fresh dill, ground black pepper]"
Traditional-Crispiest-Greek-Lemon-Potatoes-Recipe-_Patates-Lemonates_-1192001,Traditional Crispiest Greek Lemon Potatoes Recipe (Patates Lemonates),4,3900.0,,[Greek],"[potatoes, garlic, olive oil, water, dried oregano, lemon, semolina, salt, freshly ground pepper]"
My-Grandmas-Greek-Dressing-595927,My Grandma’s Greek Dressing,4,600.0,[Salads],[Greek],"[garlic, dried oregano, kosher salt, ground black pepper, lemon juice, olive oil]"
Creamy-Greek-Tzatziki-1346759,Creamy Greek Tzatziki,4,3600.0,[],[Greek],"[plain greek yogurt, english cucumber, garlic, dill, extra-virgin olive oil, kosher salt, ground black pepper]"
Easy-Tzatziki-Sauce-511981,Easy Tzatziki Sauce,5,3300.0,[Condiments and Sauces],"[Greek, Mediterranean]","[greek yogurt, cucumber, garlic, olive oil, lemon, fresh dill, salt]"
Greek-Spinach-_-Feta-Meatloaf-1373835,Greek Spinach & Feta Meatloaf,4,3900.0,[Main Dishes],[Greek],"[olive oil, minced garlic, baby spinach, ground beef, feta cheese crumbles, roasted red peppers, yellow onion, seasoned bread crumbs, eggs, dried oregano, dried parsley, dried thyme, salt, black pepper, worcestershire sauce, ketchup, pinenuts]"
Greek-Chicken-Salad-1349827,Greek Chicken Salad,4,60.0,[Salads],[Greek],"[cooked chicken, kalamata, plum tomatoes, cucumber, fresh oregano, lemon juice, Hellmann's® Real Mayonnaise, feta cheese crumbles, pitted kalamata olives, kosher salt, ground black pepper]"
Chicken-Souvlaki-with-Tzatziki-Sauce-1355052,Chicken Souvlaki with Tzatziki Sauce,4,3600.0,[Main Dishes],"[Barbecue, Greek]","[olive oil, lemon juice, garlic, dried oregano, salt, boneless skinless chicken breast halves, plain greek yogurt, cucumber, white vinegar]"
Greek-Salad-1349467,Greek Salad,4,2400.0,[Salads],[Greek],"[extra-virgin olive oil, fresh lemon juice, red wine vinegar, dried oregano, dried basil, garlic, salt, ground black pepper, sugar, romaine lettuce, roma tomatoes, cucumber, purple onion, green bell pepper, feta cheese crumbles, kalamata]"
Spanakopita-_Greek-Spinach-Pie_-Closet-Cooking-54998,Spanakopita (Greek Spinach Pie),5,3600.0,,[Greek],"[spinach, feta cheese, dill, parsley, green onions, eggs, salt, pepper, olive oil, phyllo dough]"
Greek-Style-Chickpea-Salad-1342954,Greek-Style Chickpea Salad,4,1500.0,[Salads],[Greek],"[chickpeas, olive oil, lemon juice, dried oregano, ground cumin, garlic cloves, english cucumber, diced red onions, red bell pepper, cherry tomatoes, ground black pepper, salt, salad greens, feta cheese]"
5-Layer-Greek-Dip-1364581,5-Layer Greek Dip,4,600.0,[Appetizers],[Greek],"[hummus, feta cheese, Dole Classic Romaine, cherry tomatoes, kalamata]"
Lamb-Chops-with-Winter-Greek-Salad-1359708,Lamb Chops with Winter Greek Salad,3,2100.0,[Main Dishes],[Greek],"[lamb loin chops, pepper, salt, mint leaves, Italian parsley leaves, garlic, olive oil, cauliflower florets, apples, green onions, black olives, flat leaf parsley, lemon, feta cheese]"
Roasted-greek-potatoes-with-feta-cheese-and-lemon-350906,Roasted Greek Potatoes with Feta Cheese and Lemon,5,3300.0,[Side Dishes],[Greek],"[potatoes, extra-virgin olive oil, dried thyme, dried oregano, sea salt, black pepper, feta cheese, fresh lemon juice, fresh parsley]"
Tzatziki-Greek-Sauce-1003577,Tzatziki – Greek Sauce,4,1800.0,[Condiments and Sauces],[Greek],"[greek yogurt, lemon juice, garlic cloves, english cucumber, salt, fresh dill, fresh mint, ground black pepper]"
Mason-Jar-Greek-Salad-with-Chickpeas-1366996,Mason Jar Greek Salad with Chickpeas,4,600.0,[Salads],[Greek],"[vinaigrette, chickpeas, cherry tomatoes, cucumber, diced red onions, pitted black olives, feta cheese crumbles, fresh parsley, lemon juice, salt, freshly ground black pepper, olive oil]"
Baklava-The-Pioneer-Woman-200157,Baklava,5,,[Desserts],[Greek],"[phyllo dough, chopped walnuts, cinnamon, butter, honey, water, sugar, vanilla extract]"
Greek-Yogurt-Fruit-Tart-1055231,Greek Yogurt Fruit Tart,4,1500.0,[Desserts],[Greek],"[medjool date, greek yogurt, sliced fresh fruit]"
Greek-Spinach-_-Feta-Meatloaf-1373669,Greek Spinach & Feta Meatloaf,4,3900.0,[Main Dishes],[Greek],"[olive oil, minced garlic, baby spinach, ground beef, feta cheese crumbles, roasted red peppers, yellow onion, seasoned bread crumbs, eggs, dried oregano, dried parsley, dried thyme, salt, black pepper, worcestershire sauce, ketchup, pinenuts]"
Greek-Marinated-Chicken-1331792,Greek Marinated Chicken,4,6300.0,[Main Dishes],[Greek],"[plain yogurt, olive oil, garlic, dried oregano, lemon, salt, cracked black pepper, fresh parsley, chicken pieces]"
Greek-style-Lamb-Meatballs-1373240,Greek-style Lamb Meatballs,3,2400.0,[Main Dishes],[Greek],"[ground lamb, garlic, lemon, dried oregano, garlic powder, sea salt, black pepper, fresh lemon, extra-virgin olive oil]"
Traditional-Greek-Pita-Bread_-629881,Traditional Greek Pita Bread.,3,5400.0,[Breads],[Greek],"[hot water, instant yeast, all-purpose flour, salt, olive oil]"
Fresh-Vegetarian-Greek-Pasta-1062342,Fresh Vegetarian Greek Pasta,4,1800.0,[Main Dishes],[Greek],"[tomatoes, kalamata, feta cheese, chopped parsley, basil, salt, black pepper, penne pasta, olive oil, garlic]"
Greek-Cucumber-Salad-Jo-Cooks-46081,Greek Cucumber Salad,4,300.0,"[Salads, Side Dishes]","[Greek, Mediterranean]","[english cucumber, greek yogurt, feta cheese, fresh dill, pepper, salt]"
Feta-Greek-Yogurt-Dip-754172,Feta Greek Yogurt Dip,4,3000.0,[Appetizers],[Greek],"[nonfat greek yogurt, feta cheese crumbles, fresh parsley, olive oil, grated parmesan cheese, fresh lemon juice, capers, chopped garlic, salt, cracked black pepper, cayenne pepper]"
Greek-Pasta-Salad-441626,Greek Pasta Salad,5,900.0,"[Salads, Side Dishes]","[Greek, Mediterranean]","[rotini, tomatoes, cucumber, onions, feta cheese, fresh oregano, fresh parsley, red wine vinegar, olive oil, cracked black pepper, salt]"
Greek-Tzatziki-Sauce-1348899,Greek Tzatziki Sauce,4,1800.0,[Condiments and Sauces],[Greek],"[whole milk yoghurt, lemon juice, fresh dill, garlic, salt, cucumber]"
Greek-Nachos-450760,Greek Nachos,5,3900.0,[Breads],[Greek],"[flour, whole wheat flour, salt, honey, yeast, water, olive oil]"
Zucchini-Noodles-_Zoodles_-Greek-Salad-1346346,Zucchini Noodles (Zoodles) Greek Salad,4,1500.0,[Salads],[Greek],"[juice, balsamic vinegar, olive oil, fresh oregano, kosher salt, pepper, medium zucchini, grape tomatoes, pitted kalamata olives, feta cheese crumbles]"
Greek-Yogurt-Chicken-Salad-596757,Greek-Yogurt Chicken Salad,3,1500.0,[Salads],[Greek],"[boneless skinless chicken breasts, nonfat greek yogurt, celery, apples, grapes, slivered almonds]"
Greek-Chicken-Cutlets-1366175,Greek Chicken Cutlets,4,3600.0,[Main Dishes],[Greek],"[chicken cutlets, salt, pepper, eggs, bread crumbs, oil, butter, garlic cloves, white wine, chicken stock, lemon, dried oregano, Greek olive, grape tomatoes, purple onion, feta cheese, parsley]"
Tzatziki-The-Shiksa-Blog-48852,Tzatziki,5,,"[Lunch and Snacks, Appetizers, Side Dishes, Condiments and Sauces]","[Mediterranean, Greek]","[plain low fat greek yogurt, english cucumber, extra-virgin olive oil, mint, garlic, fresh lemon juice, salt, fresh mint]"
Tzatziki-Greek-Yogurt-Chicken-Salad-1079596,Tzatziki Greek Yogurt Chicken Salad,4,300.0,[Salads],[Greek],"[chicken, greek yogurt, cucumber, herbs, garlic, red wine vinegar, salt, pepper]"
Greek-Salad-Rolls-1358373,Greek Salad Rolls,4,9000.0,[Breads],[Greek],"[bread flour, luke warm water, dry yeast, olive oil, eggs, salt, oregano, water, feta cheese crumbles, cherry tomatoes, sliced olives, purple onion]"
Greek-Salad-1365431,Greek Salad,4,900.0,[Salads],[Greek],"[spring mix, romaine lettuce, iceberg, cherry tomatoes, purple onion, cucumber, kalamata, roasted red peppers, artichokes, feta cheese, fresh parsley, dried oregano, olive oil, sea salt, pepper, garlic powder, lemon juice]"
Avgolemono-_Greek-Lemon-Chicken-Soup_-381086,Avgolemono (Greek Lemon Chicken Soup),5,2400.0,[Soups],[Greek],"[chicken stock, long grain white rice, eggs, lemon, kosher salt, ground black pepper, parsley leaves]"
Greek-Salad-and-Feta-Cheese-in-India-1373865,Greek Salad and Feta Cheese in India,4,600.0,[Salads],[Greek],"[tomatoes, cucumber, onions, capsicum, feta cheese, olives, olive oil, vinegar, salt, pepper, dried oregano]"
