id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Chicken-Paprikash-_-Dumplings-1353545,Chicken Paprikash & Dumplings,3,5100.0,[Main Dishes],[Hungarian],"[chicken, margarine, onions, salt, pepper, paprika, milk, flour, vinegar, eggs]"
Traditional-Hungarian-Goulash-_Gulyas_-1339556,Traditional Hungarian Goulash (Gulyas),4,3900.0,[],[Hungarian],"[lard, yellow onion, hungarian paprika, beef, garlic, red bell pepper, yellow bell pepper, tomatoes, carrots, medium potatoes, beef broth, bay leaf, salt, ground black pepper]"
Delicious-Crockpot-Hungarian-Goulash-1362359,Delicious Crockpot Hungarian Goulash,3,600.0,[Main Dishes],[Hungarian],"[vegetable oil, mushrooms, onions, red bell pepper, garlic cloves, lean beef, salt, sweet paprika, caraway seeds, flour, beef broth, egg noodles, tomato paste]"
Slow-Cooker-Hungarian-Goulash-1314072,Slow Cooker Hungarian Goulash,4,3900.0,[Main Dishes],[Hungarian],"[chuck roast, low sodium beef broth, yellow onion, yukon gold potatoes, garlic, water, all-purpose flour, tomato paste, paprika, brown sugar, worcestershire sauce, dry mustard, kosher salt, freshly ground pepper]"
Hungarian-Cucumber-Salad_-_Uborkasalata_-_paleo_-1298375,"Hungarian Cucumber Salad, ""Uborkasalata"" (paleo)",4,1200.0,[Salads],[Hungarian],"[english cucumber, coconut cream, apple cider vinegar, salt, pepper, garlic, paprika]"
Hungarian-Chickpeas-1110603,Hungarian Chickpeas,3,1200.0,,[Hungarian],"[chickpeas, kalamata, raisins, extra-virgin olive oil, dijon mustard, dried oregano, garlic, sea salt]"
Hungarian-Mushroom-Soup-1316769,Hungarian Mushroom Soup,4,2700.0,[Soups],[Hungarian],"[onions, chicken stock, mixed mushrooms, paprika, dill weed, cayenne, soy sauce, butter, flour, milk, rice vinegar, parsley, sour cream, kosher salt, black pepper]"
Hearty-Hungarian-Beef-Goulash-1333310,Hearty Hungarian Beef Goulash,3,29100.0,[Main Dishes],[Hungarian],"[beef stew meat, onions, garlic, red bell pepper, flour, paprika, thyme, salt, pepper, beef broth, tomatoes with juice]"
Hungarian-Chicken-1008134,Hungarian Chicken,3,5100.0,[Main Dishes],[Hungarian],"[olive oil, onions, garlic, hungarian paprika, chicken thighs, chicken legs, fresh bay leaves, chicken stock, chopped tomatoes, sour cream]"
Hungarian-Goulash-1365223,Hungarian Goulash,3,8700.0,[Main Dishes],[Hungarian],"[vegetable oil, mushrooms, onions, red bell pepper, garlic cloves, salt, chuck, hungarian paprika, all-purpose flour, caraway seeds, low sodium beef broth, tomato paste, fresh dill]"
Sausage-Leczo-_-Lecso-_Hungarian-Vegetable-Stew_-1276079,Sausage Leczo / Lecso (Hungarian Vegetable Stew),4,3600.0,[],[Hungarian],"[tomatoes, green pepper, yellow onion, polish sausage]"
Hungarian-Mushroom-Soup-679504,Hungarian Mushroom Soup,4,2400.0,[Soups],[Hungarian],"[butter, onions, mushrooms, flour, paprika, vegetable broth, dried dill, soy sauce, salt, pepper, sour cream, lemon juice, fresh dill]"
Hungarian-Chilled-Cherry-Soup-_Meggyleves_-441607,Hungarian Chilled Cherry Soup (Meggyleves),5,1500.0,[Soups],[Hungarian],"[sour cherries, juice, kosher salt, cinnamon sticks, lemon slices, sour cream]"
Hungarian-Mushroom-Soup-Allrecipes,Hungarian Mushroom Soup,5,3000.0,[Soups],"[American, Hungarian]","[unsalted butter, onions, fresh mushrooms, dried dillweed, paprika, soy sauce, chicken broth, milk, all-purpose flour, salt, ground black pepper, lemon juice, fresh parsley, sour cream]"
Hungarian-Cabbage-Noodles-1038917,Hungarian Cabbage Noodles,4,1200.0,[Side Dishes],[Hungarian],"[wide egg noodles, butter, sweet onion, cabbage, salt, ground black pepper, chicken broth, milk, bread crumbs]"
Slow-Cooker-Hungarian-Goulash-1338025,Slow Cooker Hungarian Goulash,4,2700.0,[Main Dishes],[Hungarian],"[bacon grease, onions, hungarian paprika, garlic, beef stew meat, salt, pepper, caraway seeds, daikon, green pepper, celery, diced tomatoes, chicken broth, bay leaf]"
Slow-Cookers-Beef-Paprikash-1044728,Slow Cookers Beef Paprikash,3,15300.0,[Main Dishes],[Hungarian],"[boneless beef chuck, chopped onion, chopped green bell pepper, beef, water, tomato paste, McCormick® Paprika, sour cream]"
Hungarian-Crepes-974092,Hungarian Crepes,4,2400.0,[],[Hungarian],"[crepes, cottage cheese, sugar, sour cream, eggs, vanilla extract]"
Easy-Chicken-Paprikas-_Paprikash_-676512,Easy Chicken Paprikas (Paprikash),4,1200.0,[Main Dishes],[Hungarian],"[boneless chicken skinless thigh, ground black pepper, salt, olive oil, butter, onions, garlic, celery, hungarian paprika, flour, low sodium chicken broth, sour cream, egg noodles, fresh parsley]"
Hungarian-Jam-Squares-1017905,Hungarian Jam Squares,4,2700.0,[Desserts],[Hungarian],"[all-purpose flour, granulated sugar, baking powder, salt, unsalted butter, large eggs, pure vanilla extract, jam, powdered sugar]"
Szegediner-Gulasch-_German-Sauerkraut-Beef-Goulash_-1333053,Szegediner Gulasch (German Sauerkraut Beef Goulash),4,7500.0,[Main Dishes],[German],"[beef shoulder roast, hungarian sweet paprika, hungarian hot paprika, vegetable oil, lard, onions, kosher salt, cracked black pepper, garlic, tomato paste, low sodium beef broth, dry red wine, water, sauerkraut, corn starch, sour cream]"
Slow-Cooker-Hungarian-Goulash-1300599,Slow Cooker Hungarian Goulash,4,2400.0,[Main Dishes],[Hungarian],"[round steaks, onions, butter, flour, hungarian paprika, red wine vinegar, garlic cloves, tomato paste, thyme, low sodium broth]"
Hungarian-Casino-Egg-Salad-1322562,Hungarian Casino Egg Salad,3,1800.0,[Salads],[Hungarian],"[hard-boiled egg, unsalted butter, sour cream, white vinegar, ground black pepper, oil packed anchovy fillets, capers, fresh chives, purple onion]"
Hungarian-Goulash-I-Allrecipes,Hungarian Goulash I,4,8100.0,[Main Dishes],[Hungarian],"[vegetable oil, onions, hungarian sweet paprika, salt, ground black pepper, beef stew meat, tomato paste, water, garlic]"
Homemade-Hungarian-Sausage-978142,Homemade “Hungarian” Sausage,4,1800.0,[Main Dishes],[Hungarian],"[ground pork, garlic powder, paprika, cooking fat]"
A-Hungarian-Dish-1271398,A Hungarian Dish,4,2400.0,[Main Dishes],[Hungarian],"[olive oil, onions, shallots, chicken breasts, canned chopped tomatoes, tomato sauce, hungarian paprika, cayenne pepper, marjoram, greek yogurt, arrowroot powder, celtic salt, brown rice]"
Hungarian-Style-Summer-Squash-With-Dill-939159,Hungarian-Style Summer Squash With Dill,4,1500.0,[Side Dishes],[Hungarian],"[zucchini, salt, butter, onions, flour, half & half, white wine vinegar, sour cream, fresh dill, ground black pepper]"
Make-Ahead-Slow-Cooker-Chicken-Paprikash-1269457,Make-Ahead Slow-Cooker Chicken Paprikash,3,58800.0,[Main Dishes],[Hungarian],"[fire roasted diced tomatoes, smoked paprika, salt, garlic, boneless chicken skinless thigh, yellow bell pepper, onions, cooked white rice, sour cream, dill weed]"
Slow-Cooker-Hungarian-Goulash-896695,Slow Cooker Hungarian Goulash,4,3600.0,[Main Dishes],[Hungarian],"[chuck roast, carrots, red potato, fresh mushrooms, yellow onion, garlic, low sodium beef broth, tomato paste, worcestershire sauce, hungarian sweet paprika, brown sugar, dry mustard, kosher salt, ground black pepper]"
Franks-and-Sauerkraut-Paprikash-Simply-Recipes-42828,Franks and Sauerkraut Paprikash,5,3000.0,[Main Dishes],[Hungarian],"[frankfurters, butter, chopped onion, garlic, paprika, dried dill, caraway seeds, beef broth, sauerkraut, sour cream]"
Hungarian-Tart-1083514,Hungarian Tart,4,3300.0,"[Afternoon Tea, Desserts]",[Hungarian],"[butter, cooking oil, baking powder, sugar, beaten eggs, vanilla essence, flour, jam]"
Hungarian-Style-Stuffed-Cabbage-Rolls-932797,Hungarian-Style Stuffed Cabbage Rolls,4,1500.0,,[Hungarian],"[cabbage, olive oil, onions, garlic, long grain white rice, ground pork, ground beef, salt, black pepper, sauerkraut, diced tomatoes, tomato paste, tomato juice, smoked bacon]"
Pork-Paprikash-Martha-Stewart,Pork Paprikash,4,1500.0,[Main Dishes],[Hungarian],"[coarse salt, ground pepper, egg noodles, butter, pork tenderloin, sweet paprika, olive oil, onions, whole peeled tomatoes, juice, sour cream, chopped parsley]"
Hungarian-Lecso-Recipe---Tomato-Pepper-Stew-993654,Hungarian Lecso Recipe - Tomato-Pepper Stew,3,3600.0,,[Hungarian],"[bacon grease, onions, bananas, tomatoes, sugar, salt, hungarian paprika]"
Chicken-Paprikash-1088290,Chicken Paprikash,4,2700.0,[Main Dishes],[Hungarian],"[boneless chicken skinless thigh, ground black pepper, kosher salt, olive oil, yellow onion, red bell pepper, sweet paprika, stock, chicken stock cubes, sour cream, flour, egg noodles, cooked and drained, butter]"
Hungarian-goulash-342707,Hungarian Goulash,3,8700.0,[Main Dishes],[Hungarian],"[vegetable oil, mushrooms, onions, red bell pepper, garlic cloves, salt, chuck, hungarian paprika, all-purpose flour, caraway seeds, low sodium beef broth, tomato paste, fresh dill]"
Szilvas-Pite-_Hungarian-Plum-Cake_-900752,Szilvás Pite (Hungarian Plum Cake),3,4500.0,[Desserts],[Hungarian],"[unsalted butter, flour, baking powder, kosher salt, sugar, eggs, plain yogurt, canola oil, vanilla extract, plums, ground cinnamon]"
Authentic-Hungarian-Goulash-Allrecipes,Authentic Hungarian Goulash,4,13800.0,[Main Dishes],[Hungarian],"[butter, onions, flank steak, caraway seeds, marjoram, garlic, paprika, water, potatoes, pepper, salt]"
Chicken-Paprikash-Ii-Allrecipes,Chicken Paprikash II,5,5400.0,[],[Hungarian],"[bacon grease, onions, garlic, salt, crushed red pepper flakes, paprika, chicken, water, diced tomatoes, all-purpose flour, sour cream]"
Hungarian-Poppy-Seed-Filling-AllRecipes,Hungarian Poppy Seed Filling,5,3600.0,[Desserts],"[German, Hungarian]","[poppy seeds, milk, margarine, white sugar, salt, eggs]"
Hungarian-Bread-1041522,Hungarian Bread,4,2100.0,[Breads],[Hungarian],"[flour, butter, large egg yolks, sugar, milk, instant yeast, salt]"
Tandoori-Style-Chicken-Paprikash-1118186,Tandoori Style Chicken Paprikash,4,2700.0,[],[Hungarian],"[chicken drumsticks, greek yogurt, hungarian paprika]"
Potato-And-Egg-Casserole-Allrecipes,Potato and Egg Casserole,4,4500.0,"[Side Dishes, Breakfast and Brunch]",[Hungarian],"[potatoes, eggs, seasoning salt, margarine, sour cream]"
Hungarian-Goulash-Ii-Allrecipes,Hungarian Goulash II,4,37800.0,[Main Dishes],[Hungarian],"[chuck roast, onions, ketchup, worcestershire sauce, brown sugar, salt, hungarian sweet paprika, dry mustard, water, all-purpose flour]"
Paleo-Hungarian-Goulash-947364,Paleo Hungarian Goulash,4,3600.0,[Main Dishes],[Hungarian],"[coconut oil, beef, onions, bell pepper, garlic, paprika, tomatoes, water]"
Slow-Cooker-Hungarian-Goulash-983090,Slow Cooker Hungarian Goulash,3,3900.0,[Main Dishes],[Hungarian],"[round steaks, onions, butter, flour, hungarian paprika, red wine vinegar, garlic, tomato paste, thyme, low sodium broth, egg noodles]"
Mushroom-Bacon-Paprikash-599987,Mushroom Bacon Paprikash,3,1800.0,[],[Hungarian],"[butter, onions, garlic cloves, bacon, mushrooms, tomato paste, paprika, salt, sour cream, egg noodles]"
Hungarian-Egg-Salad-592495,Hungarian Egg Salad,4,1800.0,[Salads],[Hungarian],"[hard-boiled egg, unsalted butter, sour cream, white vinegar, ground black pepper, oil packed anchovy fillets, capers, fresh chives, purple onion]"
Hungarian-Goulash-1051663,Hungarian Goulash,3,1200.0,[Main Dishes],[Hungarian],"[onions, sweet pepper, garlic, beef stew meat, tomato paste, water, hungarian paprika, salt, black pepper, hot cooked noodles]"
Chicken-Paprikash-over-Dumplings-997693,Chicken Paprikash over Dumplings,4,1800.0,[Main Dishes],[Hungarian],"[boneless chicken breast, extra-virgin olive oil, purple onion, garlic cloves, hungarian paprika, all-purpose flour, low fat low sodium chicken broth, nonfat greek yogurt, dumplings]"
Easy-Chicken-Paprikash-1056625,Easy Chicken Paprikash,4,2400.0,[Main Dishes],[Hungarian],"[boneless skinless chicken breasts, olive oil, green pepper, onions, paprika, chicken broth, Muir Glen Diced Tomatoes, lemon juice, sour cream, pepper, salt]"
Porkolt-_Hungarian-Stew_-Made-With-Pork-AllRecipes,Porkolt (Hungarian Stew) Made With Pork,5,8100.0,"[Soups, Main Dishes]",[Hungarian],"[bacon, onions, hungarian paprika, garlic powder, ground black pepper, boneless chop pork, yellow bell pepper, diced tomatoes, beef broth, reduced-fat sour cream, egg noodles]"
Hungarian-Cucumber-Salad-493556,Hungarian Cucumber Salad,4,,"[Salads, Side Dishes]",[Hungarian],"[cucumber, shallots, fresh dill, white vinegar, water, sugar, salt, sour cream, hungarian paprika]"
Paprika-chicken-stroganoff-369593,Paprika Chicken Stroganoff,4,3000.0,[Main Dishes],[Hungarian],"[boneless skinless chicken breasts, sweet paprika, salt, black pepper, all-purpose flour, olive oil, yellow onion, sliced mushrooms, minced garlic, chicken broth, tomato paste, bay leaf, light sour cream, egg noodles, cooked and drained, chopped parsley]"
Hungarian-ish-dumpling-and-egg-noodle-soup-347140,Hungarian-ish Dumpling and Egg Noodle Soup,5,1800.0,[Soups],[Hungarian],"[chicken broth, ground chicken, large eggs, plain breadcrumbs, grated nutmeg, smoked paprika, fresh parsley, salt, freshly ground pepper, egg noodles, piquillo peppers, thin sticks, scallions, fresh dill]"
Hungarian-Braided-White-Bread-Allrecipes,Hungarian Braided White Bread,5,9000.0,[Breads],[Hungarian],"[active dry yeast, milk, egg yolks, eggs, white sugar, salt, all-purpose flour, poppy seeds]"
Crock-Pot-Hungarian-Goulash-1182668,Crock Pot Hungarian Goulash,4,3900.0,[Main Dishes],[Hungarian],"[vegetable oil, mushrooms, onions, red bell pepper, garlic cloves, sea salt, chuck, sweet paprika, all-purpose flour, caraway seeds, low sodium beef broth, tomato paste, egg noodles]"
Sweet-Potato-_-3-Bean-Slow-Cooker-Paprikash-_-Vegan-566015,Sweet Potato & 3-Bean Slow Cooker Paprikash | Vegan,4,1800.0,[],[Hungarian],"[sweet potatoes, red lentils, purple onion, kidney beans, butter beans, black-eyed peas, chopped tomatoes, stock, marmite, garlic, hungarian paprika, cayenne pepper, black pepper]"
Chicken-Paprikas-My-Recipes,Chicken Paprikas,4,3000.0,[Main Dishes],"[American, Hungarian]","[chicken breast halves, chicken drumsticks, chicken thighs, salt, black pepper, cooking spray, chopped onion, fat free less sodium chicken broth, hungarian sweet paprika, all-purpose flour, low-fat sour cream, medium egg noodles]"
Hungarian-Beef-Stew-458502,Hungarian Beef Stew,5,7500.0,[Main Dishes],[Hungarian],"[olive oil, boneless beef chuck, yellow onion, freshly ground pepper, salt, large garlic cloves, smoked paprika, tomato paste, chicken broth, boiling potatoes, red bell pepper, carrots]"
Hungarian-Beigli-Allrecipes,Hungarian Beigli,5,9300.0,[Breads],[Hungarian],"[white sugar, unsalted butter, egg yolks, sour cream, self rising flour, active dry yeast, whole milk, chopped walnuts, lemon, golden raisins, eggs, water]"
Hungarian-style-Chicken-_-Ratatouille-1242321,Hungarian style Chicken & Ratatouille,4,3300.0,[Main Dishes],[Hungarian],"[scallopini, eggplant, roma tomatoes, baby portobello mushrooms, red potato, onions, garlic, fresh rosemary, fresh thyme, rub, gouda]"
Hungarian-Beef-Goulash-1006138,Hungarian Beef Goulash,3,4200.0,[Main Dishes],[Hungarian],"[cooking oil, stewing beef, onions, large garlic cloves, bell pepper, paprika, caraway seeds, chopped tomatoes, stock, chopped parsley]"
Chicken-Paprikash-Martha-Stewart-193289,Chicken Paprikash,4,2700.0,[Main Dishes],[Hungarian],"[chicken leg quarters, coarse salt, ground pepper, vegetable oil, yellow onion, garlic cloves, sweet paprika, all-purpose flour, low sodium chicken broth, diced tomatoes, egg noodles, sour cream]"
Hungarian-Lecso-Allrecipes,Hungarian Lecso,4,2700.0,[Side Dishes],[Hungarian],"[new potatoes, butter, garlic, onions, green bell pepper, smoked sausage, stewed tomatoes, tomatoes, paprika, water]"
Hungarian-Coconut-Balls-Allrecipes,Hungarian Coconut Balls,4,600.0,[Desserts],[Hungarian],"[mashed potatoes, confectioners sugar, unsweetened cocoa powder, lemon juice, extract, raisins, flaked coconut, lemon zest]"
Hungarian-Lecso-993655,Hungarian Lecsó,4,3600.0,,[Hungarian],"[bacon grease, onions, green bell pepper, tomatoes, sugar, salt, hungarian paprika]"
Weeknight-Chicken-Paprikash-626108,Weeknight Chicken Paprikash,3,1500.0,[Main Dishes],[Hungarian],"[olive oil, chicken breast tenderloins, onions, red bell pepper, garlic, whipping cream, paprika, tomato paste, caraway seeds, salt, black pepper, diced tomatoes, pasta]"
Hungarian-Goulash-MyRecipes-242188,Hungarian Goulash,4,5280.0,[Main Dishes],[Hungarian],"[garlic cloves, kosher salt, caraway seeds, black pepper, cooking spray, pork tenderloin, chopped onion, bacon, water, tomatoes, paprika, beer, crushed red pepper, chiles, all-purpose flour, egg noodles, butter, sour cream, chopped parsley]"
Hungarian-Pork-Chops-Allrecipes,Hungarian Pork Chops,4,4500.0,[Main Dishes],[Hungarian],"[pork chops, salt, pepper, all-purpose flour, sour cream, dry sherry, ketchup, worcestershire sauce, paprika, bay leaf]"
Hungarian-Mushroom-Soup-999968,Hungarian Mushroom Soup,4,2700.0,[Soups],[Hungarian],"[onions, butter, mushrooms, hungarian paprika, fresh dill, light soy sauce, white wine, flour, half & half, salt, stock, lemon juice, sour cream, kosher salt, freshly ground pepper, dill]"
Slow-Cooker-Hungarian-Goulash-1099957,Slow Cooker Hungarian Goulash,4,2400.0,[Main Dishes],[Hungarian],"[beef stew meat, onions, garlic, pepper sauce, worcestershire sauce, brown sugar, salt, paprika, dry mustard, water, flour, cold water]"
Real-Hungarian-Goulash-990592,Real Hungarian Goulash,4,8400.0,[Main Dishes],[Hungarian],"[lard, onions, chuck, hungarian paprika, water, salt and ground black pepper]"
An-easy-hungarian-style-burger-319390,An easy Hungarian style burger,3,1500.0,,[Hungarian],"[beef sirloin, purple onion, fresh thyme leaves, flat leaf parsley, paprika, kosher salt, lemon zest, dry red wine, sour cream, sweet paprika, fresh thyme, kaiser rolls]"
Geneva_s-Ultimate-Hungarian-Mushroom-Soup-AllRecipes,Geneva's Ultimate Hungarian Mushroom Soup,5,3000.0,[Soups],[Hungarian],"[unsalted butter, onions, fresh mushrooms, fresh dill, hungarian sweet paprika, soy sauce, low sodium chicken broth, skim milk, all-purpose flour, tomatoes, hungarian wax pepper, salt, ground black pepper, light sour cream]"
Slow-Cooker-Hungarian-Goulash-1214636,Slow Cooker Hungarian Goulash,4,3900.0,[Main Dishes],[Hungarian],"[chuck roast, low sodium beef broth, yellow onion, yukon gold potatoes, garlic, water, all-purpose flour, tomato paste, paprika, brown sugar, worcestershire sauce, dry mustard, kosher salt, freshly ground pepper]"
Hungarian-goulash-317488,HUNGARIAN GOULASH,3,3000.0,[Main Dishes],[Hungarian],"[olive oil, unsalted butter, yellow onion, garlic cloves, hungarian paprika, beef round, flour, salt, pepper, fresh thyme leaves, beef stock, red wine, chopped tomatoes, sour cream]"
Veal-Paprikash-Epicurious,Veal Paprikash,4,2700.0,[Main Dishes],[Hungarian],"[lard, bacon fat, olive oil, onions, shallots, veal scallops, diced tomatoes, hungarian sweet paprika, hungarian hot paprika, marjoram, sour cream]"
Hunza-Bread-Ii-Allrecipes,Hunza Bread II,5,10500.0,[Breads],[Hungarian],"[active dry yeast, warm water, bread flour, white sugar, salt, egg yolks, margarine, milk, golden raisins, egg whites]"
Hungarian-Lecso-Ii-Allrecipes,Hungarian Lecso II,4,2400.0,,[Hungarian],"[olive oil, green bell pepper, onions, diced tomatoes, salt, pepper, paprika, eggs, rye bread]"
Chicken-Paprikash-My-Recipes_2,Chicken Paprikash,4,1800.0,[Main Dishes],[Hungarian],"[canola oil, chicken breast tenders, onions, red bell pepper, minced garlic, whipping cream, paprika, tomato paste, caraway seeds, salt, black pepper, diced tomatoes]"
Chicken-Paprikash-780564,Chicken Paprikash,3,5100.0,[Main Dishes],[Hungarian],"[chicken thighs, extra-virgin olive oil, red bell pepper, garlic, fresh rosemary, chicken stock, sweet paprika, tomato paste, red wine vinegar, yukon gold potatoes]"
Slow-Cooker-Hungarian-Goulash-1199646,Slow Cooker Hungarian Goulash,4,3900.0,[Main Dishes],[Hungarian],"[chuck roast, low sodium beef broth, yellow onion, yukon gold potatoes, garlic, water, all-purpose flour, tomato paste, paprika, brown sugar, worcestershire sauce, dry mustard, kosher salt, freshly ground pepper]"
Hungarian-Goulash-1072527,Hungarian Goulash,4,4800.0,,[Hungarian],"[onions, lard, hungarian paprika, chopped garlic, caraway seeds, black pepper, salt, stock, tomato paste, beef stew, eggs, egg yolks, granulated sugar, unsalted butter, lemon zest, fresh lemon juice]"
Slow-Cooker-Beef-Paprikash-Stew-757584,Slow Cooker Beef Paprikash Stew,4,4200.0,[Main Dishes],[Hungarian],"[stewing beef, crushed tomatoes, dry red wine, onions, minced garlic, sweet paprika, paprika, sea salt, black pepper, vegetables, sour cream]"
Gigi_s-Hungarian-Almond-Roll-My-Recipes,Gigi's Hungarian Almond Roll,3,,[Breads],[Hungarian],"[active dry yeast, sugar, large egg yolks, butter, all-purpose flour, almond filling, milk]"
Chicken-paprikash-337034,Chicken Paprikash,3,3600.0,[Main Dishes],[Hungarian],"[butter, chicken breasts, onions, celery, carrots, paprika, cayenne pepper, chicken stock, all-purpose flour, sour cream, extra wide egg noodles]"
Chicken-Paprikash-1072549,Chicken Paprikash,4,2400.0,[Main Dishes],[Hungarian],"[olive oil, boneless skinless chicken breasts, red bell pepper, yellow bell pepper, onions, minced garlic, paprika, chicken broth, heavy cream, corn starch, salt, pepper, hot cooked noodles]"
Hungarian-Vegetable-and-Sprout-Soup-1061724,Hungarian Vegetable and Sprout Soup,3,3600.0,[Soups],[Hungarian],"[garlic, sweet paprika, paprika, marjoram, carrots, cabbage, green pepper, mushrooms, beansprouts, tomatoes, tomato juice, red wine, vegetable broth, soy sauce, dill, salt, sour cream, parsley]"
Streamline-Hungarian-Torte-Allrecipes,Streamline Hungarian Torte,5,5400.0,[Desserts],[Hungarian],"[chopped walnuts, ground cinnamon, white sugar, warm water, active dry yeast, egg yolks, sour cream, butter, all-purpose flour, apricot preserves, egg whites]"
Campbell_s-Kitchen-Easy-Chicken-Paprikash-Allrecipes,Campbell's Kitchen Easy Chicken Paprikash,3,1500.0,[Main Dishes],[Hungarian],"[swanson chicken broth, all-purpose flour, paprika, ground red pepper, boneless skinless chicken breasts, onions, plain yogurt, egg noodles, cooked and drained]"
Hungarian-Goulash-III-AllRecipes-39936,Hungarian Goulash III,4,10500.0,[Main Dishes],[Hungarian],"[cooking spray, beef stew meat, yellow onion, water, ketchup, worcestershire sauce, white vinegar, brown sugar, paprika, salt, dry mustard, egg noodles]"
Chicken-Paprikash-1169602,Chicken Paprikash,4,3300.0,[Main Dishes],[Hungarian],"[bacon, onions, green bell pepper, olive oil, all-purpose flour, paprika, marjoram, garlic powder, salt, boneless skinless chicken breasts, chicken broth, rice, noodles, sour cream, fresh parsley]"
Hungarian-Beef-Goulash-MyRecipes-212144,Hungarian Beef Goulash,4,22500.0,[Main Dishes],[Hungarian],"[vegetable oil, chuck, onions, garlic, paprika, caraway seeds, tomato paste, low sodium chicken broth, red bell pepper, salt, pepper, sour cream]"
Chicken-Paprikash-My-Recipes_4,Chicken Paprikash,3,1500.0,[Main Dishes],"[German, Hungarian]","[green bell pepper, chopped onion, garlic cloves, low salt chicken broth, hungarian hot paprika, tomato paste, salt, pepper, chicken breast halves, low-fat sour cream, egg noodles, cooked and drained, ground pepper]"
Hungarian_-Mushroom_-Leek-and-Kale-Pilaf-1164980,"Hungarian, Mushroom, Leek and Kale Pilaf",4,3300.0,,[Hungarian],"[hulled barley, low sodium vegetable stock, cremini mushrooms, leeks, kale, thyme, tarragon, salt, olive oil, white wine, crème fraîche, apple cider vinegar]"
Smoky-Paleo-Hungarian-Goulash-821898,Smoky Paleo Hungarian Goulash,4,8400.0,[Main Dishes],[Hungarian],"[ground beef, yellow onion, carrots, tomato paste, red wine, paprika, cayenne pepper, mushrooms]"
Sauerkraut-and-Sausage-Paprikash-774703,Sauerkraut and Sausage Paprikash,3,3900.0,[],[Hungarian],"[frankfurters, butter, onions, garlic, paprika, dried dill, caraway seeds, beef broth, sauerkraut, sour cream]"
Persian-polo-with-hungarian-wax-peppers-_-wax-beans-326730,Persian Polo with Hungarian wax peppers & wax beans,3,1800.0,,[Hungarian],"[basmati rice, pepper, wax beans, sesame seeds, ghee, chiffonade, fresh thyme leaves, salt, lemon]"
Rosy-Posy-Hungarian-Paprikash_-996931,Rosy Posy Hungarian Paprikash!,4,600.0,,[Hungarian],"[chicken legs, onions, hungarian sweet paprika, chicken broth, bell pepper, diced tomatoes, sour cream, all-purpose flour, salt]"
Blazing-Brisket-Allrecipes,Blazing Brisket,4,46800.0,[Main Dishes],[Hungarian],"[beef brisket, bacon, brewed coffee, salt, butter, minced garlic, shortening, fatback, sweet potatoes, olive oil, prepared horseradish]"
Turkey-Paprikash-Martha-Stewart,Turkey Paprikash,3,1800.0,[Main Dishes],[Hungarian],"[coarse salt, ground pepper, whole wheat egg noodles, boneless skinless turkey breasts, sweet paprika, olive oil, onions, whole peeled tomatoes, juice, reduced-fat sour cream]"
Hungarian-Goulash-Soup-Epicurious,Hungarian Goulash Soup,4,,"[Soups, Main Dishes]",[Hungarian],"[olive oil, onions, caraway seeds, beef, hungarian sweet paprika, canned beef broth, russet potatoes, parsnips, carrots, garlic cloves, tomatoes, celery ribs, green bell pepper, fresh parsley, sour cream]"
Chicken-Paprikash_topped-Potatoes-My-Recipes,Chicken Paprikash-Topped Potatoes,4,2700.0,[Main Dishes],"[American, Hungarian]","[baking potatoes, boneless chicken skinless thigh, all-purpose flour, paprika, salt, ground red pepper, butter, chopped onion, mushrooms, garlic cloves, fat free less sodium chicken broth, reduced-fat sour cream, fresh parsley]"
Pork-Casserole-_Hungarian-Goulash_-1195589,Pork Casserole (Hungarian Goulash),3,4200.0,[Main Dishes],[Hungarian],"[pork tenderloin, onions, green pepper, paprika, tomato purée, olive oil, cream cheese, potatoes, chicken stock, bay leaf, chopped parsley]"
Hungarian-Ham-Strudel-With-Watercress-Salad-My-Recipes,Hungarian Ham Strudel with Watercress Salad,4,2400.0,[Main Dishes],[Hungarian],"[green onions, cooked rice, shredded swiss cheese, paprika, caraway seeds, capers, filo dough, butter, cooked ham, reduced-fat sour cream, dijon mustard, watercress, seasoned rice wine vinegar]"
Hungarian-Chicken-with-Smoked-Paprika-1281239,Hungarian Chicken with Smoked Paprika,3,22500.0,[Main Dishes],[Hungarian],"[red bell pepper, yellow bell pepper, onions, plum tomatoes, juice, chicken broth, garlic, Spanish smoked paprika, olive oil, chicken, kosher salt, black pepper, sour cream, tagliatelle]"
