id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Irish-Soda-Bread-1354125,Irish Soda Bread,4,2280.0,[Breads],[Irish],"[all-purpose flour, kosher salt, baking soda, baking powder, buttermilk]"
Irish-Soda-Bread-1318585,Irish Soda Bread,4,2100.0,[Breads],[Irish],"[whole wheat flour, all purpose unbleached flour, baking soda, salt, oil, buttermilk]"
Irish-Beef-Stew-1367471,Irish Beef Stew,3,10800.0,[Main Dishes],[Irish],"[cooking spray, stewing steak, onions, carrots, leeks, vegetable stock, hot water, potatoes, peas, parsley, salt]"
Irish-Soda-Bread-1372245,Irish Soda Bread,4,5100.0,[Breads],[Irish],"[flour, sugar, salt, double-acting baking powder, caraway seeds, butter, raisins, buttermilk, eggs, baking soda, egg yolks]"
Irish-shortbread-toffee-bars-307935,Irish Shortbread Toffee Bars,5,4500.0,[Desserts],[Irish],"[salted butter, sugar, all-purpose flour, sweetened condensed milk, maple syrup, bittersweet chocolate chips, sea salt]"
Irish-Tea-Time-and-Scones-1361563,Irish Tea Time and Scones,4,1800.0,[Breads],[Irish],"[flour, baking powder, salt, unsalted butter, granulated sugar, milk]"
Irish-Beef-Stew-1358953,Irish Beef Stew,3,9000.0,[Main Dishes],[Irish],"[vegetable oil, stewing steak, onions, celery ribs, carrots, beef stock, potatoes, unsalted butter, freshly ground black pepper, sea salt]"
Irish-Colcannon---Revisited-1322464,Irish Colcannon - Revisited,3,2100.0,,[Irish],"[yukon gold potatoes, water, green cabbage, scallions, butter, cream, butter salt, ground black pepper]"
Irish-Soda-Bread-1334758,Irish Soda Bread,3,3600.0,[Breads],[Irish],"[all-purpose flour, granulated sugar, baking soda, baking powder, salt, raisins, buttermilk, eggs, unsalted butter]"
Potato-leek-soup-352367,Potato Leek Soup,5,3000.0,[Soups],[Irish],"[leeks, white onion, russet potatoes, flour, butter, chicken stock, 2% reduced-fat milk, salt, pepper]"
Guinness_-Whiskey-_-Irish-Cream-Cupcakes-1343186,"Guinness, Whiskey & Irish Cream Cupcakes",4,3600.0,[Desserts],[Irish],"[stout, unsalted butter, Dutch-processed cocoa powder, all-purpose flour, granulated sugar, baking soda, salt, eggs, sour cream, bittersweet chocolate, heavy cream, butter, Irish whiskey, powdered sugar, Baileys Irish Cream Liqueur]"
Irish-Soda-Bread-1103965,Irish Soda Bread,3,3300.0,[Breads],[Irish],"[all purpose unbleached flour, white sugar, baking soda, salt, butter, buttermilk]"
Irish-Scones-984558,Irish Scones,4,1500.0,[Breads],[Irish],"[flour, salt, sugar, baking powder, butter, eggs, milk]"
Homemade-Irish-Cream-Ice-Cream-682128,Homemade Irish Cream Ice Cream,4,2100.0,[Desserts],[Irish],"[eggs, sugar, heavy cream, Baileys Irish Cream Liqueur, chocolate syrup]"
Irish-Boxty-Allrecipes,Irish Boxty,4,1800.0,,[Irish],"[potatoes, all-purpose flour, mashed potatoes, eggs, skim milk, pepper, salt, olive oil]"
IRISH-POTATO-SOUP-562967,IRISH POTATO SOUP,4,3000.0,[Soups],[Irish],"[potatoes, onions, flour, butter, salt, pepper]"
Marys-Irish-Brown-Bread_-1311715,Mary’s Irish Brown Bread.,4,3300.0,[Breads],[Irish],"[whole wheat flour, white flour, baking soda, salt, brown sugar, wheat germ, oil, eggs, buttermilk]"
Irish-shortbread-310722,Irish Shortbread,5,4200.0,[Desserts],[Irish],"[all-purpose flour, corn starch, fine sea salt, sugar, salted butter, vanilla extract]"
