id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Italian-Pasta-In-Red-And-White-Sauce-1372447,Italian Pasta In Red And White Sauce,4,2400.0,[Main Dishes],[Italian],"[milk, penne pasta, tomatoes, crushed red pepper flakes, garlic, onions, capsicum, zucchini, tomato sauce, basil leaves, cheese, oregano, celery, salt]"
Homestyle-Italian-Meatloaf-1374497,Homestyle Italian Meatloaf,3,5700.0,[Main Dishes],[Italian],"[oil, onions, red bell pepper, garlic, worcestershire sauce, ground beef, sweet italian sausage, basil dried leaves, dried oregano, parsley leaves, salt, black pepper, eggs, grated parmesan cheese, Italian seasoned breadcrumbs, marinara sauce, shredded mozzarella cheese, chopped parsley]"
Tuscan-Soup-1371976,Tuscan Soup,4,3000.0,[Soups],[Italian],"[olive oil, garlic cloves, onions, carrots, celery, tomato sauce, chicken broth, cannellini beans, baby kale, whole grain pasta, salt, pepper, parmesan cheese]"
Easy-Italian-Pasta-Bake-1358675,Easy Italian Pasta Bake,4,3000.0,[Main Dishes],[Italian],"[ground beef, chopped onion, tomato sauce, water, basil, oregano, garlic powder, sea salt, whole wheat pasta, shredded cheese]"
Stuffed-Peppers-with-Ricotta-and-Italian-Sausage-1366806,Stuffed Peppers with Ricotta and Italian Sausage,4,4500.0,[Main Dishes],[Italian],"[red bell pepper, ricotta, eggs, romano cheese, italian sausage, garlic, turnip greens, dry white wine, fresh parsley]"
Cheesy-Italian-Rolls-1356349,Cheesy Italian Rolls,3,2100.0,,[Italian],"[frozen bread dough, Italian herbs, part-skim mozzarella, fresh parsley]"
Italian-Style-Fried-Brussel-Sprouts-1368503,Italian-Style Fried Brussel Sprouts,4,2400.0,[Side Dishes],[Italian],"[brussels sprouts, kosher salt, all-purpose flour, large eggs, Italian seasoned breadcrumbs, grated romano cheese, dried basil, dried oregano, garlic powder, freshly ground pepper, oil]"
Tortellini-_-Italian-Sausage-Bake-1361813,Tortellini & Italian Sausage Bake,4,3000.0,[Main Dishes],[Italian],"[bulk italian sausag, mozzarella cheese, pasta sauce, cheese tortellini, mushrooms]"
Italian-Dinner-Soup-1362489,Italian Dinner Soup,3,1800.0,[Soups],[Italian],"[sausage links, chicken stock, beef stock, diced tomatoes, ravioli, baby spinach leaves, fresh basil leaves, parmesan cheese]"
Italian-Style-Ground-Beef-Skillet-1359843,Italian-Style Ground Beef Skillet,4,2700.0,[Main Dishes],[Italian],"[ground beef, onions, salt, pepper, garlic powder, oregano, penne pasta, water, fire roasted diced tomatoes, parmesan cheese, shredded mozzarella cheese, fresh basil leaves]"
Marinara-Sauce-1337800,Marinara Sauce,4,1500.0,[Condiments and Sauces],[Italian],"[olive oil, garlic cloves, crushed tomatoes, crushed red pepper flakes, coarse salt, dried oregano, black pepper, fresh basil]"
Italian-Stuffed-Shells-1351486,Italian Stuffed Shells,4,3000.0,[Main Dishes],[Italian],"[jumbo pasta shells, part-skim ricotta cheese, basil pesto sauce, shredded mozzarella cheese, large eggs, fresh spinach, pasta sauce]"
Spaghetti-alla-Carbonara-1368563,Spaghetti alla Carbonara,4,2100.0,[Main Dishes],[Italian],"[olive oil, thick-cut bacon, garlic cloves, eggs, grated parmesan cheese, pasta, salt, freshly ground black pepper]"
Spaghetti-Alla-Marinara-1353656,Spaghetti Alla Marinara,4,3000.0,[Main Dishes],[Italian],"[olive oil, garlic, onions, basil, chopped tomatoes, basil leaves, spaghetti]"
Italian-Pear-Almond-Cake-1372371,Italian Pear Almond Cake,4,3300.0,"[Desserts, Afternoon Tea]",[Italian],"[unsalted butter, white sugar, large eggs, all-purpose flour, ground almonds, baking powder, pears, sliced almonds, powdered sugar]"
Italian-Antipasto-Skewers-1355173,Italian Antipasto Skewers,3,1200.0,,[Italian],"[tortellini, pepperoni, pepperoncini, artichoke hearts, balsamic reduction, butter]"
Italian-Shrimp-and-Grits-1359200,Italian Shrimp and Grits,4,1500.0,[Main Dishes],[Italian],"[shrimp, fennel, purple onion, garlic, capers, tomato paste, lemon, chopped parsley, dry white wine, olive oil, polenta, water, salt, pepper]"
Italian-Sausage_-Kale-and-Tortellini-Soup-1358622,"Italian Sausage, Kale and Tortellini Soup",4,3000.0,[Soups],[Italian],"[hot Italian sausages, olive oil, yellow onion, carrots, garlic, low sodium beef broth, diced tomatoes, tomato sauce, italian seasoning, salt, freshly ground black pepper, cheese tortellini, kale, shredded parmesan cheese]"
Baked-Eggs-Italian-Style-1362428,Baked Eggs Italian-Style,3,1560.0,[],[Italian],"[marinara sauce, basil, large eggs, grated parmesan cheese, red pepper flakes]"
One-Pot-Cheesy-Italian-Chicken-and-Pasta-1362917,One Pot Cheesy Italian Chicken and Pasta,4,1800.0,[Main Dishes],[Italian],"[olive oil, chicken, crushed red pepper flakes, onions, garlic, crushed tomatoes, diced tomatoes, italian seasoning, kosher salt, cracked black pepper, chicken stock, bow-tie pasta, shredded mozzarella cheese, leaf parsley, grated parmesan cheese]"
Family-Style-Lasagna-1362810,Family Style Lasagna,4,3600.0,[Main Dishes],[Italian],"[lasagna noodles, marinara sauce, ragu, ricotta cheese, eggs, sugar, mozzarella cheese, baby spinach, garlic, grated nutmeg, grated parmesan cheese, salt, red pepper flakes, ground black pepper, olive oil]"
Italian-Minestrone-Soup-Ancient-Romans-Favorite-Soup-1368979,Italian Minestrone Soup – Ancient Romans’ Favorite Soup,4,2100.0,[Soups],[Italian],"[vegetables, pasta, chicken stock, olive oil, tomatoes, pepper, salt, fresh parsley, smoked bacon]"
Fresh-Pesto-with-Ricotta-1370785,Fresh Pesto with Ricotta,4,900.0,,[Italian],"[fresh basil leaves, grated parmesan cheese, toasted pine nuts, garlic cloves, extra-virgin olive oil, bread ciabatta, ricotta cheese]"
Italian-Wedding-Soup-with-Escarole-1363173,Italian Wedding Soup with Escarole,3,22500.0,[Soups],[Italian],"[eggs, finely chopped onion, dry bread crumbs, grated parmesan cheese, flat leaf parsley, salt, ground black pepper, lean ground beef, vegetable oil, reduced sodium chicken broth, carrots, fresh oregano, escarole, pasta]"
Simple-Italian-Omelet-1363475,Simple Italian Omelet,4,900.0,[Breakfast and Brunch],[Italian],"[olive oil, eggs, crumbled goat cheese, chives, salt and ground black pepper]"
_Easy-Dinner-Recipe_-Italian-Chicken-Bake-1355403,{Easy Dinner Recipe} Italian Chicken Bake,4,2700.0,[Main Dishes],[Italian],"[boneless skinless chicken breasts, prepar pesto, roma tomatoes, mozzarella cheese]"
Italian-Chicken-Noodle-Soup-1375574,Italian Chicken Noodle Soup,4,3600.0,[Soups],[Italian],"[olive oil, celery, yellow onion, green bell pepper, zucchini, jalapeno chilies, garlic, diced tomatoes, low sodium chicken broth, rotisserie chicken, dried oregano, salt, ground black pepper, red pepper flakes, short pasta, fresh parsley, heavy cream, shaved parmesan cheese]"
Italian-Dumplings-1363892,Italian Dumplings,4,2700.0,[Main Dishes],[Italian],"[dumplings, pasta sauce, mozzarella cheese, parmesan cheese, ricotta cheese]"
Easy-Italian-Tilapia-Parmesan-1347953,Easy Italian Tilapia Parmesan,3,1200.0,[Main Dishes],[Italian],"[grated parmesan cheese, salt, ground black pepper, tilapia fillets, olive oil, fresh parsley, paprika]"
Italian-Meatballs-1348133,Italian Meatballs,4,1500.0,[],[Italian],"[ground beef, eggs, Italian seasoned breadcrumbs, grated parmesan cheese, dried oregano, dried basil, garlic salt]"
Crock-Pot-Italian-Meatballs-1362647,Crock Pot Italian Meatballs,4,600.0,[Main Dishes],[Italian],"[large eggs, bread crumbs, finely chopped onion, grated parmesan cheese, fresh parsley, garlic, salt, freshly ground pepper, ground beef, pasta sauce]"
Italian-Butter-Beans-1369716,Italian Butter Beans,4,3000.0,[Side Dishes],[Italian],"[olive oil, prosciutto, leeks, sage leaves, butter beans, roma tomatoes, freshly ground black pepper]"
Italian-Chicken-Soup---Pastina-_-1364936,Italian Chicken Soup - Pastina !,4,1800.0,[Soups],[Italian],"[chicken broth, parmesan cheese, pastina, cooked chicken, grated parmesan cheese, sea salt]"
Italian-Beef-and-Ravioli-Stew-1376494,Italian Beef and Ravioli Stew,4,4200.0,[Main Dishes],[Italian],"[olive oil, chopped onion, chopped garlic, rosemary leaves, green pepper, boneless beef chuck, diced tomatoes, red wine, Green Giant™ frozen cut green beans, cheese]"
Rustic-Italian-Chicken-Cacciatore-1376228,Rustic Italian Chicken Cacciatore,4,2100.0,[Main Dishes],[Italian],"[olive oil, chicken breasts, salt, pepper, mushrooms, cherry tomatoes, bell pepper, purple onion, garlic, red wine, Bertolli Tomato & Basil Sauce, rice]"
Vegetable-Lasagna-for-All-Seasons-1371043,Vegetable Lasagna for All Seasons,4,7200.0,[Main Dishes],[Italian],"[extra-virgin olive oil, onions, assorted fresh vegetables, whole milk ricotta cheese, large egg whites, fresh oregano, sea salt, tomato sauce, lasagna noodles, shredded mozzarella cheese]"
Baked-Ziti-1354177,Baked Ziti,3,4800.0,[Main Dishes],[Italian],"[and cook drain pasta ziti, extra-virgin olive oil, garlic, onions, ground Italian sausage, lean ground beef, crushed tomatoes, Red Gold® diced tomatoes, fresh basil, italian seasoning, red pepper flakes, low-fat ricotta cheese, mozzarella cheese, parmesan cheese, eggs, salt, black pepper, parsley]"
Bucatini-Carbonara-1354298,Bucatini Carbonara,4,1500.0,[Main Dishes],[Italian],"[pancetta, slab bacon, garlic cloves, extra-virgin olive oil, dry white wine, large eggs, grated romano cheese, parmigiano reggiano cheese, peas, black pepper, chopped parsley, pasta]"
Italian-Delicacy-Tagliatelle-with-Smoked-Salmon-1365344,Italian Delicacy – Tagliatelle with Smoked Salmon,4,1800.0,[Main Dishes],[Italian],"[tagliatelle, smoked salmon, cream, onions, lemon, garlic, olive oil, fresh parsley, salt, pepper]"
