id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Greek-Quesadillas-with-Lemony-Tzatziki-1374144,Greek Quesadillas with Lemony Tzatziki,4,600.0,"[Lunch and Snacks, Appetizers]",[Greek],"[large flour tortillas, black beans, sun-dried tomatoes in oil, dried oregano, feta cheese, tzatziki sauce, plain greek yogurt, english cucumber, fresh dill, garlic cloves, lemon juice, salt]"
Mediterranean-Hummus-1371477,Mediterranean Hummus,4,600.0,[Appetizers],[Mediterranean],"[chickpeas, sun-dried tomatoes in oil, kalamata, garlic cloves, extra-virgin olive oil, fresh basil, lemon, freshly ground black pepper]"
Greek-Tortellini-Salad-1369260,Greek Tortellini Salad,4,1800.0,[Salads],[Greek],"[cheese tortellini, grape tomatoes, cucumber, kalamata, purple onion, feta cheese crumbles, extra-virgin olive oil, red wine vinegar, garlic, dried oregano, salt, pepper]"
Mediterranean-Quinoa-Salad-1061229,Mediterranean Quinoa Salad,3,1800.0,[Salads],[Mediterranean],"[quinoa, salt, cucumber, diced tomatoes, ripe olives, feta cheese crumbles, purple onion]"
Mediterranean-Chickpea-Salad-1331067,Mediterranean Chickpea Salad,3,2400.0,[Salads],[Mediterranean],"[chickpeas, cucumber, roasted red peppers, purple onion, salt, lemon juice, extra-virgin olive oil, plum tomatoes, garlic]"
Mediterranean-Roasted-Cauliflower-and-Garbanzo-Pasta-Bake-1376140,Mediterranean Roasted Cauliflower and Garbanzo Pasta Bake,4,5400.0,[Main Dishes],[Mediterranean],"[cauliflower, garbanzo beans, red bell pepper, yellow onion, kalamata, olive oil, salt, pepper, marinara sauce, pasta, feta cheese crumbles]"
Greek-Cooking-And-Greek-1375850,Greek Cooking And Greek,4,2700.0,,"[Mediterranean, Greek]","[fresh spinach, feta cheese, 1% low-fat cottage cheese, grated parmesan cheese, olive oil, green onions, dried dill, fresh lemon juice, salt, black pepper, large egg whites, phyllo dough]"
Easy-Tzatziki-Sauce-511981,Easy Tzatziki Sauce,5,3300.0,[Condiments and Sauces],"[Greek, Mediterranean]","[greek yogurt, cucumber, garlic, olive oil, lemon, fresh dill, salt]"
Greek-Spinach-_-Feta-Meatloaf-1373835,Greek Spinach & Feta Meatloaf,4,3900.0,[Main Dishes],[Greek],"[olive oil, minced garlic, baby spinach, ground beef, feta cheese crumbles, roasted red peppers, yellow onion, seasoned bread crumbs, eggs, dried oregano, dried parsley, dried thyme, salt, black pepper, worcestershire sauce, ketchup, pinenuts]"
Greek-Salad-1349467,Greek Salad,4,2400.0,[Salads],[Greek],"[extra-virgin olive oil, fresh lemon juice, red wine vinegar, dried oregano, dried basil, garlic, salt, ground black pepper, sugar, romaine lettuce, roma tomatoes, cucumber, purple onion, green bell pepper, feta cheese crumbles, kalamata]"
Greek-Style-Chickpea-Salad-1342954,Greek-Style Chickpea Salad,4,1500.0,[Salads],[Greek],"[chickpeas, olive oil, lemon juice, dried oregano, ground cumin, garlic cloves, english cucumber, diced red onions, red bell pepper, cherry tomatoes, ground black pepper, salt, salad greens, feta cheese]"
Lamb-Chops-with-Winter-Greek-Salad-1359708,Lamb Chops with Winter Greek Salad,3,2100.0,[Main Dishes],[Greek],"[lamb loin chops, pepper, salt, mint leaves, Italian parsley leaves, garlic, olive oil, cauliflower florets, apples, green onions, black olives, flat leaf parsley, lemon, feta cheese]"
Mason-Jar-Greek-Salad-with-Chickpeas-1366996,Mason Jar Greek Salad with Chickpeas,4,600.0,[Salads],[Greek],"[vinaigrette, chickpeas, cherry tomatoes, cucumber, diced red onions, pitted black olives, feta cheese crumbles, fresh parsley, lemon juice, salt, freshly ground black pepper, olive oil]"
Mediterranean-Couscous-1355754,Mediterranean Couscous,4,1200.0,[],[Mediterranean],"[couscous, arugula, olive oil, chicken tenderloin, kalamata, sun-dried tomatoes]"
Mediterranean-Grilled-Chicken-Breasts-1346163,Mediterranean Grilled Chicken Breasts,4,2100.0,[Main Dishes],[Mediterranean],"[boneless skinless chicken breast halves, lemon juice, olive oil, fresh parsley, garlic cloves, paprika, dried oregano, salt, pepper]"
Greek-Spinach-_-Feta-Meatloaf-1373669,Greek Spinach & Feta Meatloaf,4,3900.0,[Main Dishes],[Greek],"[olive oil, minced garlic, baby spinach, ground beef, feta cheese crumbles, roasted red peppers, yellow onion, seasoned bread crumbs, eggs, dried oregano, dried parsley, dried thyme, salt, black pepper, worcestershire sauce, ketchup, pinenuts]"
Olive-Tapenade-Jo-Cooks-46060,Olive Tapenade,5,300.0,[Appetizers],"[French, Mediterranean]","[kalamata, garlic, chopped parsley, olive oil, lemon, capers, pepper]"
Greek-style-Lamb-Meatballs-1373240,Greek-style Lamb Meatballs,3,2400.0,[Main Dishes],[Greek],"[ground lamb, garlic, lemon, dried oregano, garlic powder, sea salt, black pepper, fresh lemon, extra-virgin olive oil]"
Greek-Cucumber-Salad-Jo-Cooks-46081,Greek Cucumber Salad,4,300.0,"[Salads, Side Dishes]","[Greek, Mediterranean]","[english cucumber, greek yogurt, feta cheese, fresh dill, pepper, salt]"
Mediterranean-mozzarella-salad-297076,Mediterranean Mozzarella Salad,4,2700.0,[Salads],[Mediterranean],"[shredded mozzarella cheese, tomatoes, red bell pepper, sliced, wish bone balsam vinaigrett dress, loosely packed fresh basil leaves]"
Mediterranean-Chicken-Casserole-1333377,Mediterranean Chicken Casserole,3,11400.0,[Main Dishes],[Mediterranean],"[chicken stock, garlic, quinoa, cooked chicken, purple onion, black olives, feta cheese, paprika, cumin, olive oil, balsamic vinegar, tomatoes]"
Greek-Pasta-Salad-441626,Greek Pasta Salad,5,900.0,"[Salads, Side Dishes]","[Greek, Mediterranean]","[rotini, tomatoes, cucumber, onions, feta cheese, fresh oregano, fresh parsley, red wine vinegar, olive oil, cracked black pepper, salt]"
Tzatziki-The-Shiksa-Blog-48852,Tzatziki,5,,"[Lunch and Snacks, Appetizers, Side Dishes, Condiments and Sauces]","[Mediterranean, Greek]","[plain low fat greek yogurt, english cucumber, extra-virgin olive oil, mint, garlic, fresh lemon juice, salt, fresh mint]"
Mediterranean-Quinoa-Salad-1364395,Mediterranean Quinoa Salad,4,2100.0,[Salads],[Mediterranean],"[quinoa, lemon juice, olive oil, garlic, fresh oregano, pepper, salt, cucumber, grape tomatoes, feta cheese, chickpeas, artichoke hearts, capers, kalamata]"
Mediterranean-chicken-salad-368552,Mediterranean Chicken Salad,5,3300.0,[Salads],[Mediterranean],"[chicken breasts, olive oil, oregano, lemon, capers, cherry tomatoes, green beans, feta cheese crumbles, salt, freshly ground pepper]"
Garlic-penne-alfredo-with-sun-dried-tomatoes-299172,Garlic Penne Alfredo With Sun-dried Tomatoes,4,1800.0,[Main Dishes],"[Italian, Mediterranean]","[penne pasta, asparagus, Bertolli® Classico Olive Oil, onions, sun-dried tomatoes, dry white wine, Bertolli Garlic Alfredo Sauce]"
