id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Moroccan-Couscous-Stuffed-Chicken-1376102,Moroccan Couscous Stuffed Chicken,4,5100.0,[Main Dishes],[Moroccan],"[chicken, paprika, olive oil, couscous, butter, garlic, almonds, ground cinnamon, cumin seed, raisins, honey, lemon, tomato juice, water, salt, pepper]"
Moroccan-Fried-Potatoes-With-Olives-And-Lemon-1371940,Moroccan Fried Potatoes With Olives And Lemon,4,1800.0,[Side Dishes],[Moroccan],"[cream, red potato, olive oil, lemon zest, ground cumin, water, parsley, lemon, salt, ground black pepper]"
Chicken-Tagine-With-Apricots-1311932,Chicken Tagine With Apricots,4,3300.0,[Main Dishes],[Moroccan],"[olive oil, chicken thighs, onions, garlic cloves, saffron threads, ground ginger, ground cumin, ground cinnamon, dried apricot, lemon, honey, coriander, stock, sliced almonds]"
Moroccan-Carrots-1336108,Moroccan Carrots,3,1080.0,[Side Dishes],[Moroccan],"[carrots, ground cumin, paprika, ground cinnamon, cayenne pepper, extra-virgin olive oil, fresh lemon juice, garlic cloves, fresh parsley, table salt, black pepper, harissa]"
Healthy-Moroccan-Stuffed-Sweet-Potato-1359607,Healthy Moroccan Stuffed Sweet Potato,4,3300.0,,[Moroccan],"[sweet potatoes, yams, olive oil, onions, apples, garlic cloves, chickpeas, mixed spice, salt, pepper, maple syrup, chopped cilantro, scallions, yoghurt, plain yogurt, water, smoked paprika, ground cumin, ground ginger, freshly ground black pepper, ground cinnamon, coriander seeds, cayenne, cardamom, ground allspice, ground cloves]"
Moroccan-Spiced-Grilled-Chicken-Breasts-Simply-Recipes-42827,Moroccan Spiced Grilled Chicken Breasts,5,3300.0,[Main Dishes],[Barbecue],"[plain yogurt, chopped cilantro fresh, olive oil, garlic, paprika, ground cumin, salt, ground black pepper, boneless skinless chicken breasts]"
Moroccan-Chicken-with-Green-Olives-and-Lemon-1061462,Moroccan Chicken with Green Olives and Lemon,3,3300.0,[Main Dishes],[Moroccan],"[meyer lemon, olive oil, onions, garlic cloves, paprika, ground cumin, ground cinnamon, ground ginger, low salt chicken broth, chicken, green olives]"
Moroccan-Butternut-Squash_-Chickpea-and-Quinoa-Tagine-Closet-Cooking-54952,"Moroccan Butternut Squash, Chickpea and Quinoa Tagine",5,2400.0,[Main Dishes],[Moroccan],"[oil, onions, garlic, ginger, ground turmeric, ground cumin, ground coriander, ground cinnamon, cayenne pepper, quinoa, vegetable broth, chickpeas, harissa, honey, raisins, olives, preserved lemon, salt, pepper, butternut squash, cilantro]"
Apple-and-Moroccan-giant-couscous-salad-1373339,Apple and Moroccan giant couscous salad,3,1500.0,,[Moroccan],"[dry sherry, sultana, couscous, smoked paprika, ground cinnamon, ground cumin, pink lady apple, shallots, garlic cloves, fresh ginger root, red chili peppers, fresh mint, lemon, pinenuts]"
Grilled-Moroccan-Chicken-628595,Grilled Moroccan Chicken,3,2100.0,[Main Dishes],[Barbecue],"[boneless skinless chicken breasts, extra-virgin olive oil, salt, sugar, garlic cloves, paprika, cumin, coriander, ginger, tumeric, cinnamon, cayenne pepper]"
Moroccan-Red-Lentil-Soup-1322953,Moroccan Red Lentil Soup,4,3600.0,[Soups],[Moroccan],"[red lentils, garbanzo beans, diced tomatoes, vegetable broth, lemon juice, red pepper flakes, fresh parsley, cilantro, ground coriander, garlic, celery, carrots, cinnamon, smoked paprika, tumeric, cumin, onions, olive oil, water]"
Moroccan-Chicken-Brouchettes-611070,Moroccan Chicken Brouchettes,3,3900.0,[Main Dishes],[Barbecue],"[lemon juice, olive oil, chopped cilantro fresh, finely chopped fresh parsley, paprika, kosher salt, minced garlic, ground cumin, cayenne, saffron, boneless skinless chicken breasts, water]"
Moroccan-rub-360899,Moroccan Rub,3,1500.0,,[Moroccan],"[sweet paprika, ground cumin, ground cinnamon, salt, ground ginger, ground red pepper, ground black pepper]"
Moroccan-Shrimp-With-Spinach-1197245,Moroccan Shrimp With Spinach,3,2820.0,[Main Dishes],[Moroccan],"[ground coriander, ground cumin, paprika, cayenne, ground allspice, salt, large shrimp, baby spinach, extra-virgin olive oil]"
