id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Easy-30-Minute-Homemade-Chicken-Tortilla-Soup-1320620,Easy 30-Minute Homemade Chicken Tortilla Soup,4,2100.0,[Soups],[Southwestern],"[corn tortillas, olive oil, kosher salt, vidalia onion, jalapeno chilies, garlic cloves, low sodium chicken broth, diced tomatoes, black beans, cooked chicken, corn, lime juice, chili powder, cumin, salt, black pepper, smoked paprika, cayenne pepper, cilantro leaves, avocado, shredded cheese, sour cream]"
Butternut-Squash-Enchilada-Casserole-1374494,Butternut Squash Enchilada Casserole,4,4800.0,[Main Dishes],[Mexican],"[butternut squash, yellow onion, poblano peppers, jalapeno chilies, oil, ground cumin, pepper, salt, black beans, cilantro, baby spinach leaves, salsa, corn tortillas, Mexican cheese]"
Crunchy-Mexican-Tostadas-with-Shredded-Chicken-1360445,Crunchy Mexican Tostadas with Shredded Chicken,4,4200.0,[Main Dishes],[Mexican],"[water, apple cider vinegar, sugar, kosher salt, purple onion, white onion, roma tomatoes, large garlic cloves, serrano chile, vegetable oil, ground cumin, cracked black pepper, rotisserie chicken, black beans, tostadas, iceberg lettuce, avocado, radishes, chopped cilantro, crema mexican, cotija, lime wedges]"
Taco-Bell-Mexican-Pizza-1368560,Taco Bell Mexican Pizza,3,1500.0,[Main Dishes],[Mexican],"[ground beef, all-purpose flour, chili powder, salt, dried minced onion, paprika, garlic powder, onion powder, water, flour tortillas, crisco shortening, refried beans, salsa, shredded cheddar cheese, shredded Monterey Jack cheese, diced tomatoes, green onions]"
Southwestern-Bean-Salad-1373976,Southwestern Bean Salad,4,600.0,,[Southwestern],"[pinto beans, kidney beans, corn, green chile, chicken, onions, salsa, chili powder, cumin]"
Loaded-Nachos-1346529,Loaded Nachos,4,2700.0,[Appetizers],[Mexican],"[olive oil, yellow onion, ground beef, chili powder, paprika, cumin, crushed red pepper, salt, pepper, pinto beans, hot water, tortilla chips, cheddar cheese, monterey jack, roma tomatoes, jalapeno chilies, cilantro leaves, lime, avocado, sour cream]"
Chicken-Enchiladas-1374516,Chicken Enchiladas,4,4500.0,[Main Dishes],[Mexican],"[canola oil, onions, jalapeno chilies, salt, garlic cloves, chili powder, ground cumin, sugar, tomato sauce, water, beefsteak tomatoes, boneless skinless chicken breasts, shredded reduced fat cheddar cheese, Mexican cheese blend, cilantro, corn tortillas]"
Southwestern-Cheeseball-1359851,Southwestern Cheeseball,4,8100.0,[Appetizers],[Southwestern],"[shredded sharp cheddar cheese, cream cheese, butter, diced onions, garlic powder, green chile, chopped cilantro, crackers]"
Southwestern-Stuffed-Bell-Peppers-1360149,Southwestern Stuffed Bell Peppers,4,4200.0,[Main Dishes],[Southwestern],"[lean ground beef, onions, celery, garlic, tomatoes, tomato paste, cumin, chili powder, kosher salt, black beans, green chile, frozen corn, long-grain rice, cilantro leaves, bell pepper, cheese]"
Southwestern-Rice-Salad-1339816,Southwestern Rice Salad,4,2400.0,[Salads],[Southwestern],"[cooked brown rice, black beans, corn kernels, red bell pepper, purple onion, white wine vinegar, fresh cilantro, jalapeno chilies, chili powder]"
Southwestern-Egg-Rolls-with-Salsa-Dipping-Sauce-1376319,Southwestern Egg Rolls with Salsa Dipping Sauce,4,3900.0,[Appetizers],[Southwestern],"[nonstick spray, Mexican cheese blend, frozen corn, black beans, frozen chopped spinach, diced green chilies, scallions, ground cumin, chili powder, cayenne pepper, kosher salt, egg roll wrappers, eggs, salsa, plum tomatoes, garlic, jalapeno chilies, cilantro leaves, lime]"
Taco-Soup-1371013,Taco Soup,4,3600.0,[Soups],[Mexican],"[lean ground beef, yellow onion, garlic, jalapeno chilies, diced tomatoes, low sodium beef broth, tomato sauce, chili powder, ground cumin, ground paprika, dried oregano, ranch dressing, salt, freshly ground black pepper, frozen corn, black beans, pinto beans, tortilla strips, avocado, purple onion, Mexican cheese blend]"
Vegetarian-Slow-Cooker-Burritos-1363208,Vegetarian Slow Cooker Burritos,4,900.0,[Main Dishes],[Southwestern],"[black beans, rotelle, pearl barley, broth, frozen whole kernel corn, red bell pepper, green onions, lime juice, ground cumin, chili powder, garlic cloves, chopped cilantro fresh, flour tortillas, shredded cheese, baby spinach, mixed greens, salsa, sour cream]"
Chicken-Tostada-with-Roasted-Jalapeno-Salsa-1374759,Chicken Tostada with Roasted Jalapeño Salsa,4,2700.0,[Main Dishes],"[Southwestern, Mexican]","[jalapeno chilies, garlic, cilantro, yellow onion, white wine vinegar, cumin, salt, avocado oil, chicken, chili powder, corn tortillas, shredded lettuce, shredded cheddar cheese, guacamole, sour cream]"
Crockpot-Verde-Chicken-Chili-1356653,Crockpot Verde Chicken Chili,4,8400.0,[Main Dishes],[Southwestern],"[black beans, salsa, frozen corn kernels, chicken broth, chicken, ground cumin, fresh cilantro, avocado, tortilla chips, lime wedges]"
Southwestern-Breakfast-Pizza-1370489,Southwestern Breakfast Pizza,4,3000.0,[Breakfast and Brunch],[Southwestern],"[refrigerated pizza dough, salsa, eggs, frozen corn, black beans, Mexican cheese, hot sauce]"
Creamy-Pumpkin-Chicken-Tortilla-Soup-1374623,Creamy Pumpkin Chicken Tortilla Soup,4,1800.0,[Soups],[Southwestern],"[extra-virgin olive oil, onions, celery, carrots, garlic, chicken breasts, reduced sodium chicken broth, pumpkin purée, black beans, corn kernels, nonfat plain greek yogurt, ground cumin, chili powder, sea salt, freshly ground black pepper, garlic salt, tortilla chips, shredded cheddar cheese, avocado, chopped cilantro fresh]"
Chile-con-Queso-1358688,Chile con Queso,4,2100.0,[Appetizers],[Mexican],"[unsalted butter, yellow onion, tomatoes, serrano chile, jalapeno chilies, garlic, flour, cumin, whole milk, cilantro, cheese, shredded Monterey Jack cheese, shredded cheddar cheese, sour cream, salt]"
Crockpot-Verde-Chicken-Chili-1365521,Crockpot Verde Chicken Chili,3,2700.0,[Main Dishes],[Southwestern],"[black beans, salsa, frozen corn, chicken broth, chicken, ground cumin, cilantro leaves, avocado, lime, tortilla chips]"
Southwestern-Quinoa-Patties-1373120,Southwestern Quinoa Patties,4,2100.0,[],[Southwestern],"[cooked quinoa, black beans, large eggs, salsa, cheddar cheese, garlic, gluten-free breadcrumbs, cumin, chili powder, sea salt, coconut oil, avocado, yoghurt]"
Beef-Enchiladas-1339569,Beef Enchiladas,4,3300.0,[Main Dishes],[Mexican],"[onions, jalapeno chilies, garlic cloves, chili powder, ground cumin, sugar, tomato sauce, water, large tomato, ground beef, extra sharp white cheddar cheese, monterey jack, soft corn tortillas, cooking spray, salt, pepper]"
Southwestern-Chicken-and-Rice-Skillet-1320584,Southwestern Chicken and Rice Skillet,4,2400.0,[Main Dishes],[Southwestern],"[mayonnaise, chicken broth, rice, chili powder, boneless skinless chicken breasts, pepper, cheese, corn, tomatoes, black beans]"
Mexican-Ground-Beef-Casserole-1351715,Mexican Ground Beef Casserole,4,3600.0,[Main Dishes],[Mexican],"[extra lean ground beef, onions, jalapeno chilies, fresh tomatoes, corn, black beans, taco seasoning mix, corn tortillas, Mexican cheese blend, fresh cilantro]"
Guacamole-298512,Guacamole,4,600.0,"[Appetizers, Lunch and Snacks]","[Mexican, Southwestern]","[avocado, tomatoes, green onions, chopped cilantro fresh, lime juice, knorr garlic minicub]"
Chicken-Enchiladas-1333417,Chicken Enchiladas,4,3600.0,[Main Dishes],[Mexican],"[corn tortillas, boneless skinless chicken breasts, cumin, chili powder, vegetable oil, onions, green enchilada sauce, shredded cheddar cheese, sour cream, diced tomatoes, chopped cilantro]"
Southwestern-Turkey-Soup-1359619,Southwestern Turkey Soup,4,1800.0,[Soups],[Southwestern],"[onions, carrots, garlic, jalapeno chilies, olive oil, chili powder, cumin, coriander, oregano, turkey stock, cooked turkey, chili beans, diced tomatoes, frozen corn, sour cream, avocado, grating cheese, tortilla chips, lime juice, fresh cilantro]"
Skillet-Chilaquiles-1372775,Skillet Chilaquiles,3,2400.0,,[Mexican],"[chipotle salsa, vegetables, chicken broth, heavy cream, corn tortilla chips, queso panela, avocado, purple onion, jalapeno chilies, cilantro, lime, sour cream, chipotle chile, roma tomatoes, garlic cloves, water, salt, freshly ground black pepper]"
