id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Swedish-Sugar-Cookies-1376173,Swedish Sugar Cookies,3,2400.0,[Desserts],[Swedish],"[sugar, butter, large eggs, vanilla, cream of tartar, baking soda, flour]"
Anna_s-Amazing-Easy-Pleasy-Meatballs-Over-Buttered-Noodles-Allrecipes,Anna's Amazing Easy Pleasy Meatballs over Buttered Noodles,4,11700.0,[Main Dishes],"[Swedish, Kid-Friendly]","[condensed cream of celery soup, condensed french onion soup, sour cream, italian-style meatballs, egg noodles, butter]"
Swedish-Pancakes-1007409,Swedish Pancakes,4,1500.0,[Breakfast and Brunch],[Swedish],"[eggs, sugar, salt, milk, flour, melted butter]"
Swedish-Pancakes-1040037,Swedish Pancakes,4,1500.0,[Breakfast and Brunch],[Swedish],"[eggs, milk, flour, sugar, salt, melted butter, butter]"
Simple-Swedish-Pancakes-964424,Simple Swedish Pancakes,3,1500.0,[Breakfast and Brunch],[Swedish],"[eggs, milk, flour, salt, margarine]"
Anitas-Swedish-Braided-Bread-1335430,Anita’s Swedish Braided Bread,4,3600.0,[Breads],[Swedish],"[sour cream, active dry yeast, warm water, butter, sugar, salt, eggs, all-purpose flour, apple pie filling]"
Easy-Swedish-Pancakes-Allrecipes,Easy Swedish Pancakes,4,1200.0,[Breakfast and Brunch],[Swedish],"[eggs, milk, all-purpose flour, sugar, salt, melted butter]"
Swedish-Kringles-Allrecipes,Swedish Kringles,5,4500.0,[Desserts],[Swedish],"[all-purpose flour, butter, water, eggs, almond extract, confectioners sugar, heavy cream]"
Swedish-Rye-Pancakes-Naturally-Ella-46301,Swedish Rye Pancakes,5,1500.0,[Breakfast and Brunch],[Swedish],"[rye flour, all purpose unbleached flour, salt, baking powder, buttermilk, sorghum, melted butter, eggs]"
Swedish-Tea-Ring-1336760,Swedish Tea Ring,4,1800.0,[Breads],[Swedish],"[milk, water, yeast, sugar, all-purpose flour, unsalted butter, eggs, salt, ground cardamom, chopped almonds, powdered sugar]"
Easy-swedish-meatball-sauce-310595,Easy Swedish Meatball Sauce,5,1200.0,[Condiments and Sauces],[Swedish],"[beef stock, heavy cream, all-purpose flour, soy sauce, ground black pepper, dried rosemary, cooked meatballs]"
Swedish-Sticky-Chocolate-Cake-_kladdkaka_-Allrecipes,Swedish Sticky Chocolate Cake (Kladdkaka),5,6300.0,[Desserts],[Swedish],"[all-purpose flour, unsweetened cocoa powder, salt, eggs, white sugar, vanilla extract, butter]"
Butter-Dream-Cookies-472083,Butter Dream Cookies,5,2100.0,[Desserts],[Swedish],"[almond extract, all-purpose flour, butter, white sugar, shortening]"
Fluffy-Swedish-Pancakes-AllRecipes-202051,Fluffy Swedish Pancakes,5,900.0,[Breakfast and Brunch],[Swedish],"[eggs, milk, warm water, white sugar, all-purpose flour, salt, butter]"
Jansson_s-Temptation-_janssons-Frestelse_-Allrecipes,Jansson's Temptation (Janssons Frestelse),4,4500.0,[Main Dishes],[Swedish],"[onions, swedish anchovies, potatoes, heavy cream, dry bread crumbs, melted butter]"
Easy-Swedish-Apple-Pie-Allrecipes,Easy Swedish Apple Pie,5,3900.0,[Desserts],[Swedish],"[granny smith apples, sugar, flour, cinnamon, melted butter, eggs]"
Swedish-Spareribs-Allrecipes,Swedish Spareribs,5,8100.0,[Main Dishes],"[Swedish, Kid-Friendly]","[ground black pepper, white sugar, salt, ground allspice, pork country-style ribs, butter, beef broth]"
Swedish-Butter-Cookies-471976,Swedish Butter Cookies,5,,[Desserts],[Swedish],"[salted butter, shortening, white sugar, large eggs, vanilla extract, all-purpose flour]"
