id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Guac-and-Black-Bean-Burritos-1262923,Guac and Black Bean Burritos,4,1500.0,[Main Dishes],[Mexican],"[guacamole, avocado, garlic, purple onion, serrano chile, lime, salt, cilantro, small tomatoes, large flour tortillas, brown rice, black beans, tomatoes, onions, lettuce, jack cheese]",burrito
Beef-and-Bean-Burritos-1349463,Beef and Bean Burritos,4,2400.0,[Main Dishes],,"[oil, onions, garlic cloves, ground beef, brown rice, chili powder, cumin, salt, pepper, tomato sauce, refried beans, shredded cheddar cheese, large flour tortillas]",burrito
Black-Bean-and-Guac-Burritos-Naturally-Ella-46521,Black Bean and Guac Burritos,5,1500.0,[Main Dishes],[Mexican],"[avocado, garlic, purple onion, serrano chile, lime, salt, cilantro, tomatoes, flour tortillas, brown rice, black beans, lettuce, jack cheese]",burrito
Chile-Colorado-Burritos-608961,Chile Colorado Burritos,3,3900.0,[Main Dishes],[Kid-Friendly],"[stew meat, red enchilada sauce, beef stock cubes, refried beans, large flour tortillas, shredded cheddar cheese]",burrito
Chorizo-Breakfast-Burritos-1280233,Chorizo Breakfast Burritos,4,2700.0,[Breakfast and Brunch],,"[eggs, salt, black pepper, mexican chorizo, butter, russet potatoes, shredded cheddar cheese, jack cheese, large flour tortillas]",burrito
Easy-Veggie-Breakfast-Burritos-1365839,Easy Veggie Breakfast Burritos,4,900.0,[Breakfast and Brunch],,"[butter, flour tortillas, cheddar cheese, veggies]",burrito
Breakfast-Burrito-1215305,Breakfast Burrito,4,2100.0,[Breakfast and Brunch],,"[eggs, milk, green bell pepper, red bell pepper, yellow onion, large flour tortillas, shredded pepper jack cheese, colby cheese, bacon, salt, pepper]",burrito
Ham_-Egg_-and-Avocado-Breakfast-Burrito-1366439,"Ham, Egg, and Avocado Breakfast Burrito",4,1200.0,[Breakfast and Brunch],,"[eggs, milk, cooked ham, avocado, cheese, whole wheat tortillas]",burrito
Breakfast-Burritos-MyRecipes-237423,Breakfast Burritos,3,,"[Lunch and Snacks, Breakfast and Brunch]","[Southwestern, American, Mexican]","[bacon, eggs, salt, pepper, flour tortillas, shredded cheddar cheese, sliced green onions]",burrito
Veggie-Quinoa-Burritos-1379609,Veggie Quinoa Burritos,4,3900.0,[Main Dishes],[Mexican],"[onions, jalapeno chilies, quinoa, garlic, vegetable broth, low-fat sour cream, chopped cilantro fresh, lime juice, chili pepper, frozen corn, shredded zucchini, chopped tomatoes, whole wheat tortillas, pepper jack, salsa, guacamole]",burrito
20-Minute-Healthy-Chicken-Burrito-1275179,20 Minute Healthy Chicken Burrito,4,,,,"[large flour tortillas, boneless skinless chicken breasts, black beans, yellow onion, chili powder, cumin, cooking spray, Mexican cheese blend, salsa, sour cream]",burrito
