id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Mini-Caramel-Streusel-Cakes-1374463,Mini Caramel Streusel Cakes,4,2400.0,[Desserts],,"[yellow cake mix, brown sugar, cinnamon, unsalted butter, cream cheese, milk, large eggs, caramel bits]"
Kransekake-Birthday-Cake-1372802,Kransekake Birthday Cake,4,9000.0,[Desserts],,"[ground almonds, egg whites, powdered sugar, icing, sprinkles, edible glitter]"
The-Best-Coconut-Pecan-Pudding-Cake-1379131,The Best Coconut Pecan Pudding Cake,3,3000.0,[Desserts],,"[white cake mix, vanilla instant pudding, water, eggs, oil, coconut flakes, chopped pecans]"
Cranberry-Cobbler-Dump-Cake-1380463,Cranberry Cobbler Dump Cake,4,3900.0,[Desserts],,"[cooking spray, whole cranberry sauce, yellow cake mix, butter, granola cereal, Craisins]"
Crockpot-Chocolate-Dump-Cake-1372367,Crockpot Chocolate Dump Cake,4,2400.0,[Desserts],,"[devils food cake mix, chocolate pudding mix, sour cream, oil, water, eggs, chocolate chips]"
Butterfly-Cake-Recipe-Bake-with-Stork-1376592,Butterfly Cake Recipe – Bake with Stork,4,4800.0,[Desserts],,"[Stork, caster sugar, large eggs, self rising flour, vanilla extract, powdered sugar, food colouring]"
Lemon-Pound-Cake-1366895,Lemon Pound Cake,4,3900.0,[Desserts],,"[Duncan Hines® Signature Lemon Supreme Cake Mix, lemon flavor instant pudding mix, large eggs, water, vegetable oil, powdered sugar, fresh lemon juice]"
Light-Vanilla-Blueberry-Coffee-Cake-1375712,Light Vanilla Blueberry Coffee Cake,3,11400.0,[Breads],,"[flour, sugar, baking soda, baking powder, salt, cinnamon, eggs, vanilla yogurt, vegetable oil, vanilla extract, blueberries]"
French-Apple-Cake-1330475,French Apple Cake,4,6300.0,[Desserts],,"[granny smith apples, calvados, lemon juice, all-purpose flour, granulated sugar, baking powder, salt, eggs, egg yolks, vegetable oil, whole milk, vanilla extract, powdered sugar]"
Lemon-Lava-Cake-1363130,Lemon Lava Cake,3,3900.0,[Desserts],,"[lemon cake mix, lemon pudding, cold milk, sugar, water, lemon juice, powdered sugar]"
Chocolate-Cake-1371868,Chocolate Cake,4,4500.0,[Desserts],,"[chocolate cake mix, chocolate instant pudding, sour cream, vegetable oil, eggs, milk, vanilla, mini chocolate chips, powdered sugar, unsweetened cocoa powder, vanilla extract]"
Apple-Coffee-Cake-1373443,Apple Coffee Cake,4,3600.0,[Breads],,"[butter, brown sugar, eggs, flour, baking soda, ground cinnamon, ground ginger, salt, sour cream, pure vanilla extract, apples]"
Hot-Chocolate-Poke-Cake-1374911,Hot Chocolate Poke Cake,4,5400.0,[Desserts],,"[milk, hot chocolate mix, chocolate cake mix, large eggs, light sour cream, vegetable oil, vanilla extract, hot fudge topping, heavy whipping cream]"
One-Piece-Wont-Be-Enough-With-This-Coconut-Chocolate-Cake_-1378543,One Piece Won’t Be Enough With This Coconut Chocolate Cake.,4,3000.0,[Desserts],,"[chocolate cake mix, eggs, oil, water, cream of coconut, sweetened condensed milk, cool whip, shredded coconut]"
Layered-Vanilla-Pudding-Cake-with-Berry-Filled-Jello-Topping-1379157,Layered Vanilla Pudding Cake with Berry-Filled Jello Topping,3,1200.0,[Desserts],,"[vanilla cake mix, egg whites, water, butter, strawberry gelatin, strawberries, vanilla pudding]"
Snickerdoodle-Mug-Cake-1375361,Snickerdoodle Mug Cake,4,1500.0,[Desserts],,"[all-purpose flour, sugar, baking powder, cinnamon, milk, salted butter, pure vanilla extract]"
Reindeer-Snack-Cakes-1373682,Reindeer Snack Cakes,4,1800.0,[Desserts],,"[chocolate, cake, mini candy button eyes, pretzels]"
Yellow-Butter-Cake-1358798,Yellow Butter Cake,4,3000.0,"[Desserts, Afternoon Tea]",,"[cake flour, granulated sugar, baking powder, salt, unsalted butter, milk, large eggs, large egg whites, vanilla]"
Mama_s-7-Up-Pound-Cake-1377531,Mama's 7-Up Pound Cake,4,4500.0,"[Desserts, Afternoon Tea]",,"[unsalted butter, granulated sugar, salt, large eggs, cake flour, soda, lemon extract, confectioners sugar]"
Apple-Cake-1349987,Apple Cake,3,2700.0,[Desserts],,"[apples, yellow cake mix, sugar, ground cinnamon, butter]"
Layered-Yellow-Cake-with-Buttercream-frosting-and-Mint-Chocolate-Shavings-1379139,Layered Yellow Cake with Buttercream frosting and Mint Chocolate Shavings,3,3000.0,[Desserts],,"[yellow cake mix, powdered sugar, butter, vanilla, milk, chocolate]"
Dairy-Free-Freezer-Cake-1368280,Dairy Free Freezer Cake,4,,,,"[vanilla beans, frozen desserts, cookie crumbs, full fat coconut milk, powdered sugar, pure vanilla extract]"
