id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Mushroom-and-Wild-Rice-Casserole-_glutenfree-1373183,Mushroom and Wild Rice Casserole – #glutenfree,4,3300.0,,,"[wild rice, olive oil, onions, mushrooms, diced tomatoes, pitted black olives, cheese]",casserole
Dorito-Casserole-1375571,Dorito Casserole,4,3000.0,[Main Dishes],,"[butter, onions, all-purpose flour, chicken broth, fire roasted diced tomatoes, chili powder, sour cream, kosher salt, rotisserie chicken, doritos, chopped cilantro, shredded cheese]",casserole
Ruth_s-Chris-Sweet-Potato-Casserole-1379965,Ruth's Chris Sweet Potato Casserole,4,3600.0,[Side Dishes],,"[brown sugar, all-purpose flour, chopped pecans, butter, sweet potatoes, granulated sugar, salt, vanilla, eggs]",casserole
Leftover-Ham-And-Cornbread-Casserole-1373413,Leftover Ham And Cornbread Casserole,4,3000.0,,,"[cooked ham, cooked bacon, pepper, corn, water, cornbread, eggs, cheese]",casserole
Pineapple-Casserole-1352692,Pineapple Casserole,4,2700.0,,,"[pineapple chunks, flour, margarine, pineapple juice, sugar, cheese, Ritz Crackers]",casserole
Easy-Pierogi-Casserole-1360122,Easy Pierogi Casserole,3,5100.0,[Main Dishes],,"[lasagna noodles, mashed potatoes, herbs, green onions, bacon pieces, crackers]",casserole
Easy-Tuna-Casserole-1371400,Easy Tuna Casserole,4,1200.0,[Main Dishes],,"[whole wheat pasta, whole milk, sea salt, tuna, shredded cheese]",casserole
Salmon-And-Mushrooms-Casserole-1373491,Salmon And Mushrooms Casserole,4,2100.0,[Main Dishes],,"[salmon, mushrooms, onions, cream, salt, grating cheese]",casserole
Egg-McMuffin-Breakfast-Casserole-1363376,Egg McMuffin Breakfast Casserole,4,2700.0,[Breakfast and Brunch],,"[whole wheat english muffins, canadian bacon, shredded sharp cheddar cheese, large eggs, 2% reduced-fat milk, salt, ground black pepper]",casserole
Hashbrown-Casserole-1365741,Hashbrown Casserole,3,1800.0,,,"[colby cheese, butter, onions, salt, black pepper, hash brown]",casserole
Corn-Pudding-Casserole-1367841,Corn Pudding Casserole,4,4500.0,[Side Dishes],,"[butter, flour, milk, frozen corn, eggs, sugar, salt, corn flakes]",casserole
Easy-Sweet-Potato-Casserole-with-Pecan-Crumble-Topping-1379263,Easy Sweet Potato Casserole with Pecan Crumble Topping,4,6000.0,[Side Dishes],,"[sweet potatoes, eggs, butter, milk, white sugar, maple syrup, vanilla extract, cinnamon, salt, nutmeg, brown sugar, pecans, gluten free all purpose flour]",casserole
Candied-Sweet-Potato-Casserole-1372919,Candied Sweet Potato Casserole,4,3900.0,[Side Dishes],,"[sweet potatoes, orange juice, honey, unsalted butter, orange, salt, chopped pecans, ground cinnamon, brown sugar]",casserole
Buttery-Brown-Sugar-Sweet-Potato-Casserole-1377257,Buttery Brown Sugar Sweet Potato Casserole,4,4500.0,[Side Dishes],,"[sweet potatoes, brown sugar, evaporated milk, butter, kosher salt, McCormick® Ground Cinnamon, McCormick Ground Nutmeg, cayenne pepper, McCormick® Pure Vanilla Extract, all-purpose flour, chopped pecans]",casserole
Baked-Apple-French-Toast-Casserole-1353626,Baked Apple French Toast Casserole,3,4200.0,[Breakfast and Brunch],,"[challa, large eggs, milk, pure vanilla extract, salt, apples, butter, brown sugar, cinnamon]",casserole
Saucy-Chicken-Enchilada-Casserole-1377597,Saucy Chicken Enchilada Casserole,3,2100.0,[Main Dishes],,"[boneless chicken breast, basmati rice, enchilada sauce, refried beans, white cheddar cheese]",casserole
Cheesy-Broccoli-Rice-Casserole-1364903,Cheesy Broccoli Rice Casserole,4,3000.0,[Side Dishes],,"[minute rice, frozen chopped broccoli, butter, onions, milk, cream of mushroom soup, cheez whiz]",casserole
Cheesy-Taco-Casserole-1368570,Cheesy Taco Casserole,4,3300.0,[Main Dishes],,"[ground beef, elbow macaroni, green pepper, condensed tomato soup, fresh tomatoes, taco seasoning mix, cheese, jalapeno chilies]",casserole
Reuben-Casserole-1376139,Reuben Casserole,4,2400.0,,,"[corned beef cold cuts, sauerkraut, thousand island dressing, shredded swiss cheese, rye bread]",casserole
Slow-Cooker-French-Toast-Casserole-1350694,Slow Cooker French Toast Casserole,4,29700.0,[Breakfast and Brunch],,"[french bread, eggs, milk, cinnamon, butter, brown sugar, vanilla]",casserole
Sausage-Egg-Casserole-1358990,Sausage Egg Casserole,4,3300.0,[Breakfast and Brunch],,"[sausages, eggs, milk, salt, black pepper, colby jack cheese, bread]",casserole
Enchilada-Casserole-1356636,Enchilada Casserole,4,3900.0,[Main Dishes],[Mexican],"[hamburger, corn tortillas, chili, tomato sauce, shredded cheese, taco seasoning mix, pepper]",casserole
Easy-Mexican-Casserole-Monday_-September-13_-2010-1376454,"Easy Mexican Casserole… Monday, September 13, 2010",4,3600.0,[Main Dishes],[Mexican],"[lean ground beef, Ranch Style Beans, tortilla chips, tomatoes, onions, shredded cheddar cheese, taco seasoning, cream of chicken soup, water, salsa, sour cream]",casserole
Chicken-Stuffing-Casserole-1379562,Chicken Stuffing Casserole,4,2700.0,[Main Dishes],,"[chicken, celery, onions, condensed soup, chicken broth, butter, stuffing]",casserole
French-Onion-Noodle-Casserole-1371229,French Onion Noodle Casserole,4,2400.0,[Main Dishes],,"[egg noodles, cream of chicken soup, onions, cheddar cheese, chicken breasts, french fried onions]",casserole
Mashed-Potato-Casserole-1373195,Mashed Potato Casserole,4,2400.0,[Side Dishes],,"[russet potatoes, cream cheese, green onions, milk, shredded cheddar cheese, salt, pepper]",casserole
Turkey-and-Stuffing-Casserole-1379639,Turkey and Stuffing Casserole,4,2700.0,[Main Dishes],,"[stuffing, cooked turkey, green beans, cream of mushroom soup, french fried onions]",casserole
Easy-Breakfast-Casserole-1377317,Easy Breakfast Casserole,4,3900.0,[Breakfast and Brunch],,"[chicken, milk, ham, eggs, cheddar cheese, salt]",casserole
Cheesy-Mashed-Potato-Casserole-1352340,Cheesy Mashed Potato Casserole,4,4200.0,[Side Dishes],,"[potatoes, sour cream, butter, cream cheese, milk, garlic salt, pepper, bacon slices, cheddar cheese, parmesan cheese, green onions]",casserole
Make-Ahead-Spaghetti-and-Meatball-Casserole-1379878,Make-Ahead Spaghetti and Meatball Casserole,3,32400.0,[Main Dishes],,"[elbow macaroni, spaghetti, water, pasta sauce, italian meatballs, fresh parmesan cheese, finely chopped fresh parsley]",casserole
Bacon-_-Tot-Casserole-1342830,Bacon & Tot Casserole,4,3300.0,[Breakfast and Brunch],,"[frozen tater tots, eggs, thick-cut bacon, green onions, shredded cheddar cheese, shredded pepper jack cheese, salt, pepper]",casserole
Au-Gratin-Potato-Casserole-1362673,Au Gratin Potato Casserole,4,4500.0,[Side Dishes],,"[whole milk, cream, flour, salt, ground black pepper, russet potatoes, shredded cheddar cheese, cornflakes, butter, fresh parsley]",casserole
Carrot-Casserole-1373480,Carrot Casserole,4,3300.0,,,"[cottage cheese, carrots, eggs, kefir, semolina, brown sugar, vanilla]",casserole
No-Boil-Candied-Sweet-Potato-Casserole-1378922,No Boil Candied Sweet Potato Casserole,4,4500.0,[Side Dishes],,"[sweet potatoes, water, butter, brown sugar, cinnamon, salt, mini marshmallows]",casserole
Crockpot-Cheesy-Hashbrown-Casserole-1362925,Crockpot Cheesy Hashbrown Casserole,4,15000.0,[Side Dishes],,"[potatoes, onions, mushroom soup, shredded cheddar cheese, cream cheese, butter, salt, pepper]",casserole
Crockpot-Green-Bean-Casserole-1380255,Crockpot Green Bean Casserole,4,18600.0,[Side Dishes],,"[green beans, cream of chicken soup, milk, parmesan cheese, salt, black pepper, french fried onions]",casserole
Crock-Pot-Ravioli-Meatball-Casserole-1380367,Crock Pot Ravioli Meatball Casserole,4,7500.0,[Main Dishes],,"[frozen meatballs, frozen cheese ravioli, pizza sauce, mushrooms, shredded mozzarella cheese]",casserole
Mexican-Chicken-Casserole-with-Cheddar-Cheese-and-Tomatoes-1379356,Mexican Chicken Casserole with Cheddar Cheese and Tomatoes,4,3000.0,[Main Dishes],[Mexican],"[cream of chicken soup, cheddar cheese soup, cream of mushroom soup, tomatoes, chicken, flour tortillas, shredded cheddar cheese]",casserole
Crock-Pot-Breakfast-Casserole-1361206,Crock Pot Breakfast Casserole,3,2100.0,[Breakfast and Brunch],,"[frozen hash browns, bacon, onions, shredded sharp cheddar cheese, red bell pepper, green bell pepper, eggs, milk]",casserole
Lasagna-Casserole-1357168,Lasagna Casserole,4,2100.0,[Main Dishes],,"[onions, italian seasoning, hamburger, sugar, ground black pepper, penne, Hunts Tomato Sauce, water]",casserole
Make-Ahead-Crockpot-Corn-Casserole-1368348,Make Ahead Crockpot Corn Casserole,4,22200.0,[Side Dishes],,"[frozen corn kernels, cream style corn, sweet onion, cream cheese, butter, milk, butter crackers, pepper, salt, cooking spray]",casserole
Cheesy-Spinach-Potato-Casserole-1367650,Cheesy Spinach Potato Casserole,4,3480.0,[Side Dishes],,"[red potato, unsweetened almond milk, spinach, cheese]",casserole
4-Ingredient-Potato-Casserole-1346011,4 Ingredient Potato Casserole,3,3000.0,[Side Dishes],,"[hash brown, whipping cream, shredded cheddar cheese, green onions, salt, pepper]",casserole
Baked-Potato-Casserole-1370357,Baked Potato Casserole,4,3900.0,[Side Dishes],,"[potatoes, Velveeta, mayonnaise, green onions, bacon pieces]",casserole
Sweet-Potato-Casserole-Stacks-1368678,Sweet Potato Casserole Stacks,4,3900.0,,,"[sweet potatoes, canola oil, light butter, light pancake syrup, vanilla extract, salt, flour, brown sugar, chopped pecans]",casserole
Butternut-Squash-Enchilada-Casserole-1374494,Butternut Squash Enchilada Casserole,4,4800.0,[Main Dishes],[Mexican],"[butternut squash, yellow onion, poblano peppers, jalapeno chilies, oil, ground cumin, pepper, salt, black beans, cilantro, baby spinach leaves, salsa, corn tortillas, Mexican cheese]",casserole
