id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Pumpkin-Cheesecake-1375760,Pumpkin Cheesecake,4,6300.0,[Desserts],,"[graham cracker crumbs, butter, sugar, cream cheese, vanilla, solid pack pumpkin, eggs, cinnamon, nutmeg, allspice, whipped cream]",cheesecake
Lemon-Cheesecake-1375450,Lemon Cheesecake,3,22800.0,[Desserts],,"[graham cracker crumbs, sugar, butter, Philadelphia Cream Cheese, Knudsen Sour Cream, lemon, eggs]",cheesecake
Fluffy-Cheesecake-1370555,Fluffy Cheesecake,4,9600.0,[Desserts],,"[graham cracker crumbs, sugar, salted butter, cream cheese, granulated sugar, large egg yolks, sour cream, vanilla extract, lemon juice, large egg whites]",cheesecake
Pumpkin-Cookie-Butter-Cheesecake-1374346,Pumpkin Cookie Butter Cheesecake,4,4800.0,[Desserts],,"[crust, cookies, brown sugar, melted butter, cheesecake, cream cheese, cookie butter, pumpkin purée, eggs, egg yolks, vanilla extract, sour cream, sugar, flour, salt, cinnamon, nutmeg, ginger, allspice, clove]",cheesecake
Pumpkin-Cheesecake-1367107,Pumpkin Cheesecake,4,4500.0,[Desserts],,"[graham cracker crumbs, brown sugar, ground cinnamon, butter, cream cheese, pumpkin purée, eggs, sour cream, sugar, ground nutmeg, ground cloves, all-purpose flour, vanilla extract]",cheesecake
Classic-No-Bake-Cheesecake-1377373,Classic No Bake Cheesecake,3,1800.0,[Desserts],,"[graham crackers, butter, sugar, cream cheese, sweetened condensed milk, lemon juice, vanilla extract]",cheesecake
Red-Velvet-Cheesecake-1374952,Red Velvet Cheesecake,4,6300.0,"[Desserts, Afternoon Tea]",,"[cake flour, unsweetened cocoa powder, baking powder, baking soda, kosher salt, buttermilk, red food coloring, white vinegar, vanilla extract, sugar, unsalted butter, large eggs, cream cheese, sour cream, vanilla, eggs]",cheesecake
Reduced-Fat-Oreo-Cheesecake-1377812,Reduced Fat Oreo Cheesecake,3,4500.0,[Desserts],,"[OREO® Cookies, butter, egg whites, fat free cream cheese, granulated sugar, all-purpose flour, vanilla extract]",cheesecake
Oreo-Truffle-Cheesecake-1374973,Oreo Truffle Cheesecake,4,20400.0,[Desserts],,"[OREO® Cookies, butter, cream cheese, large eggs, granulated sugar, heavy cream, vanilla, semi-sweet chocolate morsels, truffles]",cheesecake
Individual-Swirled-Pumpkin-Cheesecakes-1367529,Individual Swirled Pumpkin Cheesecakes,3,2700.0,[Desserts],,"[cupcakes, nonstick spray, cream cheese, granulated sugar, ground cinnamon, all-purpose flour, vanilla extract, salt, large eggs, pure pumpkin, pumpkin pie spice]",cheesecake
Cheesecake-Fudge-1375457,Cheesecake Fudge,4,3600.0,[Desserts],,"[instant cheesecake pudding mix, butter, powdered sugar, milk, cocktail cherries]",cheesecake
Cheesecake-1155254,Cheesecake,3,5100.0,[Desserts],,"[graham cracker crumbs, vegetable oil, reduced fat cream cheese, sugar, corn starch, non-fat sour cream, vanilla extract, large eggs, large egg whites]",cheesecake
Loaded-Oreo-Cheesecake-1377019,Loaded Oreo Cheesecake,3,14400.0,[Desserts],,"[crust, crumbs, butter, cream cheese, sugar, vanilla, cool whip, OREO® Cookies]",cheesecake
No-Bake-Strawberry-Cheesecake-1377835,No-Bake Strawberry Cheesecake,3,1800.0,[Desserts],,"[strawberries, confectioners sugar, sour cream, cream cheese, vanilla extract, graham cracker crusts]",cheesecake
Oreo-Cheesecake-1348898,Oreo Cheesecake,3,1500.0,[Desserts],,"[OREO® Cookies, melted butter, cream cheese, cream, vanilla extract, cocoa powder, unflavored gelatin, hot water]",cheesecake
Poinsettia-Cheesecake-1379402,Poinsettia Cheesecake,3,1800.0,[Desserts],,"[cheesecake, candy melts, cream cheese, butter, powdered sugar]",cheesecake
Ultimate-Vanilla-Cheesecake-1072903,Ultimate Vanilla Cheesecake,3,4500.0,[Desserts],,"[crust, vanilla wafers, butter, sugar, pure vanilla extract, cheesecake filling, cream cheese, eggs, sour cream]",cheesecake
Cheesecake-with-Ginger-Snap-Crust-1374907,Cheesecake with Ginger Snap Crust,4,4500.0,[Desserts],,"[crumbs, butter, ground cinnamon, sugar, cream cheese, nonfat plain greek yogurt, pure vanilla extract, fresh lemon juice, eggs, chocolate sauce, unsweetened cocoa powder, honey, vanilla extract]",cheesecake
Pumpkin-Cheesecake-1371080,Pumpkin Cheesecake,4,3900.0,[Desserts],,"[graham cracker crumbs, granulated sugar, unsalted butter, unflavored gelatin, cream cheese, pumpkin purée, sour cream, pumpkin pie spice, pure vanilla extract]",cheesecake
No-Bake-Cherry-Cheesecake-1377831,No Bake Cherry Cheesecake,3,1500.0,[Desserts],,"[crust, vanilla wafers, butter, sugar, ground cinnamon, salt, sour cream, mascarpone, cream cheese, soft fresh goat cheese, vanilla extract, lemon zest, heavy cream, cherry pie filling]",cheesecake
Peanut-Butter-Cup-Ripple-Cheesecake-1375767,Peanut Butter Cup Ripple Cheesecake,4,5100.0,[Desserts],,"[OREO® Cookies, melted butter, cream cheese, sugar, sour cream, eggs, vanilla, fudge topping, peanut butter cups, butterfinger]",cheesecake
Chocolate-Cheesecake-Dessert-1371258,Chocolate Cheesecake Dessert,4,2100.0,[Desserts],,"[cream cheese, cocoa powder, vanilla extract, liquid stevia, heavy whipping cream, crust]",cheesecake
Brownie-Cheesecake-1158350,Brownie Cheesecake,3,19500.0,[Desserts],,"[chocolate, brownie mix, cheesecake, low-fat cream cheese, sugar, large eggs, vanilla, almond extract, raspberry jam]",cheesecake
Cheesecake-1216051,Cheesecake,4,6300.0,[Desserts],,"[vanilla, lemon, sugar, sour cream, cream cheese, flour, eggs, graham cracker crumbs, unsalted butter]",cheesecake
Coconut-Cheesecake-1375097,Coconut Cheesecake,4,3600.0,[Desserts],,"[unsweetened shredded dried coconut, coconut oil, raw honey, gelatin, organic sugar, water, vanilla extract, cream cheese, coconut butter]",cheesecake
Salted-Caramel-Cheesecake-1378756,Salted Caramel Cheesecake,4,4500.0,[Desserts],,"[pretzels, Challenge Butter, cream cheese, granulated sugar, large eggs, heavy cream, pure vanilla extract, caramel sauce]",cheesecake
Mini-Blueberry-Cheesecakes-1320366,Mini Blueberry Cheesecakes,4,3300.0,[Desserts],,"[graham cracker crumbs, sugar, butter, cheesecake, fat free cream cheese, vanilla extract, large eggs, frozen blueberries, water, corn starch]",cheesecake
Salted-Caramel-Pumpkin-Cheesecakes-1378262,Salted Caramel Pumpkin Cheesecakes,4,13800.0,[Desserts],,"[cream cheese, chopped pecans]",cheesecake
Cherry-Cheesecake-Cupcakes-1380215,Cherry Cheesecake Cupcakes,4,2700.0,[Desserts],,"[graham cracker crumbs, butter, sugar, cream cheese, large eggs, lemon juice, vanilla, cherry pie filling]",cheesecake
