id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Chili-1368417,Chili,4,4800.0,[Main Dishes],,"[hamburger, red kidney beans, crushed tomatoes, water, onions, garlic, chili powder, salt, black pepper, ground cumin, cinnamon, cayenne pepper, red wine vinegar, worcestershire sauce, chocolate chips]"
Chili-1356765,Chili,3,2100.0,[Main Dishes],,"[lean ground beef, sweet pepper, chopped onion, garlic, tomato sauce, red kidney beans, diced tomatoes, chili powder, salt, dried basil, ground black pepper, shredded cheddar cheese, sour cream, crushed red pepper]"
Chili-1332837,Chili,3,900.0,[Main Dishes],,"[lean ground beef, sweet pepper, chopped onion, garlic, tomato sauce, red kidney beans, diced tomatoes, chili powder, salt, dried basil, ground black pepper, shredded cheddar cheese, sour cream, crushed red pepper]"
Chili-1311923,Chili,3,4500.0,[Main Dishes],,"[ground beef, cooking oil, red kidney beans, onions, green bell pepper, garlic, tomatoes, tomato sauce, salt, chili powder, bay leaf, crushed red pepper flakes, dried oregano, paprika, cayenne pepper]"
Chili-1357505,Chili,4,4800.0,[Main Dishes],,"[hamburger, red kidney beans, crushed tomatoes, water, onions, garlic, chili powder, salt, black pepper, ground cumin, cinnamon, cayenne pepper, red wine vinegar, worcestershire sauce, chocolate chips]"
Sweet-Potato-Chili-1302042,Sweet Potato Chili,4,2100.0,[Main Dishes],,"[olive oil, small yellow onion, sweet potatoes, green bell pepper, red bell pepper, chili powder, ground cumin, salt, pepper, black beans, pinto beans, diced tomatoes, vegetable broth, unsweetened cocoa powder]"
Chili-1284758,Chili,4,5100.0,[Main Dishes],,"[ground beef, salt, pepper, garlic powder, chili powder, cayenne pepper, white onion, diced tomatoes, tomato paste, black beans, kidney beans, corn]"
Brisket-Chili-1361007,Brisket Chili,4,900.0,[Main Dishes],,"[brisket, onions, green bell pepper, garlic, kidney beans, black beans, tomato sauce, diced tomatoes, brown sugar, chili powder, garlic powder, onion powder, ground cumin, ground mustard, salt, pepper, olive oil]"
Homemade-Chili-1344850,Homemade Chili,4,7200.0,[Main Dishes],,"[celery ribs, onions, red pepper, green pepper, jalapeno chilies, thai chile, garlic cloves, ground pork, ground beef, margarine, dried oregano, dried thyme, ancho powder, chili powder, coriander, ground cumin, soy sauce, worcestershire sauce, ketchup, diced tomatoes, tomato purée, water, beef stock cubes]"
Chipotle-Quinoa-Chili-1374265,Chipotle-Quinoa Chili,3,3900.0,[Main Dishes],,"[oil, yellow onion, garlic, chili powder, ground cumin, chile pepper, diced tomatoes, no-salt-added black beans, red kidney beans, red pepper, frozen corn, quinoa, green onions, chopped cilantro fresh, KRAFT Shredded Three Cheese with a TOUCH OF PHILADELPHIA]"
Darn-Good-Chili-1379254,Darn Good Chili,4,2700.0,[Main Dishes],,"[ground beef, celery, onions, green chilies, tomato sauce, diced tomatoes, kidney beans, pinto beans, ground cumin, chili powder, black pepper, fine sea salt, cayenne pepper]"
Chili-1015922,Chili,4,4800.0,[Main Dishes],,"[hamburger, red kidney beans, crushed tomatoes, water, onions, garlic, chili powder, salt, black pepper, ground cumin, cinnamon, cayenne pepper, red wine vinegar, worcestershire sauce, chocolate chips]"
Turkey-Chili-1321313,Turkey Chili,4,3300.0,[Main Dishes],,"[olive oil, green bell pepper, yellow onion, garlic, lean ground turkey, ground black pepper, salt, diced tomatoes and green chilies, tomato sauce, low sodium chicken broth, chili powder, ancho powder, ground cumin, ground paprika, ground coriander, red kidney beans, light sour cream, low-fat cheddar cheese, cayenne pepper, green onions]"
Turkey-Chili-1352225,Turkey Chili,3,3300.0,[Main Dishes],,"[olive oil, turkey meat, onions, chopped garlic, red bell pepper, chopped celery, jalapeno chilies, fresh oregano, bay leaves, chili powder, ground cumin, diced tomatoes, chicken broth, salt, freshly ground pepper, red kidney beans, shredded cheddar cheese, sour cream, lime]"
White-Chicken-Chili-1378484,White Chicken Chili,4,3000.0,[Main Dishes],,"[white beans, canola oil, poblano peppers, chili, onions, garlic cloves, freshly ground black pepper, kosher salt, ground cumin, ground coriander, chili powder, low sodium chicken broth, lime, rotisserie chicken, cilantro leaves, grating cheese, sour cream]"
Chili-982683,Chili,4,5400.0,[Main Dishes],,"[ground beef, onions, garlic, chili powder, ground cumin, dried oregano, salt, Tabasco Pepper Sauce, tomatoes, red beans]"
Flatlander-Chili-1316390,Flatlander Chili,4,7200.0,[Main Dishes],,"[lean ground beef, sausages, tomato sauce, diced tomatoes, chopped onion, chopped celery, chopped green bell pepper, chili powder, hot sauce, ground cumin, garlic powder, salt, ground black pepper, dried oregano, white sugar, ground cayenne pepper, chili beans, kidney beans]"
Fall-Favorite-Chicken-Chili-1373811,Fall Favorite Chicken Chili,4,2700.0,[Main Dishes],,"[rotisserie chicken, black beans, pinto beans, chicken stock, extra-virgin olive oil, onions, garlic, red bell pepper, oregano, chili powder]"
Chipotle-Quinoa-Chili-1378807,Chipotle-Quinoa Chili,3,3900.0,[Main Dishes],,"[oil, yellow onion, garlic, chili powder, ground cumin, chile pepper, diced tomatoes, no-salt-added black beans, red kidney beans, red pepper, frozen corn, quinoa, green onions, chopped cilantro fresh, KRAFT Shredded Three Cheese with a TOUCH OF PHILADELPHIA]"
Seriously_-The-Best-Healthy-Turkey-Chili-1367635,"Seriously, The Best Healthy Turkey Chili",4,3300.0,[Main Dishes],,"[olive oil, yellow onion, garlic cloves, red bell pepper, lean ground turkey, chili powder, ground cumin, dried oregano, cayenne pepper, salt, crushed tomatoes, chicken broth, red kidney beans, sweet corn, sour cream, tortilla chips, cilantro, avocado, cheese]"
3-Bean-Beef-Chili-1362637,3-Bean Beef Chili,4,3600.0,[Main Dishes],,"[lean ground beef, onions, garlic, chili powder, ground cumin, paprika, tomato sauce, diced tomatoes, black beans, kidney beans, pinto beans, water]"
White-Chili-1354853,White Chili,4,3000.0,[Main Dishes],,"[white beans, sweet corn, canola oil, jalapeno chilies, pepper, onions, garlic, salt, ground cumin, ground coriander, chili powder, vegetable broth, lime, cilantro leaves]"
Chili-339413,Chili,3,3600.0,[Main Dishes],,"[onions, green pepper, butter, ground beef, diced tomatoes, tomato sauce, chili beans, paprika, clove, bay leaf, salt, sugar, red pepper, chili powder]"
Easy-Chili-1377845,Easy Chili,4,3000.0,[Main Dishes],,"[ground beef, chili beans, chili]"
