id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
My-Mama_s-Fish-Chowder-1266317,My Mama's Fish Chowder,4,3600.0,[Soups],,"[butter, sweet onion, celery, waxy potatoes, water, salt, cracked black pepper, whitefish, heavy cream, flat leaf parsley]"
Fish-Chowder-1379843,Fish Chowder,4,1800.0,[Soups],,"[extra-virgin olive oil, minced garlic, sweet paprika, dried thyme, canned chopped tomatoes, reduced sodium chicken broth, kosher salt, black pepper, heavy cream, cod fillets, carrots, celery, basil leaves]"
Corn-Chowder-1380181,Corn Chowder,4,1800.0,[Soups],,"[water, carrots, diced potatoes, chopped celery, butter, milk, flour]"
Lightened-Up-Broccoli-and-Bacon-Chowder-1368579,Lightened-Up Broccoli and Bacon Chowder,4,2700.0,[Soups],,"[non fat chicken stock, fat free cream cheese, carrots, broccoli, potatoes, frozen corn, salt, pepper, and fat free half half, skim milk, all-purpose flour, thick-cut bacon, scallions]"
Creamy-Vegetarian-Corn-Chowder-1375271,Creamy Vegetarian Corn Chowder,4,1200.0,[Soups],,"[bell pepper, potatoes, onions, milk, butter, cream style corn, salt, pepper]"
Corn-Chowder-1329466,Corn Chowder,4,3000.0,[Soups],,"[butter, celery, onions, flour, milk, chicken stock cubes, frozen corn, sugar, salt, diced potatoes, chopped bacon, heavy cream, white pepper]"
Homemade-Corn-Chowder-1357674,Homemade Corn Chowder,4,4800.0,[Soups],,"[red potato, olive oil, sweet onion, butter, garlic, red bell pepper, red pepper flakes, dried parsley, flour, milk, water, corn husks, salt, pepper]"
Corn-Chowder-1356076,Corn Chowder,4,3300.0,[Soups],,"[bacon, onions, potatoes, corn niblets, cream style corn, milk, pepper, salt, green onions]"
Salmon-Chowder-1361672,Salmon Chowder,4,3600.0,[Soups],,"[red potato, thick-cut bacon, olive oil, scallions, frozen corn, garlic, chopped fresh thyme, bay leaf, milk, heavy cream, salmon fillets, salt, black pepper, fresh lemon juice, chopped fresh chives, oyster crackers]"
Chicken-and-Cheese-Chowder-1378078,Chicken and Cheese Chowder,4,2100.0,[Soups],,"[butter, shredded carrots, celery ribs, diced onions, flour, milk, chicken stock, cooked chicken, white wine, worcestershire sauce, sharp cheddar cheese, salt, pepper, chives]"
CAPE-ANN-CHOWDER-1372142,CAPE ANN CHOWDER,4,1500.0,[Soups],,"[diced potatoes, chopped celery, chopped onion, boiling water, salt, pepper, cream, cheddar cheese, smoked & dried fish, halibut, salmon]"
Clam-Chowder-1328207,Clam Chowder,4,3000.0,[Soups],,"[clams, fish stock, bacon, leeks, celery ribs, garlic, fresh thyme, red potato, salt, pepper, heavy cream, frozen corn, chives]"
New-England-Clam-Chowder-1369749,New England Clam Chowder,4,3900.0,[Soups],,"[bacon, celery, yellow onion, leeks, carrots, fresh thyme, butter, yukon gold potatoes, clams, half & half, cream, freshly ground black pepper, salt, flat leaf parsley]"
Slow-Cooker-Potato-Bacon-Corn-Chowder-1367693,Slow Cooker Potato Bacon Corn Chowder,4,15000.0,[Soups],,"[yellow onion, red pepper, yellow corn, heavy cream, low sodium chicken broth, red potato, italian seasoning, flour, pepper, salt, bacon]"
Slow-Cooker-Thanksgiving-Turkey-and-Mashed-Potato-Chowder-1380511,Slow Cooker Thanksgiving Turkey and Mashed Potato Chowder,4,15000.0,[Soups],,"[turkey, onions, carrots, potatoes, corn, peas, green beans, garlic, salt, ground black pepper, thyme, mashed potatoes, chicken broth, heavy cream, flour, stuffing]"
Chunky-Seafood-Chowder-TasteOfHome,Chunky Seafood Chowder,4,1800.0,[Soups],,"[onions, butter, cream, condensed New England clam chowder, potatoes, salt, white pepper, imitation crab meat]"
Chicken-Potato-Chowder-1372570,Chicken Potato Chowder,3,3600.0,[Soups],,"[butter, boneless skinless chicken breast halves, onions, celery, carrots, reduced sodium chicken broth, russet potatoes, all-purpose flour, light cream, salt, ground black pepper, cooked bacon]"
Award-winning-Clam-Chowder-1296479,Award-winning Clam Chowder,4,2700.0,[Soups],,"[onions, medium potatoes, clams, butter, flour, half & half, salt, pepper, red wine vinegar]"
Quahog-Chowder-1370920,Quahog Chowder,4,3600.0,[Soups],,"[cooked bacon, onions, carrots, celery ribs, dried thyme, dried dillweed, white pepper, all-purpose flour, clam juice, dry white wine, clams, bay leaves, russet potatoes, heavy cream]"
Salmon-Chowder-1372414,Salmon Chowder,3,3300.0,[Soups],,"[skinless salmon fillets, cooking oil, shredded carrots, finely chopped onion, celery, water, reduced sodium chicken broth, red potato, frozen whole kernel corn, snip fresh dill, bay leaf, dried thyme, cayenne pepper, salt, whole milk, corn starch]"
How-to-Prepare-Crockpot-Corn-Chowder-1367943,How to Prepare Crockpot Corn Chowder,3,900.0,[Soups],,"[potatoes, butter, cream style corn, corn kernel whole, onions, chicken broth, half & half, ham]"
Corn-Chowder-1330110,Corn Chowder,4,3000.0,[Soups],,"[butter, celery, onions, flour, milk, chicken stock cubes, frozen corn, sugar, salt, diced potatoes, chopped bacon, heavy cream, white pepper]"
Quick-And-Easy-Clam-Chowder-Allrecipes,Quick and Easy Clam Chowder,5,29400.0,[Soups],,"[condensed cream of celery soup, condensed cream of potato soup, new england clam chowder, clams, cream, heavy whipping cream]"
Cauliflower-Chowder-579853,Cauliflower Chowder,4,2700.0,[Soups],,"[bacon, unsalted butter, garlic, onions, carrots, celery, all-purpose flour, chicken broth, 2% reduced-fat milk, cauliflower, bay leaf, kosher salt, ground black pepper, fresh parsley leaves]"
New-England-Bacon-Corn-Chowder-1380626,New England Bacon Corn Chowder,4,2400.0,[Soups],,"[butter, onions, celery ribs, medium potatoes, water, cream style corn, corn, milk, light cream, basil, parsley, pepper, onion salt, celery salt, cooked bacon, crumbled bacon, green onions]"
Kale-_-Sweet-Potato-Chowder-1356451,Kale + Sweet Potato Chowder,4,2400.0,[Soups],,"[olive oil, red potato, onions, carrots, celery ribs, red bell pepper, sweet potatoes, salt, black pepper, smoked paprika, low sodium vegetable broth, full fat coconut milk, kale, chopped parsley]"
