id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Old-fashioned-Peach-Cobbler-1353633,Old-fashioned Peach Cobbler,3,3900.0,[Desserts],,"[unsalted butter, all-purpose flour, granulated sugar, baking powder, salt, whole milk, large eggs, peach slices, corn starch, light brown sugar, ground cinnamon]",cobbler
Apple-Cobbler-1360104,Apple Cobbler,4,4200.0,[Desserts],,"[apples, lemon juice, honey, large eggs, milk, bran muffin mix, unsalted butter, light brown sugar]",cobbler
Pecan-Cobbler-1378145,Pecan Cobbler,4,6300.0,[Desserts],,"[eggs, light corn syrup, flour, butter, salt, brown sugar, unbaked pie crusts, pecans]",cobbler
Quick-_-Easy-Cobbler-1366536,Quick & Easy Cobbler,4,3000.0,[Desserts],,"[sugar, flour, baking powder, milk, butter, fruit]",cobbler
Strawberry-Cobbler-1379306,Strawberry Cobbler,3,3000.0,[Desserts],,"[strawberries, salted butter, granulated sugar, all-purpose flour, baking powder, sea salt, whole milk]",cobbler
Peach-Cobbler-1374636,Peach Cobbler,3,2700.0,[Desserts],,"[melted butter, flour, sugar, baking powder, salt, milk, eggs, peach slices, cinnamon, nutmeg]",cobbler
Cherry-Berry-Cobbler-1373526,Cherry Berry Cobbler,4,3300.0,[Desserts],,"[blueberry pie filling, cherry pie filling, blueberry muffin mix, unsalted butter]",cobbler
Holiday-Cobbler-with-Cinnamon-Ice-Cream-1377607,Holiday Cobbler with Cinnamon Ice Cream,3,3900.0,[Desserts],,"[cranberries, cherries, water, granulated sugar, all-purpose flour, plums, quick rolled oats, brown sugar, baking powder, salt, cream of tartar, butter, milk, cinnamon ice cream]",cobbler
Chocolate-Cobbler-489852,Chocolate Cobbler,4,4200.0,[Desserts],,"[granulated sugar, all-purpose flour, cocoa, baking powder, salt, milk, unsalted butter, vanilla extract, light brown sugar, hot water]",cobbler
Peach-Cobbler-1294815,Peach Cobbler,4,3600.0,[Desserts],,"[unsalted butter, peach slices, sugar, flour, baking powder, kosher salt, milk]",cobbler
The-Easiest-Blackberry-Cobbler-1199798,The Easiest Blackberry Cobbler,4,2100.0,[Desserts],,"[butter, all-purpose flour, baking powder, granulated sugar, milk, nutmeg, blackberries]",cobbler
Skillet-Cranberry-Cobbler-1378698,Skillet Cranberry Cobbler,4,3000.0,[Desserts],,"[butter, fresh cranberries, sugar, flour, kosher salt, baking powder, milk, large eggs]",cobbler
Blueberry-Cobbler-1365041,Blueberry Cobbler,4,3600.0,[Desserts],,"[granulated sugar, corn starch, ground cinnamon, salt, blueberries, grated lemon zest, lemon juice, all-purpose flour, yellow corn meal, baking powder, baking soda, buttermilk, unsalted butter, vanilla extract]",cobbler
Winter-Peach-Cobbler-1312895,Winter Peach Cobbler,4,3000.0,[Desserts],,"[frozen peach slices, flour, sugar, salt, cinnamon, eggs, unsalted butter]",cobbler
Rustic-Cobbler-996112,Rustic Cobbler,4,3000.0,[Desserts],,"[frozen blackberries, all-purpose flour, sugar, eggs, butter]",cobbler
Berry-Cobbler-1369217,Berry Cobbler,4,3300.0,[Desserts],,"[forest fruit, lemon juice, brown sugar, corn starch, cinnamon, flour, quick-cooking oats, granulated sugar, baking powder, salt, butter, milk]",cobbler
Warm-Chocolate-Cobbler-1378331,Warm Chocolate Cobbler,4,4200.0,[Desserts],,"[unsweetened cocoa powder, sugar, brown sugar, coffee, caramels, all-purpose flour, baking powder, baking soda, salt, eggs, milk, coconut oil, pure vanilla extract]",cobbler
Blackberry-Cobbler-1314794,Blackberry Cobbler,4,4800.0,[Desserts],,"[butter, sugar, all-purpose flour, baking powder, salt, milk, blackberries]",cobbler
Chocolate-cobbler-333888,Chocolate Cobbler,5,3300.0,[Desserts],,"[flour, salt, baking powder, sugar, cocoa powder, milk, vegetable oil, brown sugar, hot water]",cobbler
Strawberry-Cobbler-1026757,Strawberry Cobbler,4,2400.0,[Desserts],,"[strawberries, sugar, juice, self rising flour, vanilla, milk, butter]",cobbler
Apple-Cobblers-1337782,Apple Cobblers,4,2700.0,[Desserts],,"[apples, cinnamon, lemon juice, flour, brown sugar, sugar, baking powder, nutmeg, salt, medium eggs, butter]",cobbler
Apple-Cobbler-1219410,Apple Cobbler,3,1200.0,[Desserts],,"[cooking apples, sugar, ground cinnamon, all-purpose flour, Land O Lakes® Eggs, baking powder, salt, Land O Lakes® Butter, ice cream]",cobbler
