id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Almond-Snowball-Cookies-1377147,Almond Snowball Cookies,4,1680.0,[Desserts],,"[unsalted butter, cookies, powdered sugar, vanilla, all-purpose flour, fine salt, almond meal, orange zest]"
Cashew-Brickle-Cookies-1377606,Cashew-Brickle Cookies,3,2700.0,[Desserts],,"[refrigerated sugar cookie dough, cashew nuts, toffee bits]"
Sugar-Cookie-1359846,Sugar Cookie,4,2100.0,[Desserts],,"[salted butter, powdered sugar, eggs, vanilla extract, all-purpose flour, baking powder, salt]"
Twix-Cookies-1375058,Twix Cookies,4,2400.0,[Desserts],,"[softened butter, powdered sugar, flour, vanilla, salt, caramels, evaporated milk, milk, shortening]"
Grandmas-Soft-Sugar-Cookies-1371051,Grandma’s Soft Sugar Cookies,4,1800.0,[Desserts],,"[large eggs, vegetable oil, vanilla, white sugar, flour, baking powder, salt]"
Peanut-Butter-Pecan-Cluster-Cookies-1377431,Peanut Butter Pecan Cluster Cookies,4,9300.0,[Desserts],,"[butter, peanut butter, brown sugar, granulated sugar, eggs, vanilla extract, milk, salt, baking soda, all-purpose flour, pecans]"
Oatmeal-Cookies-1374573,Oatmeal Cookies,4,1200.0,[Desserts],,"[sugar, butter, raisins, oatmeal, eggs, soda, flour, cinnamon, salt]"
Pudding-Chip-Cookies-1375878,Pudding Chip Cookies,3,1800.0,[Desserts],,"[all-purpose flour, chocolate pudding mix, vanilla, butter, brown sugar, baking soda, large eggs, large egg whites, semi sweet chocolate mini morsels]"
Chocolate-Vanilla-Swirl-Icebox-Cookies-1375059,Chocolate Vanilla Swirl Icebox Cookies,4,4320.0,[Desserts],,"[unsalted butter, granulated sugar, powdered sugar, large egg yolks, vanilla extract, all-purpose flour, salt, dark chocolate, Dutch-processed cocoa powder]"
Thin-Mint-Cookies-From-Scratch-1374238,Thin Mint Cookies From Scratch,4,6000.0,[Desserts],,"[all-purpose flour, unsweetened cocoa powder, baking soda, salt, baking powder, granulated sugar, butter, large eggs, vanilla extract, peppermint extract, confectioners sugar, semi-sweet chocolate morsels]"
Chocolate-Pecan-Pie-Cookies-1369656,Chocolate Pecan Pie Cookies,4,4200.0,[Desserts],,"[chocolate cookie, butter, light brown sugar, granulated sugar, vanilla extract, large eggs, all-purpose flour, unsweetened cocoa powder, baking soda, salt, cookies, pecans, brown sugar, corn syrup, eggs]"
Buttery-Jam-Thumbprint-Cookies-1378362,Buttery Jam Thumbprint Cookies,4,2100.0,[Desserts],,"[salted butter, powdered sugar, pure vanilla extract, table salt, all-purpose flour, preserves]"
