id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Banana-Crepes-1377068,Banana Crepes,4,300.0,[Breakfast and Brunch],,"[all-purpose flour, salt, eggs, milk, water, bananas, crepes, butter]",crepes
Basic-Crepes-1348297,Basic Crepes,4,1800.0,[Breakfast and Brunch],,"[all-purpose flour, eggs, milk, water, salt, butter]",crepes
Strawberry-Crepes-1353595,Strawberry Crepes,3,900.0,[Desserts],,"[cream cheese, powdered sugar, lemon, vanilla extract, whipped cream, crepes, strawberries]",crepes
Thin-and-Delicious-Crepes-I-Adore-Food-55289,Thin and Delicious Crepes,5,2100.0,[Desserts],,"[all-purpose flour, buttermilk, water, vanilla extract, melted butter, butter oil, crepes, eggs]",crepes
Basic-Crepes-513028,Basic Crepes,5,1800.0,[Breakfast and Brunch],[French],"[whole milk, large eggs, kosher salt, all-purpose flour, unsalted butter]",crepes
Crepes-1250882,Crepes,4,900.0,[Breakfast and Brunch],,"[all-purpose flour, kosher salt, milk, water, eggs, vanilla extract, vegetable oil]",crepes
French-Crepes-Allrecipes,French Crepes,5,2100.0,"[Desserts, Breakfast and Brunch]","[French, Kid-Friendly]","[all-purpose flour, white sugar, salt, eggs, milk, butter]",crepes
Homemade-Lacy-Crepes-1361102,Homemade Lacy Crepes,4,2100.0,"[Desserts, Breakfast and Brunch]",,"[large eggs, sugar, salt, milk, pure vanilla extract, all-purpose flour, vegetable oil, baking powder]",crepes
Dessert-Crepes-Allrecipes,Dessert Crepes,5,1200.0,[Desserts],[Kid-Friendly],"[eggs, milk, butter, all-purpose flour, white sugar, salt]",crepes
Crepes-Fines-Sucrees-_Dessert-Crepes_-1287595,Crêpes Fines Sucrées (Dessert Crepes),3,2700.0,[Desserts],[French],"[crepes, milk, cold water, egg yolks, granulated sugar, orange liqueur, all-purpose flour, butter, clarified butter, powdered sugar, strawberries]",crepes
Egg_-Ham-and-Cheese-Crepe-Pockets-1324361,"Egg, Ham and Cheese Crepe Pockets",4,1500.0,[Breakfast and Brunch],,"[crepes, warm water, milk, large eggs, unsalted butter, all-purpose flour, sugar, salt, dijon mustard, deli ham, medium cheddar cheese]",crepes
Chickpea-Crepes-1371005,Chickpea Crepes,4,3600.0,[Breakfast and Brunch],,"[large free range egg, whole milk, greek yogurt, pure maple syrup, kosher salt, chickpeas, gluten free all purpose flour]",crepes
French-Crepes-1258186,French Crepes,4,2100.0,[Breakfast and Brunch],[French],"[flour, salt, eggs, milk, sugar, butter, lemon juice, powdered sugar]",crepes
Simple-Crepes-Martha-Stewart-193942,Simple Crepes,5,2100.0,"[Desserts, Breakfast and Brunch]",,"[all-purpose flour, sugar, coarse salt, whole milk, large eggs, unsalted butter]",crepes
Banana-Crepes-1172571,Banana Crepes,4,2100.0,[Breakfast and Brunch],,"[all-purpose flour, eggs, milk, sugar, butter, berries, maple syrup, bananas]",crepes
Choco-Banana-Crepe-608542,Choco Banana Crepe,3,2400.0,"[Desserts, Breakfast and Brunch]",,"[crepes, all-purpose flour, confectioners sugar, eggs, milk, butter, vanilla extract, salt, brown sugar, ground cinnamon, ground nutmeg, cream, bananas, heavy cream]",crepes
Souffled-Crepes-460555,Souffléd Crepes,5,,"[Breakfast and Brunch, Desserts]",[French],"[fromage blanc, granulated sugar, egg yolks, all-purpose flour, vanilla extract, orange, salt, crepes, egg whites, confectioners sugar]",crepes
Lemon-Crepes-Martha-Stewart,Lemon Crepes,3,1200.0,"[Desserts, Breakfast and Brunch]",[French],"[crepes, fromage blanc, grated lemon zest, honey, lemon wedge]",crepes
