id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Reese_s-Cupcakes-1351215,Reese's Cupcakes,4,5400.0,[Desserts],,"[cocoa powder, flour, baking powder, baking soda, salt, butter, sugar, eggs, vanilla, sour cream, chocolate, peanut butter, vegetable oil, brown sugar, buttermilk, vegetable shortening, cocoa, powdered sugar, cupcakes, buttercream frosting]",cupcake
S_mores-Cupcakes-1379848,S'mores Cupcakes,4,2700.0,[Desserts],,"[crumbs, sugar, melted butter, cupcakes, all-purpose flour, cocoa powder, baking powder, baking soda, salt, milk, canola oil, large eggs, vanilla, boiling water, marshmallow creme, milk chocolate, heavy cream, powdered sugar]",cupcake
Skeleton-Cupcakes-1332587,Skeleton Cupcakes,3,1200.0,[Desserts],,"[cupcakes, unsalted butter, shortening, confectioners sugar, vanilla extract, salt, M&M's Candy, black licorice, jelly beans, chocolate wafer]",cupcake
Ferrero-Rocher-Chocolate-Cupcake-1361921,Ferrero Rocher Chocolate Cupcake,4,2400.0,[Desserts],,"[cupcakes, flour, sugar, cocoa, baking soda, baking powder, salt, eggs, whole milk, oil, vanilla, boiling water, chocolate, frosting, unsalted butter, powdered sugar, Nutella, vanilla extract, heavy whipping cream]",cupcake
Red-Velvet-Cupcakes-1365608,Red Velvet Cupcakes,4,2400.0,"[Desserts, Afternoon Tea]",,"[unsalted butter, sugar, large eggs, vanilla extract, all-purpose flour, unsweetened cocoa powder, baking soda, baking powder, salt, milk, white vinegar, food colouring, cream cheese, powdered sugar]",cupcake
Best-Vanilla-Cupcakes-1368501,Best Vanilla Cupcakes,4,2400.0,[Desserts],,"[cake flour, sugar, salted butter, whole milk, eggs, baking powder, vanilla extract, icing]",cupcake
Snowball-Elf-Cupcakes-1363224,Snowball Elf Cupcakes,4,1800.0,[Desserts],,"[sugar, flour, cocoa, baking powder, baking soda, salt, eggs, milk, vegetable oil, vanilla extract, boiling water]",cupcake
Neapolitan-Cupcakes-1349754,Neapolitan Cupcakes,4,2700.0,"[Desserts, Afternoon Tea]",,"[cupcakes, flour, baking powder, butter, sugar, extra large eggs, vanilla extract, milk, unsweetened cocoa powder, frosting, cream cheese, unsalted butter, powdered sugar, jelli strawberri]",cupcake
Gingerbread-Cupcakes-1374080,Gingerbread Cupcakes,4,2700.0,[Desserts],,"[unsalted butter, dark brown sugar, eggs, milk, molasses, vanilla extract, all-purpose flour, baking powder, baking soda, salt, ground cinnamon, ground ginger, nutmeg, ground allspice, cream cheese, confectioners sugar, cream]",cupcake
_Nightlock_-Berry-Cupcakes-with-Berry-Frosting-1374971,"""Nightlock"" Berry Cupcakes with Berry Frosting",4,5160.0,[Desserts],,"[butter, vegetable oil, granulated sugar, vanilla extract, lemon extract, eggs, buttermilk, all-purpose flour, baking powder, baking soda, salt, blackberries, raspberries, powdered sugar, candy melts]",cupcake
Smore-Cupcakes-1032412,S’more Cupcakes,4,900.0,[Desserts],,"[cupcakes, chocolate frosting, marshmallows, honey, Hershey bars]",cupcake
Butterscotch-Cupcakes-1295084,Butterscotch Cupcakes,4,2700.0,[Desserts],,"[cupcakes, flour, butterscotch pudding, sugar, baking powder, salt, butterscotch chips, eggs, oil, milk, vanilla, frosting, butter, brown sugar, heavy cream, cinnamon, powdered sugar]",cupcake
Oreo-Cupcake-1349664,Oreo Cupcake,4,2400.0,[Desserts],,"[all-purpose flour, unsweetened cocoa powder, sugar, baking soda, baking powder, salt, eggs, canola oil, vanilla, milk, hot water, OREO® Cookies, shortening, powdered sugar, oreo cookie crumbs]",cupcake
Neapolitan-Cupcakes-with-Natural-Strawberry-Buttercream-1367881,Neapolitan Cupcakes with Natural Strawberry Buttercream,4,3900.0,[Desserts],,"[chocolate cake mix, white cake mix, butter, eggs, milk, strawberries, powdered sugar, vanilla]",cupcake
Poop-Emoji-Cupcakes-1365151,Poop Emoji Cupcakes,4,1200.0,[Desserts],,"[salted butter, heavy whipping cream, powdered sugar, chocolate malt, cocoa powder]",cupcake
Raspberry-Chocolate-Cupcakes-1352469,Raspberry Chocolate Cupcakes,4,3300.0,[Desserts],,"[cupcakes, flour, sugar, dark chocolate cocoa powder, baking soda, salt, large eggs, buttermilk, vegetable oil, vanilla, boiling water, icing, butter, shortening, powdered sugar, raspberries]",cupcake
Boozy-Bourbon-Chocolate-Cupcakes-1376611,Boozy Bourbon Chocolate Cupcakes,3,6300.0,[Desserts],,"[cupcakes, devil's food cake mix, water, vegetable oil, bourbon whiskey, eggs, vanilla, whipping cream, semisweet baking chocolate, butter, coffee liqueur, frosting, marshmallow creme, vanilla vodka, powdered sugar]",cupcake
Caramel-Apple-Cupcakes-1366585,Caramel Apple Cupcakes,4,3300.0,[Desserts],,"[cupcakes, flour, baking powder, salt, butter, sugar, vanilla extract, caramel extract, eggs, egg yolks, milk, apple pie filling, frosting, powdered sugar, half & half, caramel sauce]",cupcake
Tie-Dye-Fruity-Cupcakes-1380224,Tie Dye Fruity Cupcakes,4,2400.0,[Desserts],,"[white cake mix, lemon, lime, strawberries, vanilla frosting]",cupcake
Orange-Cranberry-Cupcakes-1378445,Orange Cranberry Cupcakes,4,3300.0,[Desserts],,"[dried cranberries, orange juice, cranberry juice, fresh cranberries, granulated sugar, brown sugar, orange, butter, eggs, vanilla extract, half & half, flour, salt, cinnamon, baking powder, baking soda, lemon juice, juice, powdered sugar]",cupcake
Churro-Cupcakes-1098863,Churro Cupcakes,4,2100.0,[Desserts],,"[vanilla cupcake, butter, all-purpose flour, salt, sugar, ground cinnamon]",cupcake
Double-Chocolate-Strawberry-Malt-Cupcakes-1369574,Double Chocolate Strawberry Malt Cupcakes,4,2400.0,[Desserts],,"[flour, sugar, cocoa, baking soda, baking powder, salt, eggs, whole milk, oil, vanilla, boiling water, mini chocolate chips]",cupcake
Reeses-Peanut-Butter-Cupcakes-1213793,Reese’s Peanut Butter Cupcakes,3,2100.0,[Desserts],,"[cupcakes, butter, creamy peanut butter, powdered sugar, vanilla, evaporated milk]",cupcake
Cherry-Pie-Cupcakes-1366069,Cherry Pie Cupcakes,4,2400.0,[Desserts],,"[french vanilla cake mix, cupcake mix, flour, cherry pie filling, eggs]",cupcake
Cherry-Cheesecake-Cupcakes-1380215,Cherry Cheesecake Cupcakes,4,2700.0,[Desserts],,"[graham cracker crumbs, butter, sugar, cream cheese, large eggs, lemon juice, vanilla, cherry pie filling]",cupcake
Smores-Cupcakes-792894,Smores Cupcakes,4,4200.0,[Desserts],,"[crust, graham cracker crumbs, butter, sugar, cupcakes, flour, dark chocolate cocoa powder, baking soda, salt, eggs, buttermilk, vegetable oil, vanilla, boiling water, frosting, cream of tartar, chocolate sauce]",cupcake
Harvest-Pumpkin-Cupcakes-with-a-Salted-Caramel-Frosting-1364558,Harvest Pumpkin Cupcakes with a Salted Caramel Frosting,4,2400.0,[Desserts],,"[spice cake mix, pumpkin, water, cream cheese, butter, caramel topping, vanilla, powdered sugar]",cupcake
Chocolate-Cupcakes-with-Chocolate-Buttercream-1363034,Chocolate Cupcakes with Chocolate Buttercream,4,2160.0,[Desserts],,"[cupcakes, butter, sugar, eggs, vanilla, all-purpose flour, cocoa powder, baking soda, buttermilk, chocolate frosting, salt, powdered sugar, heavy cream]",cupcake
White-Chocolate-Peppermint-Cupcakes-with-Hot-Chocolate-Frosting-1373434,White Chocolate Peppermint Cupcakes with Hot Chocolate Frosting,4,2280.0,[Desserts],,"[cake mix, 1% low-fat milk, vegetable oil, eggs, M&M's Candy, peppermint, butter, chocolate, powdered sugar]",cupcake
Snickerdoodle-Cupcakes-1103874,Snickerdoodle Cupcakes,4,2100.0,"[Desserts, Afternoon Tea]",,"[cupcakes, unsalted butter, large eggs, milk, vanilla extract, white sugar, all-purpose flour, baking powder, salt, cinnamon, frosting, powdered sugar, heavy whipping cream, brown sugar]",cupcake
Blood-Rose-Cupcakes-1358754,Blood Rose Cupcakes,3,3300.0,[Desserts],,"[cupcakes, devil's food cake mix, cherry juice, vegetable oil, large eggs, cherry extract, food colouring, edible glitter, butter, butter flavor shortening, unsweetened cocoa powder, powdered sugar, heavy cream, hot fudge topping]",cupcake
Rolo-Cupcakes-983322,Rolo Cupcakes,4,3900.0,[Desserts],,"[cupcakes, butter, sugar, eggs, vanilla, buttermilk, all-purpose flour, cocoa powder, baking soda, baking powder, salt, dark chocolate, caramels, heavy cream, chocolate frosting, unsweetened cocoa powder, milk, vanilla extract, powdered sugar, Rolo Caramels]",cupcake
Pistachio-Cupcakes-1379571,Pistachio Cupcakes,4,2400.0,[Desserts],,"[white cake mix, pudding powder, avocado, butter, powdered sugar, pistachios, heavy cream, shelled pistachios]",cupcake
Mojito-Cupcakes-1272801,Mojito Cupcakes,4,3300.0,[Desserts],,"[vanilla cupcake, flour, baking powder, salt, softened butter, sugar, eggs, vanilla, milk, glaze, lime juice, brown rum, mint leaves, frosting, confectioners sugar, rum, lime zest]",cupcake
Death-by-Chocolate-Cupcakes-1358339,Death by Chocolate Cupcakes,4,3900.0,[Desserts],,"[cupcakes, butter, sugar, semi-sweet chocolate morsels, eggs, egg yolks, vegetable oil, vanilla extract, sour cream, flour, salt, baking soda, cocoa powder, frosting, cocoa, half & half, powdered sugar, chocolate sauce]",cupcake
Lemon-Curd-Coconut-Cupcakes-1377268,Lemon Curd Coconut Cupcakes,4,7200.0,[Desserts],,"[coconut flour, baking powder, honey, coconut oil, eggs, egg whites, pure vanilla extract, egg yolks, lemon zest, lemon juice]",cupcake
Banoffee-Cupcakes-1008199,Banoffee Cupcakes,4,3000.0,[Desserts],,"[cupcakes, all-purpose flour, sugar, baking soda, baking powder, salted butter, egg whites, eggs, vanilla extract, bananas, milk, icing, butter, shortening, powdered sugar, dulce de leche, water, banana chips]",cupcake
Cotton-Candy-Cupcakes-1351065,Cotton Candy Cupcakes,4,2400.0,[Desserts],,"[cupcakes, all-purpose flour, sugar, baking soda, baking powder, egg whites, extract, sour cream, milk, salted butter, icing, butter, shortening, powdered sugar, water, candy]",cupcake
Watermelon-Cupcakes-1118805,Watermelon Cupcakes,4,3000.0,[Desserts],,"[cupcakes, cake, eggs, butter, oil, milk, mini chocolate chips, food colouring, non stick spray, buttercream frosting, powdered sugar, vanilla extract, heavy whipping cream, salt]",cupcake
Bleeding-Eyes-Cupcakes-1354641,Bleeding Eyes Cupcakes,4,4200.0,[Desserts],,"[flour, sugar, salt, baking soda, baking powder, unsalted butter, egg whites, vanilla, sour cream, whole milk, salted butter, powdered sugar, heavy cream, vanilla extract, blood, candy]",cupcake
Cheesecake-Cupcakes-1367085,Cheesecake Cupcakes,4,2100.0,[Desserts],,"[crumbs, butter, full fat cream cheese, sugar, large eggs, pure vanilla extract, lemon, lemon juice, sour cream, frozen strawberries]",cupcake
Unicorn-Cupcakes-1334251,Unicorn Cupcakes,4,1800.0,[Desserts],,"[cupcakes, white frostings, ice cream cones, fruit punch, frosting, candy melts]",cupcake
Mini-Mummy-Chocolate-Cupcakes-1362936,Mini Mummy Chocolate Cupcakes,4,2700.0,[Desserts],,"[all-purpose flour, sugar, brown sugar, baking soda, baking powder, salt, cocoa powder, milk, vegetable oil, vanilla extract, eggs, cupcakes, heavy whipping cream, powdered sugar, butter, mini candy button eyes, icing]",cupcake
Ghost-Cupcakes-1350158,Ghost Cupcakes,4,1800.0,[Desserts],,"[fondant, corn starch, cupcakes, lollipop, black decorating gel]",cupcake
Ghost-Cupcakes-1268207,Ghost Cupcakes,4,900.0,[Desserts],,"[cupcakes, vanilla frosting, black icing]",cupcake
Elvis-Breakfast-Cupcakes-1364762,Elvis Breakfast Cupcakes,4,2400.0,[Breakfast and Brunch],,"[butter, brown sugar, large eggs, vanilla extract, bananas, flour, baking soda, salt, peanut butter, bacon]",cupcake
Dirt-Cupcakes-1305780,Dirt Cupcakes,4,600.0,[Desserts],,"[cupcakes, chocolate frosting, OREO® Cookies, gummy worms]",cupcake
Chocolate-Butterfinger-Cupcakes-1380495,Chocolate Butterfinger Cupcakes,4,2700.0,[Desserts],,"[swiss chocolate cake mix, half & half, canola oil, eggs, butterfinger, chocolate frosting, mellowcreme pumpkins]",cupcake
Christmas-Tree-Cupcakes-1367727,Christmas Tree Cupcakes,4,3300.0,[Desserts],,"[waffle cones, Truvía® natural sweetener, buttercream frosting, food colouring, sweetened coconut flakes, cupcakes]",cupcake
Caramel-Apple-Cupcakes-1300242,Caramel Apple Cupcakes,4,2700.0,[Desserts],,"[cupcakes, all-purpose flour, brown sugar, sugar, baking soda, baking powder, cinnamon, nutmeg, egg whites, vanilla extract, sour cream, milk, salted butter, apples, buttercream frosting, butter, shortening, powdered sugar, caramel sauce]",cupcake
Eggnog-Cupcakes-899673,Eggnog Cupcakes,4,3000.0,[Desserts],,"[cupcakes, all-purpose flour, sugar, baking powder, butter, egg whites, vanilla extract, nutmeg, eggnog, milk, icing, shortening, powdered sugar, rum extract]",cupcake
Oreo-Cupcakes-1315953,Oreo Cupcakes,4,2400.0,[Desserts],,"[chocolate, cacao powder, coffee, flour, sugar, baking powder, melted butter, eggs, vanilla, buttercream frosting, OREO® Cookies]",cupcake
Funnel-Cake-Cupcakes-608551,Funnel Cake Cupcakes,3,3000.0,[Desserts],,"[cupcakes, salted butter, sugar, eggs, cinnamon, baking powder, cake flour, vanilla, sour cream, whole milk, frosting, heavy cream, powdered sugar, cake, salt, all-purpose flour, white sugar, milk, vegetable oil]",cupcake
Snoball-Cupcakes-1095619,Snoball Cupcakes,4,5400.0,[Desserts],,"[cupcakes, granulated sugar, all-purpose flour, Dutch-processed cocoa powder, baking powder, baking soda, salt, large eggs, milk, vegetable oil, vanilla extract, boiling water, salted butter, heavy whipping cream, marshmallow creme, powdered sugar, frosting, large egg whites, sweetened coconut flakes, corn starch, pink food coloring]",cupcake
Cupcake-milkshakes-368535,Cupcake Milkshakes,5,900.0,[Beverages],,"[cupcakes, ice cream, cold milk, sprinkles, ice cream cones, heavy cream]",cupcake
Homemade-funfetti-cupcakes-333621,Homemade Funfetti Cupcakes,5,2700.0,[Desserts],,"[butter, sugar, eggs, vanilla extract, flour, baking powder, milk, sprinkles, powdered sugar]",cupcake
Carrot_-Coconut-_-Spelt-Cupcakes-1334482,"Carrot, Coconut & Spelt Cupcakes",4,3300.0,[Desserts],,"[sunflower oil, spelt flour, muscovado sugar, large eggs, orange zest, ground cinnamon, ground ginger, ground nutmeg, baking powder, bicarbonate of soda, salt, vanilla extract, carrots, pecans, raisins, dry coconut, buttermilk, mascarpone, icing, double cream, toasted coconut]",cupcake
Strawberry-cupcakes-345383,Strawberry Cupcakes,5,4200.0,[Desserts],,"[coconut flour, arrowroot powder, sea salt, baking soda, large eggs, agave nectar, vanilla extract, strawberries]",cupcake
Coca-Cola-Cupcakes-1376078,Coca-Cola Cupcakes,4,3300.0,[Desserts],,"[coca-cola, milk, vegetable oil, pure vanilla extract, large eggs, sour cream, unsweetened cocoa powder, sugar, all-purpose flour, baking soda, unsalted butter, powdered sugar, cherry juice, bittersweet chocolate, heavy whipping cream, honey, cocktail cherries]",cupcake
Fluffy-Coconut-Cupcakes-1366409,Fluffy Coconut Cupcakes,3,2400.0,[Desserts],,"[all-purpose flour, sugar, baking powder, baking soda, salt, coconut milk, canola oil, vanilla extract, apple cider vinegar, coconut oil, powdered sugar, pure vanilla extract, shredded coconut]",cupcake
Copycat-Sprinkles-Red-Velvet-Cupcakes-1377798,Copycat Sprinkles Red Velvet Cupcakes,3,2700.0,[Desserts],,"[all-purpose flour, baking soda, eggs, salted butter, granulated sugar, red food coloring, cocoa powder, vanilla extract, whole milk, white vinegar, cream cheese, powdered sugar]",cupcake
Chocolate-Cupcakes-1315515,Chocolate Cupcakes,4,3000.0,[Desserts],,"[eggs, flour, sugar, chocolate, butter]",cupcake
Lavender-Cupcakes-1345252,Lavender Cupcakes,4,2400.0,[Desserts],,"[milk, olive oil, butter, eggs, vanilla extract, dried lavender, sugar, flour, baking powder, baking soda, salt, powdered sugar, honey, extract, food colouring]",cupcake
Chinese-Paper-Wrapped-Cupcakes--1361927,Chinese Paper Wrapped Cupcakes 紙包蛋糕,4,2700.0,[Desserts],,"[egg whites, powdered sugar, egg yolks, eggs, corn oil, self rising flour, cupcakes]",cupcake
Apple-Cider-Donut-Cupcakes-1355172,Apple Cider Donut Cupcakes,4,1500.0,[Desserts],,"[flour, sugar, butter, apple cider, baking powder, cinnamon, nutmeg, eggs, yolk, vanilla, vanilla frosting]",cupcake
Fresh-Strawberry-Cupcakes-1221856,Fresh Strawberry Cupcakes,4,2400.0,[Desserts],,"[cupcakes, flour, sugar, baking soda, baking powder, salted butter, eggs, vanilla, sour cream, milk, strawberries, icing, shortening, powdered sugar, strawberry purée, water, butter]",cupcake
