id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Glazed-Donuts-1164520,Glazed Donuts,4,5400.0,[Breads],,"[doughnuts, whole milk, yeast, luke warm water, caster sugar, large eggs, egg whites, unsalted butter, salt, all-purpose flour, vegetable oil, glaze, butter, confectioners sugar, vanilla extract, hot water]"
Healthier-Baked-Maple-Donuts-1366840,Healthier Baked Maple Donuts,4,1500.0,,,"[whole wheat white flour, maple sugar, baking powder, baking soda, salt, cinnamon, nutmeg, large eggs, vanilla, whole milk, extra-virgin olive oil, vanilla extract, unsalted butter, vanilla powder, half & half]"
Snickerdoodle-Donuts-1212288,Snickerdoodle Donuts,4,1500.0,[Breads],,"[all-purpose flour, light brown sugar, baking soda, baking powder, salt, eggs, nonfat yogurt, vegetable oil, whole milk, vanilla extract, granulated sugar, ground cinnamon, butter, doughnuts]"
Funfetti-Donuts-1334822,Funfetti Donuts,4,2100.0,"[Desserts, Afternoon Tea]",,"[all-purpose flour, baking powder, baking soda, ground nutmeg, salt, granulated sugar, whole milk, greek yogurt, large eggs, unsalted butter, vanilla, rainbow sprinkles, milk, confectioners sugar, sprinkles]"
Baked-Donuts-902560,Baked Donuts,4,2700.0,[Afternoon Tea],,"[all-purpose flour, baking powder, baking soda, salt, ground nutmeg, buttermilk, milk, unsalted butter, sugar, eggs, glaze, cinnamon sugar, confectioners sugar, whole milk, granulated sugar, ground cinnamon]"
Samoa-Donuts-1025668,Samoa Donuts,4,2100.0,[Desserts],,"[doughnuts, all-purpose flour, corn starch, baking powder, baking soda, ground nutmeg, granulated sugar, milk, sour cream, large eggs, unsalted butter, vanilla extract, cookies, caramels, sweetened coconut flakes, salt, chocolate melting wafers]"
Easy-Homemade-Glazed-Donuts-1217703,Easy Homemade Glazed Donuts,3,10200.0,,,"[dough, all-purpose flour, active dry yeast, warm water, whole milk, vegetable shortening, salt, granulated sugar, large eggs, canola oil, glaze, powdered sugar, vanilla, sauce, doughnuts, cooking spray]"
Fall-Donut-Party_-1363454,Fall Donut Party!,4,3000.0,[Desserts],,"[sugar, yolk, large eggs, low-fat buttermilk, vegetable oil, vanilla extract, all-purpose flour, baking soda, baking powder, salt, doughnuts, fresh cranberries, water, granulated sugar, powdered sugar, heavy cream, orange zest, pure maple syrup, dark molasses, sea salt, cinnamon, pumpkin purée, cream cheese, eggnog, vanilla bean paste, gingersnap cookies, dark chocolate]"
Vermont-Apple-Cider-Donuts-1380326,Vermont Apple Cider Donuts,3,3900.0,"[Desserts, Breakfast and Brunch]",,"[granulated sugar, unsalted butter, large eggs, all-purpose flour, table salt, baking powder, baking soda, ground cinnamon, grated nutmeg, low-fat buttermilk, apple cider, vanilla extract, canola oil]"
Baked-Funfetti-Cake-Donuts-1049455,Baked Funfetti Cake Donuts,4,1320.0,[Desserts],,"[doughnuts, all-purpose flour, baking powder, ground nutmeg, cinnamon, granulated sugar, milk, plain yogurt, large eggs, butter, vanilla extract, rainbow sprinkles, frosting, powdered sugar, heavy whipping cream, sprinkles]"
Glazed-Doughnut-Muffins-1361524,Glazed Doughnut Muffins,3,3000.0,[Breads],,"[butter, vegetable oil, granulated sugar, brown sugar, large eggs, baking powder, baking soda, ground nutmeg, cinnamon, salt, vanilla extract, all-purpose flour, milk, confectioners sugar, vanilla, hot water]"
Baked-Strawberry-Donuts-1066707,Baked Strawberry Donuts,4,1920.0,[Afternoon Tea],,"[doughnuts, all-purpose flour, sugar, baking powder, greek yogurt, milk, eggs, vanilla extract, unsalted butter, glaze, strawberries, strawberry jam, confectioners sugar]"
Mini-Donuts-458803,Mini Donuts,5,1200.0,,,"[all-purpose flour, baking powder, baking soda, salt, grated nutmeg, buttermilk, whole milk, unsalted butter, granulated sugar, eggs, ground cinnamon, confectioners sugar]"
Connor_s-Donuts-1065063,Connor's Donuts,4,10920.0,,,"[doughnuts, active dry yeast, warm water, mashed potatoes, sugar, shortening, eggs, salt, all-purpose flour, vegetable oil, chocolate icing, butter, coca-cola, cocoa powder, vanilla, powdered sugar, vanilla glaze, milk]"
Glazed-Blueberry-Cake-Donuts-1377925,Glazed Blueberry Cake Donuts,3,1800.0,[Desserts],,"[all-purpose flour, granulated sugar, baking powder, cinnamon, nutmeg, salt, unsalted butter, buttermilk, eggs, vanilla extract, fresh blueberries, oil, confectioners sugar, lemon juice]"
Baked-Mini-Pumpkin-Donuts-with-Brown-Butter-Glaze-1341564,Baked Mini Pumpkin Donuts with Brown Butter Glaze,4,2100.0,[Desserts],,"[sunflower oil, large eggs, granulated sugar, pumpkin purée, mixed spice, vanilla extract, salt, baking powder, all-purpose flour, cinnamon, ground ginger, ground nutmeg, allspice, clove, unsalted butter, powdered sugar, whole milk]"
Homemade-Glazed-Donuts-1042188,Homemade Glazed Donuts,4,3300.0,[Breads],,"[dry yeast, water, milk, shortening, salt, sugar, nutmeg, cinnamon, eggs, flour, glaze, powdered sugar, vanilla]"
Baked-Cereal-and-Milk-Donuts-1363160,Baked Cereal and Milk Donuts,4,1020.0,"[Breakfast and Brunch, Afternoon Tea]",,"[all-purpose flour, corn starch, granulated sugar, baking powder, salt, nutmeg, buttermilk, large eggs, unsalted butter, vanilla extract, powdered sugar, heavy cream, cereal]"
Chocolate-Glazed-Donuts-1273820,Chocolate Glazed Donuts,4,2100.0,[Desserts],,"[all-purpose flour, granulated sugar, unsweetened cocoa powder, baking powder, baking soda, salt, milk, eggs, vanilla extract, butter, doughnuts, cocoa powder, powdered sugar]"
S_mores-Baked-Donuts-1326206,S'mores Baked Donuts,3,900.0,[Desserts],,"[all-purpose flour, unsweetened cocoa powder, baking powder, baking soda, ground nutmeg, salt, butter, plain yogurt, vanilla extract, large eggs, granulated sugar, light brown sugar, Marshmallow Fluff, graham cracker crumbs, doughnuts]"
Mini-Old-Fashioned-Donuts-770366,Mini Old Fashioned Donuts,4,2100.0,,,"[all-purpose flour, granulated sugar, light brown sugar, baking powder, salt, ground nutmeg, ground cinnamon, unsalted butter, large eggs, whole milk, heavy cream, vanilla bean paste]"
Glazed-Eggnog-Donut-Muffins-1376324,Glazed Eggnog Donut Muffins,4,2100.0,[Breads],,"[butter, canola oil, granulated sugar, brown sugar, eggs, baking powder, baking soda, nutmeg, cinnamon, salt, rum extract, all-purpose flour, eggnog, powdered sugar, vanilla, hot water]"
Apple-Cider-Donut-Balls-1356505,Apple Cider Donut Balls,4,3600.0,[Desserts],,"[apple cider, granulated sugar, cinnamon, all-purpose flour, salt, baking powder, baking soda, nutmeg, sugar, unsalted butter, large eggs, buttermilk, syrup, vanilla]"
Donut-Hole-Cookies-Once-Upon-A-Chef-200034,Donut Hole Cookies,5,2400.0,[Desserts],,"[all-purpose flour, ground nutmeg, baking powder, salt, unsalted butter, sugar, large eggs, vanilla extract, cinnamon]"
Triple-Stack-Donut-Cake-1380252,Triple Stack Donut Cake,4,3600.0,"[Afternoon Tea, Desserts]",,"[unsalted butter, sugar, eggs, vanilla extract, all-purpose flour, baking powder, salt, whole milk, confectioners sugar, heavy cream, food gel, lime, rainbow sprinkles]"
Apple-Cider-Donut-Cake-1301273,Apple Cider Donut Cake,4,,,,"[unsalted butter, granny smith apples, apple cider, milk, all-purpose flour, baking powder, baking soda, salt, ground nutmeg, ground cloves, ground cinnamon, sugar, light brown sugar, large eggs, coconut oil, vanilla bean paste, granulated sugar]"
Glazed-Chocolate-Donuts-1362998,Glazed Chocolate Donuts,4,,,,"[butter, vanilla, brown sugar, sugar, large eggs, sour cream, buttermilk, baking powder, baking soda, cocoa powder, all-purpose flour, powdered sugar, milk, vanilla extract]"
Glazed-Chocolate-Donut-Muffins-1053861,Glazed Chocolate Donut Muffins,4,2100.0,[Breads],,"[doughnuts, vegetable oil, granulated sugar, light brown sugar, large eggs, all-purpose flour, unsweetened cocoa powder, baking powder, baking soda, salt, vanilla extract, milk, unsalted butter, corn syrup, powdered sugar]"
Homemade-glazed-doughnuts-302411,Homemade Glazed Doughnuts,5,1620.0,"[Breakfast and Brunch, Breads]",[American],"[whole milk, sugar, active dry yeast, large eggs, unsalted butter, all-purpose flour, salt, shortening, powdered sugar, vanilla, cold water]"
Glazed-Yeast-Donuts-780682,Glazed Yeast Donuts,4,11700.0,,,"[milk, active dry yeast, unsalted butter, sugar, kosher salt, large eggs, all-purpose flour, frying oil, powdered sugar, vanilla extract]"
Baked-Pumpkin-Donuts-with-Brown-Butter-Glaze-1334200,Baked Pumpkin Donuts with Brown Butter Glaze,4,2700.0,[Desserts],,"[vegetable oil, large eggs, sugar, pumpkin purée, cinnamon, nutmeg, ground ginger, salt, baking powder, all-purpose flour, unsalted butter, powdered sugar, vanilla, milk]"
Coffee-Cake-Donuts-1181453,Coffee Cake Donuts,4,3000.0,"[Afternoon Tea, Breads]",,"[unsalted butter, light brown sugar, all-purpose flour, ground cinnamon, baking powder, salt, granulated sugar, eggs, milk, vanilla extract, confectioners sugar]"
Baked-French-Breakfast-Donuts-530845,Baked French Breakfast Donuts,5,2700.0,[Breakfast and Brunch],,"[unsalted butter, sugar, eggs, flour, baking powder, salt, nutmeg, milk, cinnamon]"
Baked-Chocolate-Donuts-470689,Baked Chocolate Donuts,4,2400.0,[Desserts],,"[all-purpose flour, sugar, unsweetened cocoa powder, baking powder, baking soda, salt, milk, large eggs, vanilla extract, unsalted butter, bittersweet chocolate, half & half, confectioners sugar]"
Caramel-Apple-Baked-Donuts-1346190,Caramel Apple Baked Donuts,4,480.0,[Desserts],,"[doughnuts, flour, sugar, baking powder, nutmeg, cinnamon, salt, buttermilk, beaten eggs, melted butter, apples, Kraft Caramels, milk, chopped nuts]"
Baked-Cinnamon-Sugar-Donuts-1333640,Baked Cinnamon Sugar Donuts,4,1080.0,[Afternoon Tea],,"[all-purpose flour, granulated sugar, baking powder, salt, cinnamon, nutmeg, skim milk, unsalted butter, eggs, vanilla extract]"
Caramel-Apple-Donuts-1380329,Caramel Apple Donuts,4,2400.0,[Desserts],,"[all-purpose flour, granulated sugar, baking powder, salt, cinnamon, milk, large eggs, oil, granny smith apples, butter, brown sugar]"
Baked-Rainbow-Donuts-1031680,Baked Rainbow Donuts,4,2400.0,[Desserts],,"[plain flour, baking powder, bicarbonate of soda, ground nutmeg, caster sugar, milk, natural yogurt, large eggs, melted butter, vanilla extract, food colouring, powdered sugar, vanilla, sprinkles]"
Baked-Donuts-517428,Baked Donuts,4,,,,"[milk, vanilla yogurt, canola oil, eggs, vanilla extract, sugar, flour, baking powder, salt, nutmeg, confectioners sugar, cocoa, sprinkles, doughnuts]"
Mexican-Chocolate-Donuts-1320166,Mexican Chocolate Donuts,4,3000.0,[Desserts],,"[flour, cocoa powder, light brown sugar, cinnamon, nutmeg, clove, cayenne, baking soda, baking powder, salt, eggs, milk, vegetable oil, vinegar, vanilla extract, doughnuts, bittersweet chocolate, butter, corn syrup, powdered sugar, heavy cream, chocolate]"
Glazed-Chocolate-Donuts-1363002,Glazed Chocolate Donuts,4,,,,"[butter, vanilla, brown sugar, sugar, large eggs, sour cream, buttermilk, baking powder, baking soda, cocoa powder, all-purpose flour, powdered sugar, milk, vanilla extract]"
Buttermilk-Vanilla-Glazed-Croissant-Donuts-996193,Buttermilk-Vanilla Glazed Croissant Donuts,4,6300.0,[Breads],,"[milk, active dry yeast, sugar, large eggs, vanilla bean paste, all-purpose flour, salt, butter, oil, powdered sugar, buttermilk]"
Chunky-Monkey-Donuts-622513,Chunky Monkey Donuts,3,3900.0,[Desserts],,"[doughnuts, all-purpose flour, whole wheat pastry flour, baking powder, fine sea salt, baking soda, cane sugar, cinnamon, ground nutmeg, organic coconut oil, bananas, coconut milk, vinegar, pure vanilla extract, chocolate glaze, powdered sugar, cocoa, non dairy milk, toasted walnuts, chocolate sprinkles]"
Doughnut-muffins-345225,Doughnut Muffins,5,3600.0,[Breads],,"[unsalted butter, sugar, large eggs, all-purpose flour, baking powder, baking soda, salt, ground nutmeg, whole milk, buttermilk, granulated sugar, cinnamon]"
Mini-Samoa-Donuts-1015603,Mini Samoa Donuts,4,1800.0,[Desserts],,"[all-purpose flour, sugar, corn starch, baking powder, salt, milk, white vinegar, unsalted butter, large eggs, salted caramels, coconut flakes, semi-sweet chocolate morsels]"
Cinnamon-Toast-Crunch-Donuts-1325383,Cinnamon Toast Crunch Donuts,4,2400.0,"[Breakfast and Brunch, Afternoon Tea]",,"[all-purpose flour, baking powder, baking soda, salt, unsalted butter, granulated sugar, brown sugar, large eggs, buttermilk, greek yogurt, vanilla extract, Cinnamon Toast Crunch Cereal, dark brown sugar, ground cinnamon, cocoa powder, powdered sugar, milk]"
Cinnamon-_-Sugar-Donut-1344244,Cinnamon & Sugar Donut,4,900.0,[Breakfast and Brunch],,"[doughnuts, flour, sugar, baking powder, ground cinnamon, salt, vanilla, milk, eggs, oil, cinnamon sugar, butter, mild sausage, biscuits, pepper]"
Baked-Pistachio-Pudding-Donuts-1355635,Baked Pistachio Pudding Donuts,4,2400.0,[Desserts],,"[all-purpose flour, granulated sugar, pudding powder, baking powder, baking soda, kosher salt, buttermilk, large eggs, canola oil, almond extract, pistachios, powdered sugar, honey, milk]"
Jelly-Filled-Donut-Muffins-1123470,Jelly-Filled Donut Muffins,4,2700.0,"[Afternoon Tea, Breads]",,"[unsalted butter, granulated sugar, large eggs, vanilla, Gold Medal® All-Purpose Flour, baking powder, buttermilk, fruit jelly, glaze, powdered sugar]"
Mini-Donuts-579121,Mini Donuts,4,1500.0,[Desserts],,"[all-purpose flour, milk, oil, baking powder, sugar, unsalted butter, vanilla sugar]"
making-doughnuts-with-the-Babycakes-Donut-Maker-1295482,making doughnuts with the Babycakes Donut Maker,4,1500.0,[Breads],,"[all-purpose flour, sugar, baking powder, salt, half & half, large eggs, vanilla extract, vegetable oil]"
Baked-Mini-Donut-Muffins-1375621,Baked Mini Donut Muffins,4,1500.0,[Breads],,"[muffin, butter, granulated sugar, nutmeg, milk, baking powder, all-purpose flour, cinnamon]"
Delta-Cream-Doughnuts-1377929,Delta Cream Doughnuts,4,2700.0,[Breads],,"[warm water, active dry yeast, whole milk, vegetable shortening, sugar, salt, all purpose unbleached flour, large eggs, nutmeg, confectioners sugar, water, vanilla extract, vegetable oil]"
Apple-Cider-Donut-Cupcakes-1355172,Apple Cider Donut Cupcakes,4,1500.0,[Desserts],,"[flour, sugar, butter, apple cider, baking powder, cinnamon, nutmeg, eggs, yolk, vanilla, vanilla frosting]"
Old-Fashioned-Buttermilk-Donuts-1237059,Old Fashioned Buttermilk Donuts,4,6300.0,,,"[all-purpose flour, sugar, baking powder, baking soda, salt, ground nutmeg, buttermilk, unsalted butter, egg yolks, large eggs, vegetable oil, glaze, powdered sugar, vanilla extract, water]"
Glazed-blueberry-cake-donuts-333237,Glazed Blueberry Cake Donuts,5,3000.0,[Desserts],,"[all-purpose flour, granulated sugar, baking powder, cinnamon, nutmeg, salt, unsalted butter, low-fat milk, eggs, vanilla extract, fresh blueberries, oil, powdered sugar, water]"
Pumpkin-Streusel-Donuts-1378490,Pumpkin Streusel Donuts,4,2400.0,[Desserts],,"[spice cake mix, pumpkin purée, eggs, butter, brown sugar, all-purpose flour, cinnamon, ground nutmeg, ground ginger, powdered sugar, milk]"
Donuts-531422,Donuts,4,3300.0,[Desserts],,"[flour, eggs, butter, sugar, ground nutmeg, ground cinnamon, baking powder, milk, vegetable oil]"
New-England-Cinnamon-Sugar-Cider-Donuts-1380692,New England Cinnamon Sugar-Cider Donuts,3,,,,"[all-purpose flour, whole wheat graham flour, ground cinnamon, baking powder, baking soda, kosher salt, unsalted butter, sugar, egg yolks, vanilla extract, apple cider, buttermilk, canola oil]"
Pumpkin-Nutella-Donut-Muffins-1342732,Pumpkin Nutella Donut Muffins,4,2400.0,[Breads],,"[all-purpose flour, baking powder, baking soda, ground cinnamon, pumpkin pie spice, salt, large eggs, unsalted butter, brown sugar, granulated sugar, milk, pumpkin purée, vanilla extract, Nutella]"
Chocolate-Donut-Holes-_Munchkins_-1354813,Chocolate Donut Holes (Munchkins),3,3900.0,[Desserts],,"[unsalted butter, unsweetened chocolate, all-purpose flour, granulated sugar, Dutch-processed cocoa powder, baking powder, baking soda, kosher salt, buttermilk, pure vanilla extract, large eggs, vegetable oil, confectioners sugar, milk, water]"
Dirt-Bombs-_Doughnut-Muffins_-1286742,Dirt Bombs (Doughnut Muffins),4,3300.0,[Breads],,"[vegetable oil spray, all-purpose flour, baking powder, salt, ground nutmeg, unsalted butter, sugar, large eggs, whole milk, ground cinnamon]"
Glazed-Pumpkin-Donuts-1330865,Glazed Pumpkin Donuts,4,1680.0,,,"[pumpkin, ground cinnamon, clove, light brown sugar, vegetable oil, large eggs, all-purpose flour, baking powder, baking soda, salt, glaze, powdered sugar, warm water, vanilla extract]"
Snickerdoodle-Donuts-975624,Snickerdoodle Donuts,4,2400.0,[Desserts],,"[whole wheat flour, cinnamon, baking powder, sugar, large eggs, milk, unsalted butter, vanilla extract, white chocolate]"
