id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Chicken-and-Dumplings-1366305,Chicken and Dumplings,4,9000.0,[Main Dishes],,"[chicken, celery, carrots, potatoes, onions, corn, peas, chicken stock, olive oil, flour, sage, kosher salt, pepper, dumplings, baking powder, salt, butter, eggs, buttermilk]",dumpling
Italian-Dumplings-1363892,Italian Dumplings,4,2700.0,[Main Dishes],[Italian],"[dumplings, pasta sauce, mozzarella cheese, parmesan cheese, ricotta cheese]",dumpling
Mamaw_s-Chicken-and-Dumplings-1361814,Mamaw's Chicken and Dumplings,4,4560.0,[Main Dishes],,"[boiler, onions, bay leaves, salt, fresh rosemary, chicken bouillon, ground pepper, dried thyme, dumplings]",dumpling
DUMPLINGS-1347150,DUMPLINGS,3,2400.0,,,"[all-purpose flour, chopped parsley, baking powder, salt, milk]",dumpling
Trisha-Yearwood-Apple-Dumplings-1369061,Trisha Yearwood Apple Dumplings,4,3900.0,[Desserts],,"[granny smith apples, lemon, sugar, butter, vanilla extract, buttermilk biscuits, ground cinnamon]",dumpling
Steamed-Sew-Mai-Dumplings-1373335,Steamed Sew Mai Dumplings,4,3600.0,[Appetizers],[Asian],"[fresh mushrooms, ground pork, shrimp, salt, sugar, sesame oil, peanut oil, soy sauce, oyster sauce, pepper, won ton wrappers, eggs, flour, fish sauce, rice vinegar, Sriracha, green onions]",dumpling
Chicken-and-Dumplings-from-scratch-1364293,Chicken and Dumplings – from scratch,4,4800.0,[Main Dishes],,"[chicken, water, carrots, celery, onions, flour, baking powder, salt, butter, whole milk, chicken broth, cooked chicken]",dumpling
Turkey-and-Dumplings-1378002,Turkey and Dumplings,4,2700.0,,,"[chicken stock, water, turkey, cajun seasoning, milk, bisquick]",dumpling
Chicken-And-Dumplings-With-Einkorn-Biscuits-1375220,Chicken And Dumplings With Einkorn Biscuits,3,4800.0,[Main Dishes],,"[boneless chicken skinless thigh, salt, pepper, olive oil, bacon, carrots, celery, onions, dried parsley, dried thyme, dried oregano, garlic, bay leaves, chicken bouillon, low sodium chicken broth, flour, peas, baking powder, butter, milk]",dumpling
Shrimp-Dumplings-with-Lemongrass-630381,Shrimp Dumplings with Lemongrass,3,3300.0,[Appetizers],,"[white sesame seeds, large shrimp, minced garlic, corn starch, sugar, salt, dumpling wrappers]",dumpling
Turkey-and-Herbed-Dumplings-1380425,Turkey and Herbed Dumplings,4,2100.0,[Main Dishes],,"[butter, all-purpose flour, chicken stock, cooked turkey, onions, celery, potatoes, carrots, peas, poultry seasoning, onion powder, garlic powder, salt and ground black pepper, baking powder, salt, herbs, milk]",dumpling
