id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Classic-Fish-and-Chips-1094128,Classic Fish and Chips,4,3600.0,,,"[fish, salt, oil, yukon gold potatoes, self rising flour, vegetable oil, beer]"
Classic-Fish-And-Chips-Allrecipes,Classic Fish and Chips,4,2700.0,[Main Dishes],,"[potatoes, all-purpose flour, baking powder, salt, ground black pepper, milk, eggs, vegetable oil, cod fillets]"
Beer-Battered-Fish-and-Chips-484809,Beer Battered Fish and Chips,4,3000.0,[Main Dishes],[Irish],"[vegetable oil, baking potatoes, beer, all-purpose flour, cod fillets, kosher salt, black pepper, garlic powder]"
Fish-and-chips_-357942,Fish and Chips!,5,4500.0,[Main Dishes],,"[russet potatoes, kosher salt, canola oil, beer, flour, old bay seasoning, cayenne pepper, cod fillets, malt vinegar]"
Fish-and-chips-348079,Fish and Chips,0,,"[Lunch and Snacks, Main Dishes]","[English, Irish]","[vegetable oil, russet potatoes, beer, all-purpose flour, cod fillets, freshly ground pepper, chili powder, old bay seasoning, malt vinegar]"
Pub-Style-Beer-Battered-Fish-_-Chips-1346443,Pub Style Beer Battered Fish & Chips,4,2100.0,[Main Dishes],,"[cod fillets, yukon gold potatoes, peanut oil, flour, large eggs, milk, beer, malt vinegar, sea salt, cocktail sauce, pepper, lemon wedge, tartar sauce]"
Crunchy-Beer-Battered-Fish-_-Chips-1280249,Crunchy Beer Battered Fish & Chips,3,3300.0,[Main Dishes],,"[beer, flour, cod fillets, salt, black pepper, garlic powder, baking potatoes, vegetables, sea salt, malt vinegar]"
Fish-and-Chips-762797,Fish and Chips,4,1800.0,[Main Dishes],,"[potatoes, cod, flour, corn starch, paprika, onion powder, vegetable oil, baking powder, beer]"
Potato-Chip-Crusted-Fish-1362083,Potato Chip Crusted Fish,4,1020.0,[Main Dishes],,"[tilapia, potato chips, all-purpose flour, salt, cayenne pepper, black pepper, eggs, fresh parsley]"
Marcus_s-Fish-and-Chips-Martha-Stewart-225836,Marcus's Fish and Chips,3,3600.0,[Main Dishes],,"[canola oil, fresh dill, beer, soy sauce, juice, coarse salt, freshly ground pepper, all-purpose flour, corn starch, baking powder, fish, lemon]"
Fish-_n-chips-wrapwich-296895,Fish 'n Chips Wrapwich,4,900.0,"[Lunch and Snacks, Main Dishes]",,"[hellmann' or best food real mayonnais, flour tortillas, lettuce leaves, fish fingers, relish, potato chips]"
Lime-Cashew-Fish-and-Chips-1350533,Lime Cashew Fish and Chips,3,2100.0,[Main Dishes],,"[flour, milk, eggs, bread crumbs, unsalted cashews, lime, chili flakes, whitefish fillets, medium potatoes]"
Beer-Battered-Fish-and-Chips-1349907,Beer Battered Fish and Chips,4,2700.0,[Main Dishes],,"[pollock, haddock, cod, whitefish, flour, salt, pepper, onion powder, dark beer, vegetable oil, russet potatoes, mayonnaise, pickles, lemon juice, agave nectar]"
Fish-and-Chips-1063348,Fish and Chips,4,1800.0,[Main Dishes],,"[potatoes, cod, flour, corn starch, paprika, onion powder, vegetable oil, baking powder, beer]"
Fish-and-Chips-1028664,Fish and Chips,4,1800.0,[Main Dishes],,"[filet, flour, cornmeal, instant potato flakes, eggs, milk, salt, black pepper, paprika, canola oil, ketchup, pickles, jalapeno chilies, purple onion, ground cumin, chips, potatoes, corn starch, old bay seasoning, vegetable oil, coarse sea salt]"
