id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Thin-Mint-Ice-Cream-Pie-1374376,Thin Mint Ice Cream Pie,4,8100.0,[Desserts],,"[cookies, melted butter, vanilla bean ice cream, fudge, candy]",ice+cream
Mint-Chocolate-Beer-Ice-Cream-1377825,Mint Chocolate Beer Ice Cream,3,11700.0,[Desserts],,"[whole milk, mint leaves, heavy cream, stout, dark chocolate, egg yolks, white sugar]",ice+cream
Honey-Rosemary-Ice-Cream-1366181,Honey Rosemary Ice Cream,4,3000.0,[Desserts],,"[heavy whipping cream, whole milk, honey, rosemary sprigs, large egg yolks, fine sea salt, vanilla extract]",ice+cream
Red-Velvet-Ice-Cream-1377800,Red Velvet Ice Cream,3,900.0,[Desserts],,"[coconut milk, half & half, egg yolks, sugar, vanilla extract, cocoa powder, red food coloring, heavy cream]",ice+cream
Peanut-Butter-Chocolate-Ice-Cream-1379244,Peanut Butter Chocolate Ice Cream,4,1500.0,[Desserts],,"[heavy cream, cocoa, sugar, salt, creamy peanut butter, powdered sugar]",ice+cream
Easy-Maple-Ice-Cream-1364338,Easy Maple Ice Cream,4,22200.0,[Desserts],,"[heavy cream, sweetened condensed milk, maple extract, pumpkin pie spice]",ice+cream
Homemade-Ice-Cream-1313186,Homemade Ice Cream,4,2100.0,[Desserts],,"[heavy cream, milk, vanilla, sugar, salt, Reeses Peanut Butter Cups]",ice+cream
Chocolate-ice-cream-335662,Chocolate Ice Cream,5,2700.0,[Desserts],,"[cocoa powder, brown sugar, whole milk, heavy cream, vanilla]",ice+cream
Hedges-Rosemary-Ice-Cream-1379211,Hedges Rosemary Ice Cream,4,1080.0,[Desserts],,"[heavy cream, half & half, vanilla beans, rosemary, sugar, salt, egg yolks, ice cream]",ice+cream
Snow-Ice-Cream_-1371117,Snow Ice Cream!,4,1500.0,[Desserts],,"[maple syrup, vanilla extract, heavy cream]",ice+cream
Creamy-and-Crunchy-Peanut-Butter-and-Jelly-Ice-Cream-1379881,Creamy and Crunchy Peanut Butter and Jelly Ice Cream,4,1500.0,[Desserts],,"[peanut butter, granulated sugar, whole milk, sea salt, heavy cream]",ice+cream
Apple-Crisp-Ice-Cream-1350066,Apple Crisp Ice Cream,4,2100.0,[Desserts],,"[apples, Nestle Carnation Sweetened Condensed Milk, heavy cream, vanilla extract, caramel topping]",ice+cream
Homemade-Butter-Pecan-Ice-Cream-1377379,Homemade Butter Pecan Ice Cream,3,1200.0,[Desserts],,"[pecans, sugar, butter, half & half, brown sugar, vanilla, whipping cream, ice, rock salt]",ice+cream
Vanilla-Ice-Cream-1211834,Vanilla Ice Cream,4,2400.0,[Desserts],,"[eggs, sugar, vanilla extract, heavy cream, milk]",ice+cream
Maple-Hazelnut-Ice-Cream-1352045,Maple Hazelnut Ice Cream,4,3900.0,[Desserts],,"[heavy cream, 2% reduced-fat milk, large egg yolks, maple syrup, fine sea salt, roasted hazelnuts]",ice+cream
Holiday-Cobbler-with-Cinnamon-Ice-Cream-1377607,Holiday Cobbler with Cinnamon Ice Cream,3,3900.0,[Desserts],,"[cranberries, cherries, water, granulated sugar, all-purpose flour, plums, quick rolled oats, brown sugar, baking powder, salt, cream of tartar, butter, milk, cinnamon ice cream]",ice+cream
SNICKERS-Cake_-SNICKERS-Ice-Cream-Bars-Cake-1376298,SNICKERS Cake! SNICKERS Ice Cream Bars Cake,4,3900.0,[Desserts],,"[Snickers Ice Cream Bars, whipped cream, chocolate syrup, caramel syrup, M&M's Candy]",ice+cream
