id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Lasagna-1372008,Lasagna,4,6300.0,[Main Dishes],,"[hamburger, pork sausages, garlic, onions, diced tomatoes, tomato sauce, parsley, basil, oregano, cottage cheese, eggs, parmesan cheese, mozzarella cheese, lasagna noodles]",lasagna
Lasagna-1363443,Lasagna,4,6300.0,[Main Dishes],[Italian],"[sausage casings, lean ground beef, yellow onion, garlic, crushed tomatoes, tomato paste, tomato sauce, water, sugar, dried basil, fennel seeds, italian seasoning, salt, freshly ground black pepper, fresh parsley, lasagna noodles, ricotta cheese, eggs, mozzarella cheese, grated parmesan cheese]",lasagna
Lasagna-494544,Lasagna,4,2100.0,[Main Dishes],"[Italian, Kid-Friendly]","[lasagna noodles, meat sauce, ricotta, shredded mozzarella cheese]",lasagna
Lasagna-997918,Lasagna,3,2700.0,[Main Dishes],[Italian],"[pork sausages, chopped onion, garlic, diced tomatoes, tomato sauce, italian seasoning, fennel seeds, black pepper, lasagna noodles, eggs, ricotta cheese, grated parmesan cheese, shredded mozzarella cheese]",lasagna
Lasagna-Martha-Stewart-195398,Lasagna,5,6300.0,[Main Dishes],[Italian],"[lasagna noodles, coarse salt, sweet italian sausage, large eggs, ricotta cheese, pecorino romano cheese, tomato sauce, mozzarella cheese, extra-virgin olive oil]",lasagna
Lasagna-1312316,Lasagna,4,4500.0,[Main Dishes],,"[ground beef, sausage casings, marinara sauce, lasagna noodles, eggs, cottage cheese, parmigiano reggiano cheese, mozzarella cheese]",lasagna
Breakfast-Lasagna-1374927,Breakfast Lasagna,3,3000.0,"[Breakfast and Brunch, Main Dishes]",,"[lasagna noodles, eggs, mozzarella cheese, cheddar cheese, ricotta, butter, flour, milk, breakfast sausages, onions, Muir Glen Diced Tomatoes]",lasagna
Lasagna-761901,Lasagna,4,6300.0,[Main Dishes],[Italian],"[olive oil, ground chuck, onions, bell pepper, garlic, tomato sauce, tomato paste, crushed tomatoes, fresh oregano, fresh parsley, italian seasoning, garlic powder, white wine vinegar, sugar, salt, lasagna noodles, ricotta cheese, mozzarella cheese, grated parmesan cheese, beef, pasta, sauce, lasagne, noodles, vegetables]",lasagna
Lasagna-458970,Lasagna,4,5400.0,[Main Dishes],[Italian],"[mozzarella cheese, olive oil, ground turkey, turkey, sausages, tomato sauce, salt, lasagna noodles, ricotta cheese, grated parmesan cheese, eggs]",lasagna
Classic-Bolognese-Lasagna-1379479,Classic Bolognese Lasagna,4,4500.0,[Main Dishes],[Italian],"[ground veal, chopped onion, carrots, vodka sauce, oven-ready lasagna noodles, Sargento® Whole Milk Ricotta Cheese, Sargento® Chef Blends™ Shredded 6 Cheese Italian]",lasagna
Family-Style-Lasagna-1362810,Family Style Lasagna,4,3600.0,[Main Dishes],[Italian],"[lasagna noodles, marinara sauce, ragu, ricotta cheese, eggs, sugar, mozzarella cheese, baby spinach, garlic, grated nutmeg, grated parmesan cheese, salt, red pepper flakes, ground black pepper, olive oil]",lasagna
Lasagna-1190748,Lasagna,4,3600.0,[Main Dishes],[Italian],"[pasta sauce, hot Italian sausages, ground beef, ricotta cheese, eggs, parmesan cheese, mozzarella cheese, sugar, pepper, salt, basil, oregano, italian seasoning, lasagna noodles]",lasagna
Garlic-Parmesan-Chicken-Lasagna-Bake-1360435,Garlic Parmesan Chicken Lasagna Bake,4,6300.0,[Main Dishes],,"[oven-ready lasagna noodles, chicken meat, peas, grated parmesan cheese, gruyere cheese, water, panko breadcrumbs, fresh thyme, butter, garlic, all-purpose flour, herbes de provence, coarse salt, milk]",lasagna
Lasagna-MyRecipes-247393,Lasagna,3,,[Main Dishes],[Italian],"[sauce, hamburger, tomato paste, red pepper, diced onions, fresh oregano, fresh basil, bay leaves, garlic, water, ricotta cheese, parmesan cheese, eggs, fresh parsley, shredded mozzarella cheese, prepared lasagne]",lasagna
Freezer-Friendly-Lasagna-1367170,Freezer Friendly Lasagna,4,4500.0,[Main Dishes],[Italian],"[lasagna noodles, pasta sauce, shredded mozzarella cheese, grated parmesan cheese, eggs, ricotta cheese, fresh parsley, fresh basil, dried oregano]",lasagna
Easy-Lasagna-1360286,Easy Lasagna,4,3900.0,[Main Dishes],,"[lasagne, cottage cheese, shredded cheese, eggs, pasta sauce, ground beef]",lasagna
Worlds-Best-Lasagna-1345993,World’s Best Lasagna,4,6300.0,[Main Dishes],[Italian],"[sweet italian sausage, lean ground beef, minced onion, garlic, crushed tomatoes, tomato paste, tomato sauce, water, white sugar, basil dried leaves, fennel seeds, italian seasoning, salt, ground black pepper, fresh parsley, lasagna noodles, ricotta cheese, eggs, mozzarella cheese, grated parmesan cheese]",lasagna
Hearty-Lasagna-Allrecipes,Hearty Lasagna,4,4200.0,[Main Dishes],"[Italian, Kid-Friendly]","[ricotta cheese, shredded mozzarella cheese, eggs, ground beef, prego traditional italian sauce, lasagna noodles, cooked and drained, grated parmesan cheese]",lasagna
Slow-Cooker-Lasagna-Soup-1375138,Slow Cooker Lasagna Soup,4,4200.0,"[Soups, Main Dishes]",,"[italian sausage, minced garlic, olive oil, pasta sauce, beef broth, onion powder, parsley, basil, grated parmesan cheese, lasagna noodles, mozzarella cheese, water, milk]",lasagna
Classic-Lasagna-1007565,Classic Lasagna,4,7200.0,[Main Dishes],[Italian],"[lasagna noodles, extra-virgin olive oil, onions, chopped garlic, ground beef, sausage meat, crushed tomatoes, tomato paste, salt, ground black pepper, oregano, basil, red pepper flakes, chopped fresh mint, whole milk ricotta cheese, shredded mozzarella cheese, eggs, grated parmesan cheese, flat leaf parsley, tomato sauce, fresh mozzarella]",lasagna
Miracle-Lasagna-Allrecipes,Miracle Lasagna,5,4200.0,[Main Dishes],[Italian],"[prego traditional italian sauce, lasagna noodles, ricotta cheese, shredded mozzarella cheese, grated parmesan cheese]",lasagna
Lasagna-Soup-1372378,Lasagna Soup,4,2700.0,"[Soups, Main Dishes]",[Italian],"[kosher salt, lasagna noodles, extra-virgin olive oil, onions, sausage casings, ground beef, garlic, dried oregano, red pepper flakes, salt, pepper, chicken broth, pasta sauce, water, fresh basil, grated parmesan cheese, heavy cream, ricotta cheese]",lasagna
Lasagna-Allrecipes,Lasagna,4,11400.0,[Main Dishes],[Italian],"[olive oil, onions, bay leaf, garlic, dried oregano, dried basil, crushed tomatoes, diced tomatoes, ground cinnamon, lasagna noodles, part-skim ricotta cheese, eggs, grated parmesan cheese, fresh mushrooms, spinach, zucchini, mozzarella cheese]",lasagna
Classic-Lasagna-1344243,Classic Lasagna,4,7200.0,[Main Dishes],[Italian],"[extra-virgin olive oil, sausage casings, onions, carrots, mushrooms, garlic, salt, freshly ground pepper, dry red wine, plum tomatoes, sun-dried tomatoes, dried oregano, dried basil, dried thyme, crushed red pepper, whole wheat lasagna noodles, nonfat ricotta cheese, ground nutmeg, part-skim mozzarella, grated parmesan cheese, fresh parsley]",lasagna
American-Lasagna-1363484,American Lasagna,4,,[Main Dishes],[Italian],"[lean ground beef, onions, garlic, fresh basil, dried oregano, brown sugar, salt, diced tomatoes, tomato paste, lasagna noodles, eggs, part-skim ricotta cheese, grated parmesan cheese, dried parsley, mozzarella cheese]",lasagna
Classic-Italian-Lasagna-485275,Classic Italian Lasagna,4,5400.0,[Main Dishes],[Italian],"[ground beef, dried thyme, crushed red pepper, dried oregano, garlic powder, dried basil, freshly ground pepper, eggs, shredded mozzarella cheese, ricotta cheese, freshly grated parmesan, fresh parsley, fresh basil, pasta sauce, lasagna noodles]",lasagna
Alfredo-florentine-lasagna-297401,Alfredo Florentine Lasagna,4,4200.0,[Main Dishes],[Italian],"[ricotta cheese, eggs, frozen chopped spinach, thawed and squeezed dry, salt, ground black pepper, ground nutmeg, Bertolli® Alfredo Sauce, lasagna noodles, cooked and drained, shredded mozzarella cheese]",lasagna
One-Pot-Lasagna-Soup-1374303,One Pot Lasagna Soup,4,3300.0,"[Soups, Main Dishes]",,"[lean ground beef, yellow onion, garlic cloves, red pepper flakes, prego traditional italian sauce, low sodium chicken broth, crushed tomatoes, tomato paste, balsamic vinegar, granulated sugar, dried basil, dried parsley, dried oregano, bay leaf, salt, pepper, lasagna noodles, heavy cream, cheese, shredded mozzarella cheese, grated parmesan cheese, ricotta cheese]",lasagna
Slow-Cooker-Mushroom-Spinach-Lasagna-1356120,Slow Cooker Mushroom Spinach Lasagna,4,3300.0,[Main Dishes],[Italian],"[cooking spray, olive oil, sliced mushrooms, baby spinach leaves, diced tomatoes, tomato sauce, italian seasoning, salt, part-skim ricotta cheese, grated parmesan cheese, ground black pepper, lasagna noodles, Italian cheese blend]",lasagna
Vegetable-Lasagna-for-All-Seasons-1371043,Vegetable Lasagna for All Seasons,4,7200.0,[Main Dishes],[Italian],"[extra-virgin olive oil, onions, assorted fresh vegetables, whole milk ricotta cheese, large egg whites, fresh oregano, sea salt, tomato sauce, lasagna noodles, shredded mozzarella cheese]",lasagna
Lasagna-974218,Lasagna,4,4800.0,[Main Dishes],[Italian],"[lasagna noodles, ground beef, ricotta, grated parmesan cheese, pasta sauce, shredded mozzarella cheese, black pepper, onions, garlic]",lasagna
Lasagna-Rollups-1312409,Lasagna Rollups,4,,[Main Dishes],[Italian],"[lasagna noodles, sauce, olive oil, onions, garlic, ground beef, italian sausage, diced tomatoes, tomato paste, salt, black pepper, fresh parsley, fresh basil, ricotta cheese, eggs, grated parmesan cheese, pepper, parsley, basil, mozzarella cheese]",lasagna
Breakfast-Lasagna-1340174,Breakfast Lasagna,3,3000.0,"[Breakfast and Brunch, Main Dishes]",,"[lasagna noodles, eggs, mozzarella cheese, cheddar cheese, ricotta, butter, flour, milk, breakfast sausages, onions, Muir Glen Diced Tomatoes]",lasagna
Pumpkin-Lasagna-1365889,Pumpkin Lasagna,4,5700.0,[Main Dishes],,"[oven-ready lasagna noodles, olive oil, sweet Italian turkey sausage, eggplant, kale, onions, garlic, dried sage, parmigiano reggiano cheese, shredded mozzarella cheese, butter, milk, low-fat milk, pumpkin purée, salt, pepper, nutmeg]",lasagna
