id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Dutch-Pancakes-1359189,Dutch Pancakes,3,2100.0,[Breakfast and Brunch],,"[butter, eggs, pancake, milk, all-purpose flour, salt, syrup, sugar, buttermilk, corn syrup, baking soda, vanilla extract, confectioners sugar]"
The-Best-_and-Easiest__-Pancake-1373129,The Best (and Easiest!) Pancake,4,2100.0,[Breakfast and Brunch],,"[all-purpose flour, sugar, baking powder, salt, milk, butter, large eggs, vegetable oil]"
Perfect-Pancakes-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41350,Perfect Pancakes,5,1800.0,[Breakfast and Brunch],,"[cake flour, baking powder, sugar, salt, milk, large eggs, vanilla, butter, pancake syrup]"
Coconut-Chia-Protein-Pancakes-1374955,Coconut Chia Protein Pancakes,3,1200.0,[Breakfast and Brunch],,"[pancake flour, coconut flour, vanilla whey protein powder, baking powder, sea salt, chia seeds, coconut flakes, eggs, almond milk]"
Holiday-Pumpkin-Pancakes-1380334,Holiday Pumpkin Pancakes,4,1500.0,[Breakfast and Brunch],,"[pancake mix, milk, eggs, vanilla, pumpkin pie spice, pumpkin purée]"
Gingerbread-Pancakes-1363877,Gingerbread Pancakes,4,1200.0,[Breakfast and Brunch],,"[flour, baking powder, baking soda, salt, ground ginger, allspice, ground cloves, cinnamon, eggs, vanilla extract, molasses, buttermilk]"
Fluffy-Pancakes-1344383,Fluffy Pancakes,4,1800.0,[Breakfast and Brunch],,"[milk, white vinegar, all-purpose flour, white sugar, baking powder, baking soda, salt, eggs, butter, cooking spray]"
Banana-Walnut-Pancakes-1366904,Banana Walnut Pancakes,4,600.0,[Breakfast and Brunch],,"[flour, sugar, baking powder, salt, whole milk, vegetable oil, vanilla extract, large eggs, bananas, walnuts]"
Snickers-Pancakes-1367053,Snickers Pancakes,4,1800.0,[Breakfast and Brunch],,"[butter, large eggs, buttermilk, vanilla, all-purpose flour, granulated sugar, baking powder, baking soda, salt, snickers bars]"
Perfect-Pancakes-1313574,Perfect Pancakes,3,600.0,[Breakfast and Brunch],,"[all-purpose flour, granulated sugar, baking powder, salt, ground allspice, eggs, milk, vegetable oil, confectioners sugar, pancake syrup, butter]"
Perfect-Pancakes-1365314,Perfect Pancakes,4,1500.0,[Breakfast and Brunch],,"[whole wheat flour, all-purpose flour, toasted wheat germ, old-fashioned oats, baking powder, cinnamon, honey, sugar, low-fat milk, large eggs, oil]"
3-Ingredient-Banana-Pancakes-1360648,3 Ingredient Banana Pancakes,4,600.0,[Breakfast and Brunch],,"[eggs, cinnamon, bananas]"
Crispy-Cranberry-Buttermilk-Pancakes-1372379,Crispy Cranberry Buttermilk Pancakes,4,1500.0,[Breakfast and Brunch],,"[buttermilk, all-purpose flour, eggs, ground cinnamon, pure vanilla extract, baking soda, fresh cranberries, butter, maple syrup]"
Pancake-1286748,Pancake,4,1800.0,[Breakfast and Brunch],,"[flour, baking powder, baking soda, sugar, eggs, milk, butter]"
Gluten-Free-Buckwheat-Pancakes-1375010,Gluten Free Buckwheat Pancakes,4,780.0,[Breakfast and Brunch],,"[buckwheat flour, brown rice flour, flax seed meal, baking powder, cinnamon, salt, non dairy milk, pure maple syrup, pure vanilla extract]"
Lemon-Blueberry-Pancakes-1315604,Lemon Blueberry Pancakes,4,1500.0,[Breakfast and Brunch],,"[cake flour, salt, baking powder, sugar, evaporated milk, lemon, large eggs, vanilla, butter, blueberries, pancake syrup]"
