id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Lemon-Garlic-Pasta-1374235,Lemon Garlic Pasta,4,3300.0,[Main Dishes],,"[pasta shells, cashew nuts, lemon juice, garlic, almond milk, nutritional yeast, salt, pepper]"
One-Skillet-BLT-Pasta-1375613,One Skillet BLT Pasta,4,1800.0,[Main Dishes],,"[Pure Wesson Canola Oil, yellow onion, diced tomatoes, water, tomato sauce, rotini, garlic salt, cooked bacon, baby spinach leaves, grated parmesan cheese]"
Cheesy-Pasta-with-Bacon-and-Kale-1370389,Cheesy Pasta with Bacon and Kale,4,900.0,[Main Dishes],,"[pasta, vegetable oil, bacon, kale, cheese, cream]"
Garlic-Chicken-Pasta-1371534,Garlic Chicken Pasta,4,2100.0,[Main Dishes],,"[cooked chicken, garlic, olive oil, whole wheat pasta, whole milk, butter, sea salt, grated parmesan cheese]"
Jambalaya-Pasta-1374533,Jambalaya Pasta,4,2700.0,[Main Dishes],,"[olive oil, smoked sausage, boneless skinless chicken breasts, diced onions, bell pepper, creole seasoning, garlic, low sodium chicken broth, heavy cream, penne pasta, monterey jack, scallions]"
Pasta-Chips-1365268,Pasta Chips,3,2400.0,[Lunch and Snacks],,"[pasta, chili powder, black pepper, chaat masala, garlic powder, dried oregano, salt, oil]"
Mozzarella-Chicken-Pasta-1369040,Mozzarella Chicken Pasta,3,4500.0,[Main Dishes],,"[rigatoni, chicken breast tenders, olive oil, seasoning salt, pepper, garlic, baby spinach, unsalted butter, all-purpose flour, half & half, dried basil, crushed red pepper flakes, smoked mozzarella, part-skim mozzarella cheese, diced tomatoes, salt, parmesan cheese]"
Pizza-pasta-333870,Pizza Pasta,5,1200.0,[Main Dishes],,"[whole wheat pasta, tomato sauce, fresh mozzarella, italian seasoning, pepperoni, parmesan cheese, provolone cheese]"
Garlicky-Arugula-Pasta-1357509,Garlicky Arugula Pasta,3,1800.0,[Main Dishes],,"[salt, linguine, extra-virgin olive oil, garlic, red pepper flakes, fish sauce, baby arugula]"
Creamy-caprese-pasta-333554,Creamy Caprese Pasta,5,2400.0,,,"[whole wheat pasta, pasta sauce, heavy cream, grated parmesan cheese, fresh mozzarella, grape tomatoes, fresh basil leaves]"
Pasta-w_Poached-Egg_-Asparagus_-_-Lemon-_Wanna-Be-A-Country-Cleaver_-1377853,"Pasta w/Poached Egg, Asparagus, & Lemon {Wanna Be A Country Cleaver}",4,2400.0,[Main Dishes],,"[angel hair, asparagus, olive oil, grated parmesan cheese, low-fat ricotta, eggs, white vinegar, shrimp, lemon, salt, pepper]"
Fettuccine-Pasta-with-Peppers-1373295,Fettuccine Pasta with Peppers,4,1500.0,[Main Dishes],,"[fettuccine pasta, green bell pepper, red bell pepper, yellow bell pepper, extra-virgin olive oil, garlic, bertolli]"
One-Skillet-BLT-Pasta-1378825,One Skillet BLT Pasta,4,1800.0,[Main Dishes],,"[Pure Wesson Canola Oil, yellow onion, diced tomatoes, water, tomato sauce, rotini, garlic salt, cooked bacon, baby spinach leaves, grated parmesan cheese]"
Turkey-_or-Chicken_-Cordon-Bleu-Pasta-1373542,Turkey (or Chicken) Cordon Bleu Pasta,4,,,,"[pasta, flour, skim milk, dijon mustard, shredded cheddar cheese, turkey, frozen peas, diced ham, kosher salt, black pepper]"
Uncle-Vinny_s-Light-Lemon-Pasta-1364432,Uncle Vinny's Light Lemon Pasta,3,1800.0,[Main Dishes],,"[bow-tie pasta, butter, heavy cream, juice, lemon, chicken broth]"
Organic-School-Lunch-Pasta-1362718,Organic School Lunch Pasta,4,2100.0,"[Lunch and Snacks, Main Dishes]",,"[organic turkey, cheese, ham, broccoli, rigatoni, carrots, italian salad dressing, salt]"
Chilli-Prawn-Pasta-1360842,Chilli Prawn Pasta,3,1500.0,[Main Dishes],,"[chillies, garlic, pasta, spring onions, worcestershire sauce, fresh chives, prawns, passata]"
Balsamic-Mushroom-Pasta-1367233,Balsamic Mushroom Pasta,4,1500.0,[Main Dishes],,"[fettuccine pasta, butter, olive oil, shallots, garlic cloves, portabello mushroom, balsamic vinegar, cream, fresh parsley, grated parmesan cheese, pepper, salt]"
One-Pot-Shrimp-Parmesan-Pasta-1372140,One Pot Shrimp Parmesan Pasta,3,2100.0,[Main Dishes],,"[white onion, garlic, Barilla Pasta Sauce, chicken broth, pasta, spinach, cooked shrimp, parmesan cheese]"
Chicken-Fajita-Pasta-1057903,Chicken Fajita Pasta,4,1800.0,[Main Dishes],,"[olive oil, boneless skinless chicken breasts, fajita seasoning mix, diced onions, bell pepper, garlic, low sodium chicken broth, heavy cream, diced tomatoes, penne pasta, salt]"
Aromatic-Pasta-With-Chicken-1364435,Aromatic Pasta With Chicken,3,900.0,[Main Dishes],,"[pasta shells, marinara sauce, boneless skinless chicken breasts, butter, oil, salt, pepper]"
Roasted-Butternut-Squash-and-Spinach-Pasta-1373940,Roasted Butternut Squash and Spinach Pasta,4,2400.0,[Main Dishes],,"[butternut squash, fresh spinach, pinenuts, currant, chopped garlic, sesame oil, fresh thyme, Himalayan salt, pasta]"
Pasta-Halloween-1373481,Pasta Halloween,4,2400.0,[Main Dishes],,"[tagliatelle, salt, black pepper, olive oil, butter, mozzarella balls, pitted black olives]"
Pasta-Pomodoro-with-Lentils-1361934,Pasta Pomodoro with Lentils,4,2700.0,[Main Dishes],,"[water, dried lentils, Bertolli Tomato & Basil Sauce, penn pasta, cook and drain, part-skim mozzarella cheese]"
Not-So-Homemade-Chicken-Alfredo-_-Mushroom-Pasta-1378400,Not So Homemade Chicken Alfredo & Mushroom Pasta,4,2100.0,[Main Dishes],,"[olive oil, boneless chicken, salt, freshly ground black pepper, butter, mushrooms, Alfredo sauce, angel hair, parsley]"
Jambalaya-Pasta-1090751,Jambalaya Pasta,4,2400.0,[Main Dishes],,"[sauce, olive oil, boneless skinless chicken breasts, kielbasa, bow-tie pasta, parsley]"
Creamy-Cajun-Chicken-Pasta-Recipes-1376830,Creamy Cajun Chicken Pasta Recipes,4,1800.0,[Main Dishes],[Cajun & Creole],"[boneless skinless chicken breast halves, linguine, cajun seasoning, butter, green onions, heavy whipping cream, sun-dried tomatoes, salt, dried basil, ground black pepper, garlic powder, grated parmesan cheese]"
Pasta-with-Butternut-Squash-and-Kale-Pesto-1378102,Pasta with Butternut Squash and Kale Pesto,4,1800.0,[Main Dishes],,"[butternut squash, extra-virgin olive oil, salt, freshly ground black pepper, whole wheat pasta, pesto, toasted pine nuts, grated parmesan cheese]"
Perfect-Pasta-Salad-Toss-1379492,Perfect Pasta Salad Toss,4,2400.0,[Salads],,"[penn pasta, cook and drain, sliced salami, roast red peppers, drain, artichoke hearts, pitted kalamata olives, fresh basil leaves, caesar salad dressing, Sargento® Artisan Blends® Shredded Parmesan Cheese, romaine lettuce leaves]"
Chicken-Fajita-Pasta-1369131,Chicken Fajita Pasta,4,1800.0,[Main Dishes],,"[pasta, oil, skinless chicken breasts, taco seasoning, onions, green bell pepper, slice, red bell pepper, yellow bell pepper, garlic, chicken broth, diced tomatoes, sour cream, cilantro]"
Creamy-Pumpkin-Pasta-1357733,Creamy Pumpkin Pasta,4,2100.0,[Main Dishes],,"[linguine, butter, flour, garlic cloves, milk, shredded parmesan cheese, pumpkin purée, nutmeg, salt, ground black pepper, parsley]"
Lemony-Pasta-with-Garlic-and-Capers-1352797,Lemony Pasta with Garlic and Capers,4,1500.0,[Main Dishes],,"[pasta, olive oil, garlic, lemon zest, lemon juice, grated parmesan cheese, capers, kosher salt, black pepper]"
Avocado-Pasta-Salad-1357126,Avocado Pasta Salad,4,3000.0,[Salads],,"[rotini, cherry tomatoes, bacon, green onions, chopped cilantro, avocado, lime juice, fresh lime, cumin, garlic powder, buttermilk, pepper, salt]"
Spinach-and-Artichoke-Pasta-1350224,Spinach and Artichoke Pasta,4,1800.0,[Main Dishes],,"[unsalted butter, fresh spinach, cream cheese, sour cream, shredded parmesan cheese, artichoke hearts, jalapeno chilies, garlic cloves, cooking liquid, penne pasta]"
Baked-Chicken-_-Spinach-Pasta-1351717,Baked Chicken & Spinach Pasta,4,3900.0,[Main Dishes],,"[pasta, boneless skinless chicken breasts, olive oil, garlic, salt, fresh spinach, white wine, mozzarella cheese]"
Angel-Hair-Pasta-With-Light-Garlic-Sauce-1363617,Angel Hair Pasta With Light Garlic Sauce,3,1200.0,[Main Dishes],,"[angel hair, olive oil, fresh parsley, garlic, grated parmesan cheese, ground pepper]"
Easy-Italian-Pasta-Bake-1358675,Easy Italian Pasta Bake,4,3000.0,[Main Dishes],[Italian],"[ground beef, chopped onion, tomato sauce, water, basil, oregano, garlic powder, sea salt, whole wheat pasta, shredded cheese]"
Fresh-Vegetarian-Greek-Pasta-1062342,Fresh Vegetarian Greek Pasta,4,1800.0,[Main Dishes],[Greek],"[tomatoes, kalamata, feta cheese, chopped parsley, basil, salt, black pepper, penne pasta, olive oil, garlic]"
Fresh-Tomato-and-Ricotta-Whole-Wheat-Pasta-1376535,Fresh Tomato and Ricotta Whole Wheat Pasta,4,1500.0,[Main Dishes],[Italian],"[bow-tie pasta, extra-virgin olive oil, garlic, tomatoes, freshly ground black pepper, kosher salt, fresh spinach leaves, fresh basil, grated parmesan cheese, ricotta cheese]"
Chicken-Bow-tie-Pasta-1362585,Chicken Bow-tie Pasta,4,2400.0,[Main Dishes],,"[chicken breasts, cream of chicken soup, cream of mushroom soup, oregano, basil, salt, pepper, bow-tie pasta, baby spinach, olive oil]"
One-Pot-Cheesy-Italian-Chicken-and-Pasta-1362917,One Pot Cheesy Italian Chicken and Pasta,4,1800.0,[Main Dishes],[Italian],"[olive oil, chicken, crushed red pepper flakes, onions, garlic, crushed tomatoes, diced tomatoes, italian seasoning, kosher salt, cracked black pepper, chicken stock, bow-tie pasta, shredded mozzarella cheese, leaf parsley, grated parmesan cheese]"
Penne-Pasta-With-Sausage-1354023,Penne Pasta With Sausage,4,2400.0,[Main Dishes],,"[penne pasta, cherry tomatoes, baby spinach, extra-virgin olive oil, garlic, parmesan cheese]"
