id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Eggnog-Pie-1372384,Eggnog Pie,3,4500.0,[Desserts],,"[pie shell, large eggs, sugar, eggnog, pure vanilla extract, grated nutmeg]"
The-Best-Apple-Pie-1367973,The Best Apple Pie,4,3900.0,[Desserts],,"[refrigerated piecrusts, sugar, flour, apple pie spice, granny smith apples, butter, eggs, pie crust, vanilla bean ice cream]"
Butterscotch-Pie-1378062,Butterscotch Pie,4,4200.0,[Desserts],,"[graham cracker pie crust, instant pudding mix, milk, cool whip, sauce, butterscotch chips]"
Crustless-No-butter-Pumpkin-Pie-1378431,Crustless No butter Pumpkin Pie,4,3900.0,[Desserts],,"[pumpkin purée, whole milk, corn starch, eggs, egg whites, pumpkin pie spice, cinnamon, sugar, cracker crumbs]"
Perfect-Pumpkin-Pie-1375766,Perfect Pumpkin Pie,3,3900.0,[Desserts],,"[coconut flakes, oats, coconut oil, honey, pumpkin purée, eggs, vanilla extract, almond milk, pumpkin pie spice]"
Pecan-Pie-1367758,Pecan Pie,4,3600.0,[Desserts],,"[pie crust, dates, coconut oil, ground cinnamon, vanilla, sea salt, water, butternut squash, pecans]"
Shredded-Apple-Pie-1375841,Shredded Apple Pie,4,4800.0,[Desserts],,"[sugar, butter, all-purpose flour, vanilla, ground cinnamon, salt, large eggs, red delicious apples, pie shell]"
Strawberry-Pie-1363086,Strawberry Pie,4,3300.0,[Desserts],,"[pie crust, strawberries, sugar, water, corn starch, whipped cream]"
Classic-Pecan-Pie-1375824,Classic Pecan Pie,4,900.0,[Desserts],,"[unbaked pie crusts, sugar, brown sugar, salt, corn syrup, melted butter, eggs, vanilla, chopped pecans]"
Roasted-Sweet-Potato-Pie-Bites-_4-Ingredients_-1368258,Roasted Sweet Potato Pie Bites {4 Ingredients},4,1500.0,,,"[sweet potatoes, pure maple syrup, salt, pecans, laughing cow]"
Pumpkin-Cookie-Pie-1375327,Pumpkin Cookie Pie,4,900.0,[Desserts],,"[Krusteaz Pie Crust Mix, water, cookie mix, unsalted butter, eggs, white chocolate chips, chopped pecans]"
Apple-Pie-in-an-Apple-1379832,Apple Pie in an Apple,4,2700.0,[Desserts],,"[apples, apple pie filling, ground cinnamon, pie crust]"
Pecan-Pie-1365066,Pecan Pie,4,4200.0,[Desserts],,"[deep dish pie crust, dark brown sugar, white sugar, butter, eggs, all-purpose flour, milk, vanilla extract, pecans]"
Southern-Pecan-Pie-1365684,Southern Pecan Pie,4,3600.0,[Desserts],[Southern & Soul Food],"[eggs, sugar, light corn syrup, unsalted butter, vanilla, pecans, pie shell]"
Sweet-Strawberry-Jello-Pie-1379126,Sweet Strawberry Jello Pie,3,900.0,[Desserts],,"[graham cracker pie crust, jello, whipped topping, frozen strawberries]"
Classic-Apple-Pie-1368367,Classic Apple Pie,4,5400.0,[Desserts],,"[pie dough, tart apples, granulated sugar, corn starch, ground cinnamon, lemon juice, unsalted butter, eggs, cold water]"
Thin-Mint-Ice-Cream-Pie-1374376,Thin Mint Ice Cream Pie,4,8100.0,[Desserts],,"[cookies, melted butter, vanilla bean ice cream, fudge, candy]"
Pumpkin-Pie-1378907,Pumpkin Pie,4,4200.0,[Desserts],,"[pumpkin, brown sugar, salt, pumpkin pie spice, butter, half & half, eggs, vanilla extract, unbaked pie crusts, whipped cream]"
Buttermilk-Pie-1323851,Buttermilk Pie,4,4200.0,[Desserts],,"[buttermilk, sugar, large eggs, flour, salt, butter, vanilla, ground nutmeg, pie shell, whipped cream]"
Blueberry-Pie-1372191,Blueberry Pie,4,3600.0,[Desserts],,"[pies, fresh blueberries, sugar, Minute Tapioca, lime juice, salt]"
Grandmothers-Buttermilk-Pie-1377728,Grandmothers Buttermilk Pie,4,3000.0,[Desserts],,"[pie shell, sugar, eggs, butter, flour, buttermilk, lemon juice, vanilla, nutmeg]"
Decadent-Pecan-Pie-1376471,Decadent Pecan Pie,3,6900.0,[Desserts],,"[pastry, sugar, butter, corn syrup, salt, eggs, pecan halves]"
Classic-Chocolate-Pie-1360501,Classic Chocolate Pie,4,2100.0,[Desserts],,"[sugar, flour, cocoa, milk, egg yolks, butter, vanilla, pie crust, cool whip]"
Pecan-Cream-Cheese-Pie-1374484,Pecan Cream Cheese Pie,4,4200.0,[Desserts],,"[pie crust, cream cheese, eggs, granulated sugar, vanilla, light corn syrup, butter, salt, toasted pecans]"
Chocolate-Cream-Pie-1353464,Chocolate Cream Pie,3,16200.0,[Desserts],,"[granulated sugar, corn starch, cocoa powder, salt, egg yolks, whole milk, pure vanilla extract, semisweet chocolate, unsalted butter, pie crust, whipped cream, chocolate sprinkles]"
Pumpkin-Cream-Pie-1378934,Pumpkin Cream Pie,4,2100.0,[Desserts],,"[pie crust, instant pudding mix, skim milk, cool whip, pecans, chocolate, chopped walnuts]"
Homemade-Apple-Pie-Filling-1375469,Homemade Apple Pie Filling,4,3600.0,[Desserts],,"[baking apples, lemon juice, sugar, corn starch, water, ground cinnamon, salt, nutmeg]"
Lemon-Impossible-Pie-1352914,Lemon Impossible Pie,4,3000.0,[Desserts],,"[milk, flaked coconut, eggs, vanilla, flour, butter, sugar, lemon]"
Chocolate-Chip-Pie-1362971,Chocolate Chip Pie,4,3600.0,[Desserts],,"[deep dish pie crust, eggs, flour, brown sugar, butter, chocolate chips]"
Sweet-Potato-Pie-with-Bourbon-Meringue-1361607,Sweet Potato Pie with Bourbon Meringue,4,4200.0,[Desserts],,"[gingersnap crumbs, butter, sweet potatoes, sweetened condensed milk, granulated sugar, lemon, eggs, pure vanilla extract, ground cinnamon, nutmeg, ground cloves, salt, egg whites, water, bourbon whiskey]"
Momma_s-Buttermilk-Pie-1370055,Momma's Buttermilk Pie,3,4200.0,[Desserts],,"[butter, sugar, eggs, buttermilk, flour, vanilla extract, cinnamon, deep dish pie crust]"
Traditional-Dutch-Apple-Pie-1368622,Traditional Dutch Apple Pie,4,6300.0,[Desserts],,"[crust, vegetable shortening, flour, eggs, cold water, white vinegar, sugar, brown sugar, cinnamon, salt, nutmeg, granny smith apples, cider vinegar, butter, oats]"
Apple-Pie-Cookies-1278649,Apple Pie Cookies,4,6300.0,[Desserts],,"[apples, lemon juice, white sugar, brown sugar, corn starch, cinnamon, nutmeg, water, unsalted butter, all-purpose flour, salt, sugar, ice water, refrigerated piecrusts, apple pie filling, caramel sauce, eggs]"
Honey-Pecan-Pie-1371092,Honey Pecan Pie,4,3300.0,[Desserts],,"[honey, eggs, melted butter, vanilla, pecans, pie crust]"
Pecan-Pie-1368610,Pecan Pie,4,4200.0,[Desserts],,"[sugar, corn syrup, eggs, butter, vanilla, pecans, pie crust]"
Salted-Caramel-Pecan-Pie-1371623,Salted Caramel Pecan Pie,3,4200.0,[Desserts],,"[piecrust, dark brown sugar, light corn syrup, unsalted butter, sea salt flakes, large eggs, chopped pecans]"
Sweet-Potato-Pie-1378314,Sweet Potato Pie,4,6300.0,[Desserts],,"[sweet potatoes, butter, white sugar, milk, eggs, ground nutmeg, ground cinnamon, vanilla extract, unbaked pie crusts]"
Pumpkin-Pie-1371825,Pumpkin Pie,3,3600.0,[Desserts],,"[bread mix, coconut oil, pure maple syrup, cooked pumpkin, full fat coconut milk, free range egg, pumpkin pie spice]"
How-To-Make-Concord-Pie-1380722,How To Make Concord Pie,3,6300.0,[Desserts],,"[pastry, flour, salt, butter, Concord grapes, quick-cooking tapioca, sugar]"
Homemade-Apple-Pie-1376800,Homemade Apple Pie,4,8400.0,[Desserts],,"[granny smith apples, sugar, lemon zest, ground cinnamon, allspice, ground nutmeg, pure vanilla extract, pie crust, egg yolks, heavy whipping cream]"
All-Butter-Pie-Crust-1375578,All-Butter Pie Crust,3,3300.0,[Desserts],,"[all-purpose flour, fine sea salt, unsalted butter, ice water]"
Pina-Colada-Pie-1353484,Piña Colada Pie,3,16200.0,[Desserts],,"[pie crust, cream cheese, pineapple juice, cream of coconut, vanilla instant pudding, pineapple, sweetened coconut flakes, cream sweeten whip]"
The-Perfect-Pecan-Pie-1288897,The Perfect Pecan Pie,4,6300.0,[Desserts],,"[pie crust, sugar, brown sugar, salt, light corn syrup, vanilla extract, butter, eggs, chopped pecans]"
Perfect-Pumpkin-Pie-1378806,Perfect Pumpkin Pie,3,3900.0,[Desserts],,"[pumpkin, sweetened condensed milk, large eggs, ground cinnamon, ground ginger, ground nutmeg, salt, unbaked pie crusts]"
Over-the-Top-Mini-Pecan-Pie-Tarts-1375096,Over the Top Mini Pecan Pie Tarts,4,3600.0,[Desserts],,"[pie crust, all-purpose flour, salt, dairy free butter, ice water, egg substitute, dark brown sugar, maple syrup, saltines, ground cinnamon, pecans, vanilla extract, pecan halves, soy milk powder, sugar, water, shredded coconut]"
Classic-Custard-Pie-1316721,Classic Custard Pie,3,3000.0,[Desserts],,"[pie crust, large eggs, whole milk, pure vanilla extract, granulated sugar, salt, nutmeg, cinnamon]"
Pumpkin-Cheesecake-Pie-1380540,Pumpkin Cheesecake Pie,3,4500.0,[Desserts],,"[pie shell, cream cheese, sugar, vanilla, large eggs, pumpkin purée, pumpkin pie spice, salt, evaporated milk]"
Easy-Pie-Crust-1363262,Easy Pie Crust,4,1200.0,[Desserts],,"[flour, salt, butter, cold water]"
Mini-Chocolate-Pecan-Pie-in-a-Jar-1378491,Mini Chocolate Pecan Pie in a Jar,4,2400.0,[Desserts],,"[pecan halves, mini chocolate chips, light karo syrup, eggs, sugar, butter, Spice Islands® Pure Vanilla Extract, whipped cream, graham cracker crumbs]"
Mini-Sweet-Potato-Hand-Pies-1380085,Mini Sweet Potato Hand Pies,4,2160.0,[Desserts],,"[pie crust, potato puree, maple syrup, bourbon whiskey, cinnamon, butter, turbinado]"
Derby-Pie-573650,Derby Pie,4,3600.0,[Desserts],,"[sugar, all-purpose flour, eggs, butter, vanilla, chopped pecans, chocolate chips, pie shell]"
Smooth-Old-Fashioned-Chocolate-Pie-1369249,Smooth Old-Fashioned Chocolate Pie,3,1200.0,[Desserts],,"[sugar, unsweetened cocoa powder, corn starch, salt, milk, egg yolks, vanilla extract, pie crust]"
Dutch-Apple-Pie-Cookies-1365489,Dutch Apple Pie Cookies,4,3000.0,"[Afternoon Tea, Desserts]",,"[pie dough, granny smith apples, granulated sugar, ground cinnamon, lemon juice, corn starch, all-purpose flour, brown sugar, old-fashioned oats, salt, butter]"
Individual-Layered-Pie-Trifles-1364445,Individual Layered Pie Trifles,4,3000.0,[Desserts],,"[apple pie, cherries, Reddi Wip Whipped Cream, chocolate syrup, candied pecans]"
Brown_-Sugar_-Pie_-1361714,Brown. Sugar. Pie.,4,4800.0,[Desserts],,"[brown sugar, flour, salt, margarine, eggs, vanilla, milk, pie crust]"
Banana-Cream-Pie-1324114,Banana Cream Pie,4,3600.0,[Desserts],,"[pie crust, sugar, corn starch, salt, egg yolks, milk, butter, vanilla, bananas, heavy cream, powdered sugar]"
Slow-Cooker-Apple-Pie-Bread-Pudding-1377192,Slow Cooker Apple Pie Bread Pudding,4,2100.0,[Desserts],,"[reduced calorie white bread, cooking apples, unsweetened apple juice, diet lemon lime soda, sugar, apple pie spice]"
Chocolate-Cherry-Pie-1380214,Chocolate Cherry Pie,4,2100.0,[Desserts],,"[all-purpose flour, sugar, salt, butter, sweetened condensed milk, semi-sweet chocolate morsels, cherry pie filling, almond extract, whipped cream, cocktail cherries]"
Apple-Pie-Stuffed-Apples-1378796,Apple Pie Stuffed Apples,4,3600.0,[Desserts],,"[granny smith apples, cinnamon, sugar, rum extract, refrigerated piecrusts, butter]"
The-Best-Apple-Pie-Ever-1362541,The Best Apple Pie Ever,4,5400.0,[Desserts],,"[pie crust, granny smith apples, butter, all-purpose flour, water, white sugar, brown sugar, cinnamon, nutmeg, vanilla]"
French-Coconut-Pie-1008987,French Coconut Pie,4,4200.0,[Desserts],,"[eggs, sugar, flaked coconut, butter, white vinegar, vanilla, salt, pie shell]"
Buttermilk-Pie-1356855,Buttermilk Pie,4,3900.0,[Desserts],,"[buttermilk, eggs, sugar, vanilla, lemon juice, pie crust]"
Pumpkin-Cream-Pie-1379590,Pumpkin Cream Pie,4,900.0,[Desserts],,"[pie shell, cream cheese, granulated sugar, vanilla, pumpkin, cinnamon, ground ginger, clove, ground nutmeg, powdered sugar, heavy cream]"
Apple-Pie-Bourbon-Smash-1377191,Apple Pie Bourbon Smash,4,1200.0,[Beverages],,"[apple pie filling, water, syrup, bourbon whiskey, apple brandy, ginger ale]"
Pumpkin-Gingersnap-Pie-1362398,Pumpkin Gingersnap Pie,4,4200.0,[Desserts],,"[gingersnap, pie crust, heavy cream, light brown sugar, ground ginger, ground cloves, ground nutmeg, ground cinnamon, pumpkin purée, eggs, maple extract]"
Pecan-Pie-1197954,Pecan Pie,4,3600.0,[Desserts],,"[eggs, light corn syrup, sugar, butter, vanilla, pecan halves, pie shell]"
Apple-Pie-1362271,Apple Pie,4,6300.0,[Desserts],,"[granny smith apples, lemon juice, brown sugar, white sugar, cinnamon, apple pie spice, nutmeg, sea salt, unsalted butter, corn starch, bourbon whiskey, pie crust, warm water]"
Perfect-Pecan-Pie-517679,Perfect Pecan Pie,4,6300.0,,,"[pie crust, large egg yolks, unsalted margarine, brown dark firmli pack sugar, table salt, large eggs, light corn syrup, vanilla extract, pecans]"
Pumpkin-Slab-Pie-_Printable-recipe_-1374210,Pumpkin Slab Pie (Printable recipe),4,3300.0,[Desserts],,"[pies, pure pumpkin, brown sugar, cinnamon, ginger, nutmeg, salt, eggs, evaporated milk, whipped cream, pumpkin pie spice]"
Cherry-Pie-Cupcakes-1366069,Cherry Pie Cupcakes,4,2400.0,[Desserts],,"[french vanilla cake mix, cupcake mix, flour, cherry pie filling, eggs]"
Apple-Pie-Danish-Biscuits-1364707,Apple Pie Danish Biscuits,4,2700.0,[Desserts],,"[biscuits, cream cheese, powdered sugar, vanilla extract, apple pie filling, milk]"
Apple-Pie-Crescents-768343,Apple Pie Crescents,4,1800.0,[Desserts],,"[granny smith apples, butter, Pillsbury™ Refrigerated Crescent Dinner Rolls, brown sugar, apple pie spice]"
Dreamy-Apple-Pie-1328710,Dreamy Apple Pie,4,6300.0,[Desserts],,"[unbaked pie crusts, granny smith apples, brown sugar, sugar, all-purpose flour, heavy cream, vanilla extract, cinnamon, butter, pecans, salt]"
French-Silk-Pie-1375593,French Silk Pie,4,3000.0,[Desserts],,"[pies, crust, OREO® Cookies, butter, vanilla, salted butter, granulated sugar, unsweetened chocolate, eggs, whipped topping, heavy whipping cream, powdered sugar, chocolate curls]"
Chocolate-Chip-Pie-1371178,Chocolate Chip Pie,4,4500.0,[Desserts],,"[deep dish pie crust, large eggs, all-purpose flour, granulated sugar, brown sugar, butter, semi-sweet chocolate morsels, chopped pecans]"
