id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Pork-Chops-Florentine-1371220,Pork Chops Florentine,3,1800.0,[Main Dishes],,"[olive oil, boneless chop pork, onions, marinara sauce, spinach, mozzarella cheese, whole grain pasta]"
Apple-Cranberry-Pork-Chops-1374208,Apple Cranberry Pork Chops,4,1800.0,[Main Dishes],,"[boneless chop pork, salt and ground black pepper, flour, vegetable oil, onions, apples, lemon juice, apple cider, brown sugar, cinnamon, ground allspice, dried cranberries]"
Bourbon-Glazed-Pork-Chops-1369095,Bourbon Glazed Pork Chops,4,1200.0,[Main Dishes],,"[bone-in pork chops, extra-virgin olive oil, dijon mustard, honey, brown sugar, ground red pepper, garlic powder, butter, chicken stock, bourbon whiskey, salt, black pepper]"
Parmesan-Crusted-Pork-Chops-1357182,Parmesan-Crusted Pork Chops,3,1500.0,[Main Dishes],,"[eggs, water, Italian seasoned breadcrumbs, parmesan cheese, pork chops, olive oil]"
French-Onion-Pork-Chops-1368427,French Onion Pork Chops,4,3300.0,[Main Dishes],[French],"[olive oil, sweet onion, thyme sprigs, salt, pepper, butter, beef stock, dry red wine, boneless chop pork, dijon mustard, shredded swiss cheese]"
Paprika-Lime-Pork-Chops-1360411,Paprika Lime Pork Chops,3,2400.0,[Main Dishes],,"[pork chops, black pepper, ground paprika, garlic powder, onion powder, salt, sugar, oil, lime, cilantro]"
Smothered-Pork-Chops-1355872,Smothered Pork Chops,4,4200.0,[Main Dishes],,"[pork chops, flour, baking powder, salt, ground pepper, paprika, garlic powder, vegetable oil, chopped onion, mushrooms, chicken stock, cold water]"
Pork-Chops-with-Apples-_-Onions-1362449,Pork Chops with Apples & Onions,4,1200.0,[Main Dishes],,"[bone-in pork chops, apples, onions, water, balsamic vinaigrette, salt, pepper]"
Effortless-Bacon-Wrapped-Pork-Chops-1365732,Effortless Bacon-Wrapped Pork Chops,3,3000.0,[Main Dishes],,"[pork chops, bacon, black pepper, salt, herbs]"
Baked-BBQ-Pork-Chops-1379277,Baked BBQ Pork Chops,3,2100.0,[Main Dishes],,"[pork chops, bbq sauce, onions, chopped parsley, garlic salt, black pepper]"
Pork-Chops-O_Brien-1367586,Pork Chops O'Brien,4,2700.0,[Main Dishes],,"[vegetable oil, pork chops, seasoning salt, ground black pepper, Campbell's Condensed Cream of Celery Soup, milk, sour cream, brown hash potato, shredded cheddar cheese, french's french fried onions]"
Baked-Pork-Chops-with-Apricot-Preserves-1343141,Baked Pork Chops with Apricot Preserves,4,3900.0,[Main Dishes],,"[pork chops, apricot preserves, salt, black pepper, onion powder]"
Oven-Pork-Chop-1305710,Oven Pork Chop,4,4500.0,[Main Dishes],,"[salt, butter, ketchup, worcestershire sauce, sugar, pepper, chopped onion, white vinegar, pork chops]"
Grandma_s-Pork-Chops-and-Gravy-1359941,Grandma's Pork Chops and Gravy,4,2700.0,[Main Dishes],,"[loin pork chops, olive oil, all-purpose flour, salt, dry mustard, garlic powder, cream of chicken soup]"
Easy-Pan-Grilled-Pork-Chops-With-Spicy-Rub-1359354,Easy Pan-Grilled Pork Chops With Spicy Rub,3,1500.0,[Main Dishes],[Barbecue],"[boneless chop pork, thyme, chipotle chile powder, chili powder, cajun seasoning, salt, black pepper, extra-virgin olive oil]"
Simple-Pan-Fried-Pork-_Loin_-Chops-_-Smashed-Potatoes-1362094,Simple Pan-Fried Pork {Loin} Chops & Smashed Potatoes,4,1800.0,[Main Dishes],,"[pork chops, oil, flour, salt]"
Italian-Pork-Chops-1325540,Italian Pork Chops,3,1500.0,[Main Dishes],,"[Bisquick Baking Mix, italian salad dressing, bread crumbs, pork loin chops, vegetable oil]"
5-Ingredient-Simple-Crock-Pot-Pork-Chops-1345792,5 Ingredient Simple Crock Pot Pork Chops,4,18600.0,[Main Dishes],,"[boneless chop pork, condensed cream of chicken soup, onions, ketchup, worcestershire sauce]"
Three-Ingredient-Pork-Chops-1279991,Three Ingredient Pork Chops,4,3000.0,[Main Dishes],,"[stuffing, apple pie filling, pork chops, salt, pepper]"
Stuffed-Pork-Chops-1376814,Stuffed Pork Chops,4,4380.0,[Main Dishes],,"[pork chops, bacon, cheese, feta cheese, green onions, cream cheese, garlic powder, pepper, salt]"
Prosciutto-wrapped-Stuffed-Pork-Chops-1347471,Prosciutto wrapped Stuffed Pork Chops,4,1680.0,[Main Dishes],,"[boneless center cut pork chops, prosciutto, havarti cheese, black pepper, olive oil]"
WACKY-BUT-AMAZING-PORK-CHOPS-IN-GRAVY-1377249,WACKY BUT AMAZING PORK CHOPS IN GRAVY,3,5400.0,[Main Dishes],,"[bone-in pork chops, flour, kosher salt, pepper, egg noodles, ketchup, grape jelly, light soy sauce, yellow mustard, worcestershire sauce, garlic, oregano, dried thyme, water, dry red wine, olive oil, butter]"
Southwest-Style-Slow-Cooker-Pork-Chops-1377883,Southwest-Style Slow-Cooker Pork Chops,3,15000.0,[Main Dishes],,"[center cut pork loin chops, seasoning salt, Green Giant™ Steamers™ Niblets® frozen corn, Old El Paso™ Thick 'n Chunky salsa, baked beans]"
Rosemary-Pork-Chops-1365213,Rosemary Pork Chops,3,3000.0,[Main Dishes],,"[olive oil, red wine vinegar, rosemary sprigs, fresh rosemary, light brown sugar, boneless chop pork, salt, freshly ground black pepper, all-purpose flour]"
Kimi_s-Mayonnaise-Pork-Chops-1073705,Kimi's Mayonnaise Pork Chops,3,3300.0,[Main Dishes],,"[pork chops, plain breadcrumbs, parmesan cheese, seasoning, ground black pepper, mayonnaise]"
Pork-Chops-with-Dijon-Mushrooms-1359857,Pork Chops with Dijon Mushrooms,4,1200.0,[Main Dishes],,"[olive oil, fresh mushrooms, boneless chop pork, all-purpose flour, salt, pepper, chicken broth, dijon mustard]"
Tender-Cream-of-Mushroom-Pork-Chops-1243737,Tender Cream of Mushroom Pork Chops,3,29100.0,[Main Dishes],,"[pork chops, onions, condensed cream of mushroom soup, condensed cream of celery soup]"
Succulent-Pork-Chops-Allrecipes_1,Succulent Pork Chops,4,4200.0,[Main Dishes],,"[hoisin sauce, white vinegar, brown sugar, low sodium soy sauce, pork chops]"
Maple-Pork-Chops-1174036,Maple Pork Chops,4,1800.0,[Main Dishes],,"[bone-in pork chops, salt, pepper, vegetable oil, maple syrup, cider vinegar, dijon mustard]"
Parmesan-Baked-Pork-Chops-771715,Parmesan Baked Pork Chops,3,3000.0,[Main Dishes],,"[boneless chop pork, olive oil, parmesan cheese, Italian seasoned breadcrumbs, black pepper, garlic powder]"
Pork-Chop-_-Potato-Bake-1377808,Pork Chop & Potato Bake,3,5400.0,[Main Dishes],,"[pork chops, medium potatoes, onions, flour, butter, milk]"
5-Hour-Ranch-Pork-Chops-1350490,5 Hour Ranch Pork Chops,3,18420.0,[Main Dishes],,"[bone-in pork chops, ranch dressing, black pepper, new potatoes, french onion soup]"
Glazed-Pork-Chops-1303950,Glazed Pork Chops,4,1800.0,[Main Dishes],,"[boneless chop pork, brown sugar, chili powder, garlic powder, paprika, salt, pepper]"
Mustard-Breaded-Pork-Chops-1377981,Mustard Breaded Pork Chops,4,3000.0,[Main Dishes],,"[pork chops, dijon mustard, garlic, olive oil, fresh thyme, panko breadcrumbs, sea salt, black pepper]"
Pork-Chops-_-Stuffing-1370480,Pork Chops & Stuffing,3,4500.0,[Main Dishes],,"[butter, pork, vegetables, meat, chopped onion, melted butter, poultry seasoning, cream of mushroom soup, pork chops, cooking oil, bread crumbs]"
Baked-Pork-Chops-1291119,Baked Pork Chops,4,1800.0,[Main Dishes],,"[paprika, kosher salt, black pepper, bone-in pork chops, olive oil cooking spray]"
Creamy_-Crispy-Pork-Chops_-1341253,"Creamy, Crispy Pork Chops.",4,6300.0,[Main Dishes],,"[boneless chop pork, garlic powder, seasoning salt, eggs, flour, Italian seasoned breadcrumbs, olive oil, cream of mushroom soup, white wine, milk]"
Parmesan-Pork-Chops-1069646,Parmesan Pork Chops,4,3600.0,[Main Dishes],,"[pork chops, mayonnaise, grated parmesan cheese, parsley, pepper, salt]"
Mom_s-Best-Pork-Chops-Allrecipes,Mom's Best Pork Chops,5,5100.0,[Main Dishes],,"[eggs, garlic powder, onion powder, saltines, vegetable oil, pork chops]"
Parmesan-Baked-Pork-Chops-1261843,Parmesan Baked Pork Chops,3,3000.0,[Main Dishes],,"[boneless chop pork, olive oil, parmesan cheese, Italian seasoned breadcrumbs, black pepper, garlic powder]"
Cola-Onion-Pork-Chops-Allrecipes,Cola Onion Pork Chops,4,3900.0,[Main Dishes],,"[boneless chop pork, cola-flavored carbonated beverage, onion soup mix]"
Dijon-Parmesan-Pork-Chops-1205806,Dijon Parmesan Pork Chops,4,2700.0,[Main Dishes],,"[boneless chop pork, canola oil, Italian seasoned breadcrumbs, grated parmesan cheese, salt, pepper, eggs, dijon mustard]"
Cranberry-Pork-Chops-1323863,Cranberry Pork Chops,4,2400.0,[Main Dishes],,"[pork chops, salt, pepper, fresh thyme, olive oil, chicken stock, dijon mustard, whole cranberry sauce, flat leaf parsley]"
Crockpot-Pork-Chops-1089676,Crockpot Pork Chops,4,25500.0,[Main Dishes],,"[boneless chop pork, light brown sugar, ketchup, low sodium soy sauce, chile paste, minced garlic, black pepper, kosher salt, corn starch]"
Perfect-Pork-Chops-1007567,Perfect Pork Chops,4,2700.0,[Main Dishes],,"[vegetable oil, center cut pork chops, butter, garlic cloves, fresh thyme]"
