id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Easy-Roast-Chicken-1375115,Easy Roast Chicken,4,6300.0,[Main Dishes],,"[chicken, lemon, herbs, pepper, salt, rosemary sprigs]"
Easy-Roast-Chicken-1375083,Easy Roast Chicken,4,4800.0,[Main Dishes],,"[chicken, butter, italian seasoning, fresh parsley, garlic, salt, pepper]"
Roast-Chicken-1342931,Roast Chicken,4,4800.0,[Main Dishes],,"[chicken, butter, lemon, rosemary, salt, pepper]"
Thai-Roast-Chicken-1377272,Thai Roast Chicken,3,9000.0,[Main Dishes],,"[lemongrass, ginger, spring onions, red chili peppers, chillies, green chilies, ground turmeric, oil, chicken]"
Roast-Chicken-with-Burnt-Lemon-1380273,Roast Chicken with Burnt Lemon,4,5100.0,[Main Dishes],,"[roasting chickens, olive oil, salt, pepper, lemon]"
Sunday-Roast-Chicken-1379287,Sunday Roast Chicken,3,4200.0,[Main Dishes],,"[chicken, salted butter, sea salt, black pepper, extra-virgin olive oil, lemon, onions, garlic, lemon zest, fresh parsley]"
Perfect-roast-chicken-345381,Perfect Roast Chicken,5,4200.0,[Main Dishes],,"[chicken, sea salt, ground black pepper, fresh thyme, lemon, garlic, olive oil, onions]"
Classic-Roast-Chicken-1365985,Classic Roast Chicken,3,6300.0,[Main Dishes],,"[whole chicken, lemon, onions, garlic cloves, rosemary, olive oil, carrots, celery stick, white wine, plain flour, softened butter, chicken stock, redcurrant jelly]"
Whole-Roast-Chicken-1369100,Whole Roast Chicken,4,5100.0,[Main Dishes],,"[roasting chickens, butter, garlic, rosemary, thyme, salt, pepper]"
Marcella-Hazans-Roast-Chicken-With-Lemons-1378237,Marcella Hazan’s Roast Chicken With Lemons,3,6300.0,[Main Dishes],,"[chicken, salt, black pepper, lemon]"
Perfect-Roast-Chicken-1148308,Perfect Roast Chicken,4,2400.0,[Main Dishes],,"[roasting chickens, ground black pepper, kosher salt, lemon, garlic, butter]"
Easy-Roast-Chicken-1365960,Easy Roast Chicken,4,4800.0,[Main Dishes],,"[chicken, butter, italian seasoning, fresh parsley, garlic, salt, pepper]"
How-to-make-roast-chicken-306911,How to Make Roast Chicken,5,4200.0,[Main Dishes],,"[chicken, kosher salt, ground black pepper, lemon, fresh herbs, olive oil]"
Apple-_-Herb-Roast-Chicken-1375551,Apple & Herb Roast Chicken,4,4200.0,[Main Dishes],,"[roasting chickens, apples, onions, poultry seasoning, ghee, coarse sea salt, pepper]"
Birthday-Lemon-Roast-Chicken-1348572,Birthday Lemon Roast Chicken,3,2400.0,[Main Dishes],,"[chicken breasts, garlic cloves, lemon, thyme, chicken broth, olive oil, salt, pepper]"
Easy-Roast-Chicken-1370503,Easy Roast Chicken,4,6600.0,[Main Dishes],,"[roasting chickens, kosher salt, black pepper, lemon, garlic, unsalted butter, fresh herbs, meat]"
Roast-Provencal-Chicken-1036055,Roast Provençal Chicken,3,4800.0,[Main Dishes],,"[garlic cloves, herbes de provence, olive oil, kosher salt, ground black pepper, chicken, lemon wedge]"
Roast-Chicken-1055863,Roast Chicken,4,6300.0,[Main Dishes],,"[roasting chickens, softened butter, lemon, rosemary sprigs, tarragon, pepper, salt]"
Roast-Provencal-Chicken-1377547,Roast Provençal Chicken,3,5400.0,[Main Dishes],,"[garlic cloves, herbes de provence, olive oil, kosher salt, freshly ground black pepper, chicken, lemon wedge]"
Balsamic-Roast-Chicken-979810,Balsamic Roast Chicken,4,6300.0,[Main Dishes],,"[chicken, fresh rosemary, garlic cloves, olive oil, ground black pepper, balsamic vinegar, brown sugar]"
Roast-chicken-with-rosemary-and-lemon-352060,Roast Chicken with Rosemary and Lemon,5,5400.0,[Main Dishes],,"[chicken, onions, garlic, lemon, rosemary, herbes de provence, salt, pepper]"
Pasture-Raised-Whole-Roast-Chicken-1372734,Pasture-Raised Whole Roast Chicken,4,13200.0,[Main Dishes],,"[chicken, extra-virgin olive oil, sea salt, pepper, homemade chicken broth, carrots, onions]"
Whole-Roast-Chicken-1113564,Whole Roast Chicken,4,6000.0,[Main Dishes],,"[whole chicken, clove, dried rosemary, unsalted butter, salt, pepper, garlic, lemon, onions, potatoes, olive oil]"
Roast-Chicken-1338615,Roast Chicken,3,5700.0,[Main Dishes],,"[whole chicken, kosher salt, lemon, pepper, dried rosemary, olive oil, butter]"
Roast-Chicken-Potatoes-and-Carrots-1368373,Roast Chicken Potatoes and Carrots,4,1800.0,,,"[chicken, herbes de provence, potatoes, carrots, lemon, thyme, olive oil, garlic, salt, pepper]"
Easiest-Whole-Roast-Chicken-1001517,Easiest Whole Roast Chicken,3,3300.0,[Main Dishes],,"[chicken, olive oil, salt, pepper, fresh herbs, potatoes, carrots, onions]"
Roast-Chicken-1308828,Roast Chicken,4,6300.0,[Main Dishes],,"[chicken, butter, lemon, fresh rosemary, salt, pepper, carrots, onions, potatoes, chicken gravy]"
