id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Autumn-Chopped-Salad-1363187,Autumn Chopped Salad,4,1200.0,[Salads],,"[romaine lettuce, lettuce, gala apples, dried cranberries, chopped pecans, bacon, feta cheese, poppy seed dressing]"
The-Classic-Caprese-Salad-Recipe-An-All-Rounder_-1379649,The Classic Caprese Salad Recipe — An All Rounder!,3,1200.0,[Appetizers],,"[tomatoes, mozzarella cheese, basil leaves, olive oil, balsamic vinegar, salt]"
Kale-Salad-With-Roasted-Delicata-Squash_-Chevre_-Dried-Cranberries-And-Spiced-Pecans-1357029,"Kale Salad With Roasted Delicata Squash, Chevre, Dried Cranberries And Spiced Pecans",4,2400.0,,,"[delicata squash, extra-virgin olive oil, coarse kosher salt, freshly ground pepper, kale leaves, sherry, fresh chevre, cranberries, pecans]"
Holiday-Honeycrisp-Salad-1365517,Holiday Honeycrisp Salad,4,900.0,[Salads],,"[extra-virgin olive oil, apple cider vinegar, unsweetened apple juice, honey, lemon juice, salt, freshly ground black pepper, Honeycrisp apples, lemon, salad greens, pecan halves, dried cranberries, crumbled blue cheese]"
Roasted-Beet-and-Apple-Salad-1375078,Roasted Beet and Apple Salad,4,3300.0,[Salads],,"[beets, apples, olive oil, salt, pepper, walnuts, feta cheese, dijon mustard, maple syrup, wine vinegar]"
Southwestern-Bean-Salad-1373976,Southwestern Bean Salad,4,600.0,,[Southwestern],"[pinto beans, kidney beans, corn, green chile, chicken, onions, salsa, chili powder, cumin]"
Cobb-Salad-1372709,Cobb Salad,4,1800.0,[Salads],,"[lettuce, cooked chicken, bacon, hard-boiled egg, avocado, grape tomatoes, crumbled blue cheese, pepper, blue cheese dressing]"
Harvest-Quinoa-Salad-1371893,Harvest Quinoa Salad,4,2100.0,[Salads],,"[tricolor quinoa, butternut squash, apples, green onions, baby kale, dried cranberries, toasted slivered almonds, pepitas, salt, pepper, salad, vinaigrette]"
BLT_-Egg-and-Avocado-Salad-1375563,"BLT, Egg and Avocado Salad",4,1200.0,[Salads],,"[romaine lettuce, boiled eggs, avocado, bacon, plum tomatoes, reduced fat ranch dressing, salt, pepper]"
Broccoli-Salad-1375769,Broccoli Salad,4,1200.0,[Salads],,"[broccoli florets, purple onion, raisins, toasted walnuts, reduced fat mayonnaise, fat free greek yogurt, red wine vinegar, sugar]"
Tomato-Cucumber-Salad-1363826,Tomato Cucumber Salad,4,3000.0,[Salads],,"[tomatoes, cucumber, kalamata, feta cheese, fresh dill]"
Honeycrisp-Apple-Pecan-Salad-with-an-Apple-Cider-Vinaigrette-1363917,Honeycrisp Apple Pecan Salad with an Apple Cider Vinaigrette,4,900.0,[Salads],,"[Honeycrisp apples, pecans, dried cranberries, crumbled goat cheese, chicken, mixed greens, apple cider vinegar, honey, olive oil, honey mustard, salt, pepper]"
Potstickers-Asian-Chopped-Salad-1372081,Potstickers Asian Chopped Salad,4,900.0,[Salads],,"[chicken, slaw mix, cilantro, sliced almonds, sliced green onions, sauce, olive oil, peanut butter, soy sauce]"
Perfect-Pasta-Salad-Toss-1379492,Perfect Pasta Salad Toss,4,2400.0,[Salads],,"[penn pasta, cook and drain, sliced salami, roast red peppers, drain, artichoke hearts, pitted kalamata olives, fresh basil leaves, caesar salad dressing, Sargento® Artisan Blends® Shredded Parmesan Cheese, romaine lettuce leaves]"
Make-Ahead-Creamy-Cucumber-Salad-1366177,Make Ahead Creamy Cucumber Salad,4,2100.0,[Salads],,"[english cucumber, onions, sour cream, lemon juice, sugar, dill, pepper]"
Corn_-Avocado_-and-Tomato-Salad-1362882,"Corn, Avocado, and Tomato Salad",4,2400.0,[Salads],,"[corn, avocado, cherry tomatoes, diced red onions, olive oil, lime zest, fresh lime juice, chopped cilantro, salt, pepper]"
The-original-potato-salad-303892,The Original Potato Salad,4,1500.0,"[Salads, Side Dishes]",,"[potatoes, hellmann' or best food real mayonnais, red vinegar white white, wine,, salt, sugar, ground black pepper, celery, onions, eggs]"
BLT-Caesar-Salad-1353475,BLT Caesar Salad,3,600.0,[Salads],,"[bacon, caesar salad dressing, romaine lettuce, cherry tomatoes, shredded parmesan cheese, croutons]"
Bacon_-Onion_-and-Tomato-Salad-1365758,"Bacon, Onion, and Tomato Salad",3,1200.0,[Salads],,"[large tomato, sweet onion, bacon, olive oil, onion powder, garlic powder, italian seasoning, sugar, red wine vinegar, salt]"
Chef-Salad-1368737,Chef Salad,4,1200.0,[Salads],,"[romaine lettuce, honey glazed ham, roast turkey, tomatoes, hard-boiled egg, shredded cheddar cheese, cucumber, mayonnaise, prepared mustard, honey, poppy seed dressing]"
