id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Steak-Bites-1353195,Steak Bites,4,44100.0,,,"[rib eye steaks, kosher salt, ground black pepper, fresh thyme, unsalted butter]"
Steak-Bites-1283837,Steak Bites,4,900.0,,,"[sirloin steak, kosher salt, ground black pepper, butter]"
Herb-Crusted-Strip-Steak-1373651,Herb Crusted Strip Steak,4,2100.0,[Main Dishes],,"[new york strip steaks, olive oil, salt, steak]"
Classic-Pan-Seared-Rib-Eye-Steak-1363563,Classic Pan-Seared Rib-Eye Steak,4,1800.0,[Main Dishes],,"[rib eye steaks, peanut oil, coarse kosher salt, cracked black pepper, thyme sprigs, garlic cloves, butter]"
Slow-Cooked-Steak-with-Creamy-Mushroom-Sauce-1376774,Slow Cooked Steak with Creamy Mushroom Sauce,4,18300.0,[Main Dishes],,"[beef steak, beef stock, cooking cream, mushrooms, corn flour]"
Spicy-Cuban-Flank-Steak-1373998,Spicy Cuban Flank Steak,3,33600.0,[Main Dishes],[Cuban],"[onions, ground cumin, ground black pepper, granulated garlic, onion powder, dried oregano, crushed red pepper, salt, flank steak, low sodium beef broth, lime juice, french rolls, relish]"
Savory-Garlic-Marinated-Steaks-1342060,Savory Garlic Marinated Steaks,4,1800.0,[Main Dishes],,"[balsamic vinegar, soy sauce, minced garlic, honey, olive oil, ground black pepper, worcestershire sauce, onion powder, salt, flavoring, cayenne pepper, rib eye steaks]"
Tuna-Steak-1341169,Tuna Steak,4,600.0,[Main Dishes],,"[tuna steaks, kosher salt, black pepper, coconut oil]"
The-Perfect-Steak-1376740,The Perfect Steak,3,3000.0,[Main Dishes],[Barbecue],"[steak, garlic, worcestershire sauce, balsamic vinegar, freshly ground pepper, dijon mustard, soy sauce, olive oil]"
Pan-Fried-Ribeye-Steak-1337837,Pan-Fried Ribeye Steak,4,900.0,[Main Dishes],,"[rib eye steaks, Lawrys Seasoned Salt, lemon, kosher salt, ground black pepper, olive oil, butter]"
Spanish-Steaks-1357638,Spanish Steaks,4,6300.0,[Main Dishes],,"[steak, salt, freshly ground black pepper, garlic, yellow onion, yellow bell pepper, lemon, ketchup, worcestershire sauce, water]"
Brazilian-Skirt-Steak-with-Golden-Garlic-Butter-1360703,Brazilian Skirt Steak with Golden Garlic Butter,3,1800.0,[Main Dishes],,"[garlic, kosher salt, skirt steak, freshly ground black pepper, canola oil, unsalted butter, flat leaf parsley]"
Butter-Steak-1123535,Butter Steak,3,,,,"[rib eye steaks, garlic, coarse sea salt, cracked black pepper, paprika, butter, fresh parsley]"
Garlic-Stuffed-Flank-Steak-1332391,Garlic Stuffed Flank Steak,4,3000.0,[Main Dishes],,"[olive oil, flank steak, cream cheese, seasoning, pepper, baby spinach, red pepper]"
Black-Pepper-Crusted-Steak-1376527,Black Pepper Crusted Steak,4,1500.0,[Main Dishes],,"[lean steak, freshly ground black pepper, worcestershire sauce, salt]"
Skirt-Steak-969803,Skirt Steak,4,2160.0,[Main Dishes],,"[skirt steak, extra-virgin olive oil, soy sauce, ground ginger, garlic powder, pepper, rice vinegar]"
Six-Minute-Seared-Ahi-Tuna-Steaks-1377630,Six-Minute Seared Ahi Tuna Steaks,4,360.0,[Main Dishes],,"[ahi tuna steaks, soy sauce, olive oil, salt, black pepper, cayenne pepper, green onions, salad greens]"
Oven-Grilled-Steak-1363237,Oven Grilled Steak,4,1800.0,[Main Dishes],,"[top sirloin steak, olive oil, coarse sea salt, ground pepper]"
Butter-Steak-1104268,Butter Steak,3,1200.0,[Main Dishes],,"[rib eye steaks, garlic, coarse sea salt, cracked black pepper, paprika, Challenge Butter, fresh parsley]"
The-Best-Pepper-Steak-517856,The Best Pepper Steak,4,1380.0,,,"[prime rib steaks, brown sugar, coars ground black pepper, mustard powder, soy sauce, oil]"
Spanish-Steak-1335948,Spanish Steak,4,4500.0,[Main Dishes],,"[round steaks, tomato soup, onions, carrots, green pepper]"
Steak-Frites-1286766,Steak Frites,4,1800.0,,,"[steak, garlic, potatoes, olive oil, butter, salt, pepper]"
Chicken-Fried-Steak-StripsYum-1371523,Chicken Fried Steak StripsYum,4,1800.0,[Main Dishes],,"[steak, whole wheat flour, garlic powder, milk, oil]"
Porterhouse-Steak-442002,Porterhouse Steak,5,3000.0,[Main Dishes],,"[porterhouse steaks, olive oil, ground black pepper, salt]"
Grilled-Steak-1058974,Grilled Steak,4,2520.0,[Main Dishes],[Barbecue],"[steak, coarse salt, ground black pepper, olive oil]"
Buttered-Steak-592549,Buttered Steak,4,1500.0,[Main Dishes],,"[salted butter, chopped fresh herbs, vegetable oil, boneless rib eye steaks, ground pepper, coarse salt]"
Herbed-Halibut-Steaks-1370384,Herbed Halibut Steaks,4,1500.0,[Main Dishes],,"[halibut steak, olive oil, salt, lemon, fish]"
Swiss-steaks-350929,Swiss Steaks,5,15600.0,[Main Dishes],,"[diced tomatoes, worcestershire sauce, green bell pepper, yellow onion, garlic, dried thyme, round steaks, sea salt, black pepper, flour]"
Pepper-steak-351932,Pepper Steak,5,600.0,[Main Dishes],,"[fat, top round steak, soy sauce, rice wine, corn starch, vegetable oil, onions, bell pepper, black pepper, crushed red pepper flakes]"
Perfect-Pan-Seared-Steak-1353840,Perfect Pan-Seared Steak,4,600.0,[Main Dishes],,"[boneless rib eye steaks, salt, ground black pepper, extra-virgin olive oil, butter, garlic cloves, fresh parsley, stock, wine, potato wedges]"
Cowboy-Steak-990081,Cowboy Steak,4,2400.0,[Main Dishes],,"[bone-in ribeye steak, kosher salt, black pepper, unsalted butter, canola oil, sliced shallots]"
Steak-Pie-1358934,Steak Pie,3,1800.0,[Main Dishes],,"[stewing steak, freshly ground black pepper, plain flour, olive oil, onions, fresh parsley, chopped fresh thyme, salt, beef stock, shortcrust pastry, free-range eggs]"
Steak-caprese-371780,Steak Caprese,5,1500.0,[Main Dishes],,"[boneless steak, olive oil, cherry tomatoes, mozzarella balls, fresh basil leaves, salt, pepper]"
Crazy-Quick-Chicken-Fried-Steak-1299979,Crazy-Quick Chicken Fried Steak,3,1500.0,[Main Dishes],,"[steak, eggs, milk, flour, salt, pepper, oil]"
Steak-1019998,Steak,5,2400.0,[Main Dishes],[Barbecue],"[skirt steak, kosher salt, brown sugar, paprika, cayenne pepper, ground black pepper, vegetable oil, purple onion, sherry vinegar, cherry tomatoes, celery heart, green olives, olive brine, prepared horseradish, worcestershire sauce, hot pepper sauce, celery seed, extra-virgin olive oil]"
Country-Fried-Steak-1321518,Country Fried Steak,4,900.0,[Main Dishes],,"[cube steaks, salt, all-purpose flour, cooking oil]"
Flank-Steak-Pinwheels-1356644,Flank Steak Pinwheels,4,2580.0,,,"[flank steak, mozzarella cheese, fresh spinach, italian seasoning]"
Crockpot-Pepper-Steak-1337454,Crockpot Pepper Steak,3,3900.0,[Main Dishes],,"[round steaks, vegetable oil, soy sauce, onions, garlic cloves, granulated sugar, salt, pepper, ground ginger, tomatoes, green bell pepper, cold water, corn starch, cooked rice]"
