id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Ramen-Stir-Fry-1352445,Ramen Stir-Fry,3,1500.0,[Main Dishes],,"[boneless sirloin, vegetable oil, water, ramen soup mix, stir fry vegetable blend, stir fry sauce]"
Easiest-Ever-Stir-Fry-1255321,Easiest Ever Stir Fry,4,2100.0,[Main Dishes],,"[brown rice, water, canola oil, boneless skinless chicken breasts, salt, pepper, stir fry vegetable blend, stir fry sauce]"
Chicken-Vegetable-Stir-Fry-1356240,Chicken Vegetable Stir Fry,4,1500.0,[Main Dishes],,"[skinless chicken breasts, frozen stir fry vegetable blend, avocado oil, low sodium chicken broth, low sodium soy sauce, corn starch, salt, pepper, brown rice]"
Asian-stir-fry-303637,Asian Stir-fry,4,1200.0,,[Asian],"[boneless sirloin steak, ground ginger, stir fry vegetable blend, knorr classic brown gravi mix, water, soy sauce, balsamic vinegar]"
Gluten-Free-Beef-and-Broccoli-Stir-Fry-1362456,Gluten Free Beef and Broccoli Stir Fry,4,4500.0,[Main Dishes],[Asian],"[stir fry beef meat, water, gluten free soy sauce, garlic, ground pepper, oil, broccoli florets, onions, carrots, cold water, brown sugar, ground ginger, sesame oil, red pepper flakes, corn starch, toasted sesame seeds]"
Tangerine-Beef-Stir-Fry-1369287,Tangerine Beef Stir-Fry,3,1500.0,[Main Dishes],,"[top sirloin, tangerine juice, soy sauce, garlic, beef broth, broccoli florets, green onions, napa cabbage, tangerine, stir fry noodles]"
Simple-Stir-Fry-1333885,Simple Stir Fry,4,1800.0,[Main Dishes],,"[chicken breasts, olive oil, buckwheat soba noodles, stir fry vegetable blend, stir fry sauce, hot sauce, seaweed]"
Chicken-Stir-Fry-1354546,Chicken Stir-Fry,4,2700.0,[Main Dishes],,"[boneless skinless chicken breasts, broccoli, carrots, sugar pea, onions, soy sauce, orange juice, red wine vinegar, coconut sugar, sesame oil, red pepper flakes, corn starch, black pepper, garlic powder, ginger, water]"
Asian-Beef-Stir-Fry-1218575,Asian Beef Stir-Fry,3,1800.0,[Main Dishes],,"[quick cooking brown rice, boneless beef sirloin steak, minced garlic, frozen stir fry vegetable blend, toasted sesame dressing, light soy sauce]"
Easy-Shrimp-and-Broccoli-Stir-Fry-1362690,Easy Shrimp and Broccoli Stir Fry,4,1200.0,[Main Dishes],[Asian],"[olive oil, medium shrimp, broccoli florets, sesame seeds, green onions, reduced sodium soy sauce, oyster sauce, rice vinegar, brown sugar, ginger, garlic, sesame oil, corn starch, Sriracha]"
Savory-Vegetable-Stir-Fry-1359399,Savory Vegetable Stir Fry,4,1800.0,[Main Dishes],[Asian],"[soba noodles, purple onion, cabbage, shiitake, red bell pepper, broccoli florets, garlic, fresh ginger, reduced sodium soy sauce, olive oil, sesame oil, rice vinegar, corn starch, peanut butter, red pepper flakes]"
Spicy-Cauliflower-Stir-Fry-1289632,Spicy Cauliflower Stir-Fry,4,1800.0,,,"[head cauliflower, vegetable oil, garlic, soy sauce, lime, green onions, Sriracha, lime wedges]"
Low-Calorie-Noodle-Stir-Fry-1359337,Low Calorie Noodle Stir Fry,4,1800.0,,[Asian],"[shirataki, vegetables, cold water, corn starch, low sodium soy sauce, balsamic vinegar]"
Spinach_-Tofu-and-Sesame-Stir-Fry-1372530,"Spinach, Tofu and Sesame Stir-Fry",3,1200.0,[Main Dishes],[Asian],"[canola oil, tofu, large garlic cloves, fresh ginger, crushed red pepper flakes, soy sauce, baby spinach, toasted sesame seeds, sesame oil]"
Brussel-Sprout-Stir-Fry-1375919,Brussel Sprout Stir Fry,4,2700.0,[Side Dishes],,"[brussels sprouts, finely chopped onion, garlic cloves, ginger, red chili powder, ground turmeric, cumin seed, oil, salt, lemon juice]"
Asian-Beef-Vegetable-Stir-Fry-1303738,Asian Beef Vegetable Stir Fry,5,1800.0,[Main Dishes],[Asian],"[boneless beef top sirloin steaks, assorted fresh vegetables, garlic, stir fry sauce, crushed red pepper, cooked rice, unsalted dry roast peanuts]"
Ultimate-Chicken-Stir-fry-1344525,Ultimate Chicken Stir-fry,3,1800.0,[Main Dishes],[Asian],"[unsalted cashews, oil, chicken breasts, mushrooms, carrots, water chestnuts, chili oil, garlic, minced ginger, spring onions, soy sauce, water, corn starch, cooked white rice]"
Chicken-Stir-Fry-1028413,Chicken Stir Fry,3,2100.0,[Main Dishes],,"[boneless skinless chicken, frozen vegetables, cauliflower, carrots, broccoli, wok oil, stir fry sauce, mushrooms, sweet and sour sauce]"
Ramen-Noodle-Stir-Fry-1199383,Ramen Noodle Stir Fry,4,1800.0,[Main Dishes],,"[beef ramen noodles, ground beef, frozen stir fry vegetable blend, soy sauce, water]"
Beef-Broccoli-Stir-Fry-1353503,Beef Broccoli Stir-Fry,3,2100.0,[Main Dishes],[Asian],"[low sodium chicken broth, reduced sodium soy sauce, brown sugar, garlic, fresh ginger, corn starch, crushed red pepper flakes, top sirloin steak, broccoli florets, water, oil]"
Broccoli-Beef-Stir-Fry-1379322,Broccoli Beef Stir Fry,4,3900.0,[Main Dishes],,"[sirloin steak, canola oil, water, low sodium soy sauce, balsamic vinegar, fresh lemon juice, worcestershire sauce, yellow mustard, garlic, black pepper, toasted sesame oil, broccoli, red bell pepper, asparagus, mushrooms, carrots, ground ginger, brown sugar, corn starch]"
Quorn-Stir-Fry-754915,Quorn Stir Fry,4,1200.0,[Main Dishes],,"[chicken, mushrooms, fried rice, soy sauce]"
Honey-Chicken-Stir_fry-TasteOfHome,Honey Chicken Stir-Fry,5,1800.0,[Main Dishes],,"[corn starch, cold water, olive oil, boneless skinless chicken breasts, garlic cloves, honey, reduced sodium soy sauce, salt, pepper, stir fry vegetable blend, cooked rice]"
Dustins-Stir-fry-1237015,Dustin’s Stir-fry,4,1800.0,[Main Dishes],,"[chicken breasts, pepper, stir fry vegetable blend, seasoning salt, garlic powder, red pepper flakes, soy sauce]"
Chicken-and-Asparagus-Stir-Fry-1358763,Chicken and Asparagus Stir Fry,4,1500.0,[Main Dishes],,"[boneless skinless chicken breasts, asparagus, toasted sesame oil, honey, red pepper flakes, reduced sodium soy sauce, garlic cloves, green onions, sesame seeds, lime]"
Beef-and-asparagus-stir-fry-370727,Beef and Asparagus Stir Fry,5,1800.0,[Main Dishes],,"[steak, soy sauce, corn starch, dry sherry, ginger, chili oil, canola oil, garlic, red pepper, asparagus, black bean stir fry sauce]"
Shanghai-Meatball-Stir-Fry-986678,Shanghai Meatball Stir Fry,4,1500.0,[Main Dishes],,"[oil, stir fry kit, water chestnuts, cooked quinoa, meatballs]"
Beef-and-Broccoli-Stir-Fry-1336764,Beef and Broccoli Stir-Fry,3,2100.0,[Main Dishes],,"[steak, soy sauce, oyster sauce, sugar, peanut oil, broccoli florets]"
Bison-Steak-_-Vegetable-Stir-Fry-1361982,Bison Steak & Vegetable Stir Fry,3,2100.0,[Main Dishes],,"[top sirloin steak, green bell pepper, slice, yellow bell pepper, red bell pepper, onions, broccoli florets, oil, steak, seasoning, water, soy sauce, corn starch, ginger, garlic, pepper]"
Ground-Beef-and-Kale-Stir-Fry-1378910,Ground Beef and Kale Stir-Fry,4,1800.0,[Main Dishes],,"[brown rice, beef broth, soy sauce, rice vinegar, toasted sesame oil, ground ginger, garlic, sugar, lean ground beef, kale, red cabbage, carrots]"
