id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Lunch-Time-Tacos-II-1372627,Lunch Time Tacos II,4,1800.0,[Main Dishes],,"[ground beef, chipotle, taco shells, romaine lettuce, bell pepper, shredded mozzarella cheese, hot sauce]"
Ground-Chicken-Tacos-1379953,Ground Chicken Tacos,4,3000.0,[Main Dishes],,"[olive oil, onions, garlic cloves, ground chicken, paprika, chili powder, ground cumin, dried oregano, cayenne pepper, salt, tomato sauce, chopped cilantro fresh, taco shells, shredded lettuce, shredded cheese]"
Oven-Crispy-Fish-Tacos-1377456,Oven-Crispy Fish Tacos,4,1800.0,[Main Dishes],,"[fish fillets, whole wheat white flour, egg whites, cornmeal, whole wheat breadcrumbs, lime juice, taco seasoning, corn tortillas, shredded lettuce, salsa, medium tomatoes, greek yogurt]"
Terrific-Tacos-In-Minutes-1359140,Terrific Tacos In Minutes,3,1800.0,[Main Dishes],,"[canola oil, onions, ground beef, garlic cloves, chili powder, cumin, ground coriander, salt, pepper, tomato sauce, jalapeno chilies, taco shells, taco toppings]"
Crock-Pot-Tex-Mex-Chicken-Tacos-1365597,Crock Pot Tex Mex Chicken Tacos,4,14700.0,[Main Dishes],,"[chicken breasts, salsa, beans, black beans, mexicorn, taco seasoning, shredded cheese, tortillas]"
Chicken-Tacos-Once-Upon-A-Chef-199931,Chicken Tacos,5,1800.0,"[Lunch and Snacks, Main Dishes]",,"[olive oil, yellow onion, red bell pepper, green bell pepper, garlic, ground chicken, paprika, ancho powder, ground cumin, dried oregano, cayenne pepper, salt, tomato sauce, chopped cilantro fresh, taco shells, shredded lettuce, Mexican cheese blend]"
Double-Decker-Tacos-1349380,Double Decker Tacos,4,2400.0,[Main Dishes],[Mexican],"[ground beef, finely chopped onion, tomato sauce, fresh cilantro, ground cumin, garlic powder, chili powder, lime, salt, pepper, taco shells, flour tortillas, refried beans, chees fresco queso, romaine lettuce, diced tomatoes, chopped cilantro]"
Baked-Tacos-1105408,Baked Tacos,4,2100.0,[Main Dishes],[Mexican],"[ground beef, dried minced onion, chili powder, corn starch, garlic powder, ground cumin, dried oregano, cayenne pepper, tomato sauce, refried beans, colby jack cheese, taco shells, condiments, lettuce, tomatoes, salsa, guacamole]"
Chicken-Tacos-1345859,Chicken Tacos,3,1200.0,[Main Dishes],[Mexican],"[rotisserie chicken, salsa verde, taco shells, shredded cheddar cheese, fresh cilantro, sour cream, avocado, lime]"
Verde-Pork-Street-Tacos-1294693,Verde Pork Street Tacos,3,4500.0,[Main Dishes],,"[Mission® White Corn Tortillas, pork shoulder roast, salsa verde, purple onion, red wine vinegar, granulated sugar, chihuahua cheese, cilantro, ground black pepper]"
