id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Simple-Apple-Tart-1368386,Simple Apple Tart,4,2400.0,[Desserts],,"[pie crust, apples, tart apples, melted butter, turbinado, apple pie spice]",tart
Fresh-Fruit-Tarts-1374898,Fresh Fruit Tarts,4,9000.0,[Desserts],,"[flour, sugar, salt, butter, eggs, milk, large egg yolks, corn starch, whole milk, vanilla, fruit]",tart
Lemon-Tart-1369745,Lemon Tart,4,6300.0,"[Desserts, Afternoon Tea]",,"[unsalted butter, powdered sugar, kosher salt, all-purpose flour, large eggs, vanilla extract, tart shells, sugar, fresh lemon juice, grated lemon zest, heavy cream]",tart
Spinach_-Artichoke_-Brie_-and-Sundried-Tomato-Stuffing-1379178,"Spinach, Artichoke, Brie, and Sundried Tomato Stuffing",4,5400.0,[Side Dishes],,"[extra-virgin olive oil, frozen spinach, yellow onion, garlic, fresh thyme, fresh rosemary, salt, freshly ground black pepper, artichoke hearts, sun-dried tomatoes, large eggs, and fat free half half, vegetable broth, lemon juice, french bread, brie cheese, freshly grated parmesan, fresh parsley leaves]",tart
Holly-Tarts-_for-the-Holidays_-1376756,Holly Tarts [for the Holidays],4,1500.0,[Desserts],,"[tart shells, cream cheese, sweetened condensed milk, lemon juice, raspberries, fresh mint, berry preserves]",tart
Mini-Apple-Tarts-1375415,Mini Apple Tarts,3,1020.0,[Desserts],,"[tart shells, granny smith apples, lemon, butter, brown sugar, caramel ice cream topping, whipped cream]",tart
Lemon-Tartlets-1373072,Lemon Tartlets,4,2700.0,[Desserts],,"[butter, sugar, egg whites, flour, eggs, lemon zest, lemon juice, powdered sugar]",tart
Mixed-Nut-Tarts-1374998,Mixed Nut Tarts,4,2100.0,[Desserts],,"[unsalted butter, brown sugar, sugar, heavy cream, honey, vanilla, mini phyllo dough shells]",tart
Red-Berry-and-Frangipane-Tarts-1375554,Red Berry and Frangipane Tarts,4,1500.0,[Desserts],,"[flour, powdered sugar, butter, lemon zest, vanilla essence, small eggs, sugar, eggs, ground almonds, almond extract, raspberries, sliced almonds]",tart
Lemon-Tart-510460,Lemon Tart,5,,,,"[lemon juice, lemon, sugar, butter, large eggs, large egg yolks, tart shells]",tart
Whole-lemon-tart-307092,Whole Lemon Tart,5,3300.0,[Desserts],,"[tart shells, lemon, sugar, unsalted butter, large eggs, corn starch, table salt]",tart
White-Chocolate-and-Blueberry-Tarts-1356949,White Chocolate and Blueberry Tarts,4,2100.0,[Desserts],,"[tart shells, white chocolate, cream, blueberries, powdered sugar]",tart
Butter-Tarts-Allrecipes,Butter Tarts,5,3000.0,[Desserts],,"[brown sugar, eggs, butter, raisins, heavy cream, chopped walnuts, tart shells]",tart
No-Bake-Dark-Chocolate-Cherry-Tart-1344366,No-Bake Dark Chocolate Cherry Tart,3,3000.0,[Desserts],,"[Ghirardelli® Unsweetened Cocoa Powder, graham cracker crumbs, butter, Ghirardelli 100% Cacao Unsweetened Chocolate Baking Bar, Ghirardelli 60% Cacoa Bittersweet Chocolate Baking Chips, heavy cream, confectioners sugar, morello cherries, heavy whipping cream, cream cheese, cherries, cacao]",tart
Tarte-Aux-Pommes-1367642,Tarte Aux Pommes,4,4500.0,[Desserts],,"[apples, lemon, sugar, water, butter, glaze, tart shells, apricot preserves]",tart
Flaky-French-Pastry-Shop-Apple-Tart-1377806,Flaky French Pastry Shop Apple Tart,3,4200.0,[Desserts],,"[butter, sugar, vanilla extract, flour, cream cheese, eggs, apples, cinnamon]",tart
Spicy-Sausage-_-Cheese-Tarts-1375828,Spicy Sausage & Cheese Tarts,4,1500.0,[Appetizers],,"[pork sausages, shredded cheddar cheese, spicy ranch salad dressing, mini phyllo dough shells]",tart
Cinnamon-Ginger-Kabocha-Squash-Soup-with-Tart-Cherry-Drizzle-1373409,Cinnamon Ginger Kabocha Squash Soup with Tart Cherry Drizzle,4,5400.0,[Soups],,"[kabocha squash, coconut oil, small yellow onion, garlic, fresh ginger, cinnamon, red pepper flakes, chicken broth, 2% reduced-fat milk, tart cherries, pecans, dried tart cherries]",tart
Apricot-Tart-Tatin-1365635,Apricot Tart Tatin,4,4800.0,[Desserts],,"[flour, butter, salt, water, apricots, brown sugar]",tart
Rustic-Peach-Tart-1353474,Rustic Peach Tart,3,5100.0,[Desserts],,"[all-purpose flour, salt, unsalted butter, cold water, peaches, sugar, fresh lime juice, corn starch, eggs, apricot preserves, water]",tart
Little-Chick-Lemon-Tarts-1360674,Little Chick Lemon Tarts,4,3000.0,[Desserts],,"[white sugar, eggs, fresh lemon juice, lemon, butter, tart shells, mini candy button eyes, candy sprinkles, sprinkles, orange]",tart
Over-the-Top-Mini-Pecan-Pie-Tarts-1375096,Over the Top Mini Pecan Pie Tarts,4,3600.0,[Desserts],,"[pie crust, all-purpose flour, salt, dairy free butter, ice water, egg substitute, dark brown sugar, maple syrup, saltines, ground cinnamon, pecans, vanilla extract, pecan halves, soy milk powder, sugar, water, shredded coconut]",tart
Maple-Pecan-Tarts-_Without-Corn-Syrup_-1362848,Maple Pecan Tarts (Without Corn Syrup),4,11400.0,[Desserts],,"[confectioners sugar, salt, unsalted butter, Equal Sweetener, large egg whites, sugar, large eggs, maple syrup, pecans]",tart
Blueberry-Lemon-Tart-Smoothie-1369344,Blueberry Lemon Tart Smoothie,3,600.0,[Beverages],,"[blueberries, lemon juice, vanilla, water, spinach]",tart
Treacle-Tart-1378160,Treacle Tart,4,900.0,[Desserts],,"[butter, powdered sugar, egg yolks, plain flour, golden syrup, cream, eggs, lemon juice, salt, bread crumb fresh]",tart
Butterscotch-Pecan-Mini-Tarts-1380089,Butterscotch-Pecan Mini Tarts,3,15000.0,[Desserts],,"[flour, Planters Pecans, sugar, butter, Bakers Semi-Sweet Baking Chocolate Bar, butterscotch flavor instant pudding, cold milk, cool whip]",tart
Macaron-Tips-and-Tricks-and-a-1370211,Macaron Tips and Tricks and a,4,4200.0,[Desserts],[French],"[large egg whites, cream of tartar, sugar, salt, powdered sugar, almond flour]",tart
Onion-Tart-1380360,Onion Tart,3,6300.0,,,"[all-purpose flour, unsalted butter, cold water, yellow onion, olive oil, egg yolks, cream, grated nutmeg, sea salt, freshly ground black pepper, tart]",tart
Tarts-1376923,Tarts,4,2700.0,[Desserts],,"[almond flour, quinoa flakes, cocoa powder, salt, cinnamon, instant espresso powder, brown sugar, eggs, coconut oil, vanilla extract, powdered gelatin, water, lemon juice, frozen blackberries, frozen raspberries, maple syrup, egg whites, heavy cream]",tart
Chocolate-Tart-1358056,Chocolate Tart,4,3000.0,[Desserts],,"[heavy whipping cream, semi-sweet chocolate morsels, eggs, pie crust]",tart
Copycat-Trader-Joe_s-Cranberry-Walnut-Tart-1377801,Copycat Trader Joe's Cranberry Walnut Tart,3,5100.0,[Desserts],,"[butter, confectioners sugar, all-purpose flour, baking powder, fresh cranberries, orange, zest, chopped walnuts, eggs, dark corn syrup, sugar]",tart
Apple-or-Pear-Fruit-Tarts-1368612,Apple or Pear Fruit Tarts,3,4500.0,[Desserts],,"[Pepperidge Farm Puff Pastry Shells, sugar, ground cinnamon, ground ginger, apples, caramel topping, vanilla ice cream]",tart
Snickers-Brownie-Tart-1373337,Snickers Brownie Tart,4,88800.0,[Desserts],,"[chocolate pie crust, brownies, cream, caramel sauce, almond meal, coconut flour, unsweetened cocoa powder, salt, baking soda, coconut oil, maple syrup, eggs, vanilla extract, sweet potatoes, cocoa, coconut cream, peanut butter, gelatin]",tart
Homemade-Sweet-Tarts-1367894,Homemade Sweet Tarts,3,2100.0,[Desserts],,"[soda, gelatin, powdered sugar, citric acid, extract, food colouring, lemon zest]",tart
Snickerdoodles-1372020,Snickerdoodles,4,2400.0,[Desserts],,"[butter, shortening, white sugar, eggs, vanilla extract, all-purpose flour, cream of tartar, baking soda, salt, ground cinnamon]",tart
Apple-Rose-Tart-1364272,Apple Rose Tart,3,4500.0,[Desserts],,"[pecan halves, granulated sugar, all-purpose flour, salt, unsalted butter, egg yolks, vanilla, milk, heavy cream, ground cinnamon, cinnamon sticks, vanilla beans, corn starch, red apples, lemon juice, apple jelly, water]",tart
Homemade-pop-tarts-305704,Homemade Pop Tarts,5,4800.0,[Afternoon Tea],,"[all-purpose flour, sugar, salt, unsalted butter, large eggs, milk, filling, tart, brown sugar, ground cinnamon, jam, cold water, corn starch, caramels, chocolate chips, Nutella]",tart
