id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Spicy-Maple-Chicken-Wings-1360271,Spicy Maple Chicken Wings,4,4500.0,[Appetizers],,"[maple syrup, sauce, fresh chives, low sodium soy sauce, ground mustard, cayenne pepper, chicken wings]",wings
Wings-1172591,Wings,4,17400.0,[Appetizers],,"[chicken wings, thyme, salt, onion powder, garlic powder, smoked paprika, white pepper, cayenne pepper, bouillon powder]",wings
Crispy-Buffalo-Wings-1350569,Crispy Buffalo Wings,4,2700.0,[Appetizers],,"[chicken wings, baking powder, salt, garlic powder, chili powder, olive oil]",wings
Honey-Glazed-Chicken-Wings-1378568,Honey Glazed Chicken Wings,3,900.0,[Appetizers],,"[chicken wings, lemon juice, black pepper, fresh thyme, honey]",wings
Baked-Chicken-Wings-1367538,Baked Chicken Wings,4,8400.0,[Appetizers],,"[chicken wings, salt, pepper, hot sauce, vegetable oil, Gold Medal All Purpose Flour, cayenne pepper, garlic powder, melted butter]",wings
Baked-Korean-Chili-Wings-1369584,Baked Korean Chili Wings,3,3300.0,[Appetizers],,"[chicken wings, garlic, ginger, light soy sauce, toasted sesame oil, Gochujang base, honey]",wings
Honey-Terriyaki-Chicken-Wings-1351609,Honey Terriyaki Chicken Wings,4,3600.0,[Appetizers],,"[chicken wings, baking powder, salt, Japanese soy sauce, mirin, raw honey, fresh ginger, corn starch]",wings
Baked-Buffalo-Wings-1373029,Baked Buffalo Wings,4,3600.0,[Appetizers],,"[chicken wings, garlic powder, paprika, chili powder, black pepper, olive oil, hot sauce, blue cheese dressing]",wings
Grill-Master-Chicken-Wings-1363586,Grill Master Chicken Wings,4,3300.0,,[Barbecue],"[soy sauce, salad dressing, chicken wings, butter, hot pepper sauce]",wings
Teriyaki-Chicken-Wings-1377252,Teriyaki Chicken Wings,4,4500.0,[Appetizers],,"[chicken wings, garlic, ginger, salt, toasted sesame seeds, green onions, soy sauce, sugar, pineapple juice]",wings
Hot_-Wings-1368852,Hot! Wings,4,1500.0,,,"[creole seasoning, chicken wings, milk, ground beef, hamburger buns, pickles, shredded lettuce, sliced tomatoes, ketchup, mustard, chili powder, onions, garlic powder, salt]",wings
The-Best-Crockpot-Barbecue-Chicken-Wings-1378526,The Best Crockpot Barbecue Chicken Wings,3,14700.0,[Appetizers],,"[chicken wings, barbecue sauce, brown sugar, sweet paprika, dry mustard, ground cumin, garlic powder, onion powder, cayenne pepper, salt, pepper, vegetable oil spray]",wings
Cherry-Honey-Glazed-Chicken-Wings-1378566,Cherry Honey Glazed Chicken Wings,3,4200.0,,,"[chicken wings, brown sugar, dried cherry, honey, teriyaki sauce]",wings
How-To-Make-the-Crispiest-Chicken-Wings-1322532,How To Make the Crispiest Chicken Wings,4,2100.0,[Appetizers],,"[chicken wings, olive oil, paprika, sea salt, cracked black pepper]",wings
Snappy-chicken-wings-299505,Snappy Chicken Wings,4,4200.0,[Appetizers],,"[chicken wings, cayenne pepper sauce, I Can't Believe It's Not Butter!® Spread, ground cayenne pepper, wish bone chunki blue chees dress]",wings
Baked-Buffalo-Hot-Wings-1330751,Baked Buffalo Hot Wings,4,4200.0,[Appetizers],,"[chicken wing drummettes, salt, black pepper, garlic powder, sauce, butter, buffalo sauce]",wings
Cajun-Wings-1335820,Cajun Wings,4,3000.0,[Appetizers],[Cajun & Creole],"[chicken wings, butter, cajun seasoning, sour cream, buttermilk, dill]",wings
Crock-Pot-Chicken-Wings-1373964,Crock Pot Chicken Wings,4,3300.0,,,"[frozen chicken wings, salt, pepper, bbq sauce, pineapple preserves, hot sauce]",wings
Honey-Garlic-Chicken-Wings-1372547,Honey Garlic Chicken Wings,4,3000.0,[Appetizers],,"[chicken wings, all-purpose flour, vegetable oil, honey, water, lemon juice, ketchup, garlic powder, garlic, salt]",wings
Old-bay-chicken-wings-309161,Old Bay Chicken Wings,5,2700.0,[Appetizers],,"[chicken wings, unsalted butter, old bay seasoning, lemon juice, cocktail sauce]",wings
Teriyaki-Chicken-Wings-685901,Teriyaki Chicken Wings,4,4200.0,[Appetizers],,"[chicken wings, soy sauce, water, brown sugar, dry mustard, ground ginger, garlic cloves]",wings
Cauliflower-Wings-1033377,Cauliflower Wings,4,2100.0,,,"[cauliflower, buffalo sauce, almond milk, chickpea flour, garlic powder, onion powder, curry powder, nutritional yeast]",wings
Broiled-Buffalo-Wings-1358546,Broiled Buffalo Wings,3,600.0,[Appetizers],,"[chicken wings, cayenne pepper sauce, lemon juice, low sodium chicken broth, celery ribs]",wings
Heroin-Wings-1172320,Heroin Wings,3,4200.0,[Appetizers],,"[chicken wings, grated parmesan cheese, dried parsley, dried oregano, paprika, salt, pepper, butter]",wings
Fajita-Chicken-Wings-1331801,Fajita Chicken Wings,3,18000.0,[Appetizers],,"[chicken wings, lime juice, vegetable oil, chopped cilantro fresh, ground cumin, salt, dried leaves oregano, crushed red pepper flakes, garlic]",wings
Easy-Slow-Cooker-BBQ-Chicken-Wings-1370398,Easy Slow Cooker BBQ Chicken Wings,4,9000.0,[Appetizers],,"[chicken wings, KC Masterpiece® Original Barbecue Sauce, honey, mustard, worcestershire sauce, celery, ranch dip]",wings
Lemon-Pepper-Chicken-Wings-1332328,Lemon Pepper Chicken Wings,4,2400.0,[Appetizers],,"[chicken wings, lemon juice, old bay seasoning, garlic powder, onion powder, lemon pepper, all-purpose flour, parsley flakes, oil]",wings
Buffalo-Wings-1020678,Buffalo Wings,4,3300.0,[Appetizers],,"[chicken wings, oil, butter, hot sauce, black pepper, garlic powder, flour, paprika, cayenne pepper, salt]",wings
Lollipop-Wings-1363976,Lollipop Wings,4,3600.0,[Appetizers],,"[chicken wings, eggs, chili, salt, ground black pepper, garlic powder, bread crumbs, canola oil]",wings
Sesame-Chicken-Wings-751386,Sesame Chicken Wings,4,4200.0,[Appetizers],,"[chicken wings, soy sauce, garlic cloves, sesame oil, rice wine, honey, sesame seeds]",wings
Buttery-Garlic-Parmesan-Chicken-Wings-1370861,Buttery Garlic Parmesan Chicken Wings,4,2100.0,[Appetizers],,"[chicken wings, all-purpose flour, corn starch, garlic powder, parmesan cheese, red pepper flakes, seasoning salt, ground black pepper, canola oil, sweet cream butter, garlic, parsley]",wings
Buffalo-Chicken-Wings-1326586,Buffalo Chicken Wings,4,4200.0,[Appetizers],,"[chicken wings, rub, cornmeal, buffalo sauce, butter, oil, seasoning, black pepper, garlic salt]",wings
Coca-Cola-Chicken-Wings-1182364,Coca Cola Chicken Wings,3,2700.0,[Appetizers],,"[chicken wings, soy sauce, sherry vinegar, coca-cola, green onions, toasted sesame seeds, vegetable oil]",wings
Elsa_s-wings-320681,Elsa's Wings,4,4200.0,[Appetizers],,"[chicken wings, flour, curry powder, paprika, salt, black pepper, garlic powder]",wings
Sweet-_-Savory-Wings-1035380,Sweet & Savory Wings,4,3300.0,[Appetizers],,"[pineapple juice, soy sauce, chicken wings, gelatin, poppy seeds]",wings
Honey-BBQ-Chicken-Wings-1352005,Honey BBQ Chicken Wings,4,3600.0,,,"[chicken wings, flour, salt, pepper, bbq sauce, honey]",wings
Vietnamese-Chicken-Wings-1283984,Vietnamese Chicken Wings,4,2100.0,[Appetizers],,"[chicken wings, sweet soy sauce, chili paste, worcestershire sauce, cilantro]",wings
Winger_s-Copycat-Wings-1225505,Winger's Copycat Wings,4,1800.0,[Appetizers],,"[flour, cayenne pepper, salt, chicken wings, oil, Franks Hot Sauce, brown sugar, water]",wings
Chipotle-Wings-375112,Chipotle Wings,5,,"[Appetizers, Main Dishes]",,"[canola oil, chicken wings, unsalted butter, adobo, fresh lime juice, crema]",wings
Chinese-chicken-wings-320504,Chinese Chicken Wings,3,3600.0,[Appetizers],,"[chicken wings, soy sauce, honey, lemon juice, garlic powder]",wings
Vietnamese-style-caramel-chicken-wings-351701,Vietnamese Style Caramel Chicken Wings,5,2400.0,[Appetizers],,"[water, sugar, fish sauce, lime juice, chili sauce, garlic, chicken wings]",wings
How-To-Make-the-Crispiest-Chicken-Wings-1165912,How To Make the Crispiest Chicken Wings,4,2100.0,[Appetizers],,"[chicken wings, olive oil, paprika, sea salt, cracked black pepper]",wings
Irresistible-Fried-Chicken-Wings-1359579,Irresistible Fried Chicken Wings,4,2100.0,[Appetizers],,"[chicken wings, salt, onion powder, garlic powder, cayenne pepper, flour, eggs, evaporated milk, vegetable oil]",wings
Spicy-and-Sweet-Baked-Chipotle-Chicken-Wings-1362468,Spicy and Sweet Baked Chipotle Chicken Wings,4,3600.0,[Main Dishes],,"[chicken wings, cumin, kosher salt, smoked paprika, baking powder, coca-cola, chipotle, onions, garlic powder, brown sugar, soy sauce, corn starch, cilantro, lime wedges]",wings
Teriyaki-Chicken-Wings-1358139,Teriyaki Chicken Wings,4,17400.0,[Appetizers],,"[low sodium soy sauce, pineapple juice, vegetable oil, brown sugar, garlic, fresh ginger, crushed red pepper flakes, onion powder, green onions, chicken wings, marinade, corn starch, water, butter, toasted sesame seeds]",wings
Maple-Chicken-Wings-1168401,Maple Chicken Wings,3,3300.0,,,"[chicken wings, maple syrup, chili sauce, onions, dijon mustard, worcestershire sauce, red pepper flakes]",wings
Buffalo-Wings-440719,Buffalo Wings,5,2700.0,[Appetizers],,"[peanut oil, chicken wings, margarine, hot sauce, blue cheese dressing, celery]",wings
Baked-buffalo-chicken-wings-365272,Baked Buffalo Chicken Wings,4,3000.0,[Appetizers],,"[chicken wings, buffalo, butter, salt, pepper]",wings
Mahogany-Baked-Chicken-Wings-for-_SundaySupper-1354981,Mahogany Baked Chicken Wings for #SundaySupper,4,5100.0,[Appetizers],,"[chicken wings, balsamic vinegar, honey, molasses, chili sauce, ground ginger, garlic cloves, salt, sesame seeds, green onions]",wings
Garlic-Parmesan-chicken-Wings-1176186,Garlic Parmesan chicken Wings,4,3300.0,[Appetizers],,"[chicken wings, dried oregano, garlic powder, ground cumin, salt, extra-virgin olive oil, parmesan cheese, seasoning salt, fresh basil]",wings
Crispy-Baked-Chicken-Wings-with-Sweet-Asian-Hot-Wing-Sauce-1313441,Crispy Baked Chicken Wings with Sweet Asian Hot Wing Sauce,4,3000.0,[Appetizers],,"[chicken wings, baking soda, black pepper, hot sauce, brown sugar, soy sauce, garlic]",wings
Sticky-Sweet-Chili-Chicken-Wings-1349576,Sticky Sweet Chili Chicken Wings,4,2700.0,[Appetizers],[Asian],"[vegetable oil, corn starch, salt, chicken wings, rice vinegar, water, sugar, garlic, chili paste]",wings
Crispy-Chicken-Wings-1375762,Crispy Chicken Wings,3,2700.0,[Appetizers],,"[chicken wings, corn starch, vegetable oil, sea salt, chinese five-spice powder, chili flakes, hot chili sauce]",wings
Magic-Wings-1286196,Magic Wings,4,3300.0,[Appetizers],,"[chicken wings, mushroom powder, fish sauce, ghee, lime]",wings
Buffalo-Chicken-Wings-1231944,Buffalo Chicken Wings,4,16500.0,[Appetizers],,"[hot pepper sauce, white distilled vinegar, chicken wings, salt, pepper, blue cheese dressing]",wings
Honey-Sriracha-Chicken-Wings-779030,Honey Sriracha Chicken Wings,4,2700.0,[Appetizers],,"[nonstick spray, honey, Sriracha, vegetable oil, salt, chicken wings, white sesame seeds]",wings
